,Status,stoichiometric optimization,Not handled,Biomass reactions,atom bag unbalanced rxns,Not balanced,T-S optimization,Organism,T-S optimization bin,Not handled bin,Not balanced bin
iEC1364_W.sbml,Thermo-model loaded and executed,250.03703365788803,0.0,0.0,278.0,0.0,2.7400683533440207,Escherichia coli,Growth prediction > 0,All reactions handled,All reactions balanced
iECS88_1305.sbml,Thermo-model loaded and executed,196.35902137294784,0.0,0.0,244.0,0.0,9.44587713359633,Homo sapiens,Growth prediction > 0,All reactions handled,All reactions balanced
iECSE_1348.sbml,Thermo-model loaded and executed,196.35902137294835,0.0,0.0,236.0,0.0,8.50714448591959,Escherichia coli,Growth prediction > 0,All reactions handled,All reactions balanced
iS_1188.sbml,Thermo-model loaded and executed,438.9815627733496,0.0,0.0,227.0,0.0,13.175709042844794,Escherichia coli,Growth prediction > 0,All reactions handled,All reactions balanced
iEcolC_1368.sbml,Thermo-model loaded and executed,196.3590213729493,0.0,0.0,243.0,0.0,7.588200879215787,Methanosarcina barkeri,Growth prediction > 0,All reactions handled,All reactions balanced
iJN678.sbml,Thermo-model loaded and executed,339.5892276337883,0.0,0.0,96.0,0.0,9.786330371539979,Geobacter metallireducens,Growth prediction > 0,All reactions handled,All reactions balanced
iAF1260.sbml,Thermo-model loaded and executed,164.09356066567142,0.0,0.0,170.0,0.0,8.680755555736352,Plasmodium berghei,Growth prediction > 0,All reactions handled,All reactions balanced
iEC55989_1330.sbml,Thermo-model loaded and executed,196.3590213729493,0.0,0.0,236.0,0.0,10.74582280754086,Plasmodium cynomolgi,Growth prediction > 0,All reactions handled,All reactions balanced
iEC1372_W3110.sbml,Thermo-model loaded and executed,188.2456649570553,0.0,0.0,269.0,0.0,8.19989182268982,Plasmodium falciparum,Growth prediction > 0,All reactions handled,All reactions balanced
iSbBS512_1146.sbml,Thermo-model loaded and executed,92.68576876224762,0.0,0.0,222.0,0.0,29.582545101127216,Plasmodium knowlesi,Growth prediction > 0,All reactions handled,All reactions balanced
iSFV_1184.sbml,Thermo-model loaded and executed,92.60505997751872,0.0,0.0,227.0,0.0,18.17601141858238,Plasmodium vivax,Growth prediction > 0,All reactions handled,All reactions balanced
iEcHS_1320.sbml,Thermo-model loaded and executed,196.3590213729489,0.0,0.0,237.0,0.0,3.1392134721609377,Escherichia coli,Growth prediction > 0,All reactions handled,All reactions balanced
iEC1368_DH5a.sbml,Thermo-model loaded and executed,187.0227678925243,0.0,0.0,270.0,0.0,6.726657415705225,Homo sapiens,Growth prediction > 0,All reactions handled,All reactions balanced
iEC1349_Crooks.sbml,Thermo-model loaded and executed,187.0227678925251,0.0,0.0,269.0,0.0,11.542643672926523,Escherichia coli,Growth prediction > 0,All reactions handled,All reactions balanced
iECUMN_1333.sbml,Thermo-model loaded and executed,196.42442717604536,0.0,0.0,233.0,0.0,7.623518407068621,Escherichia coli,Growth prediction > 0,All reactions handled,All reactions balanced
