,Status,stoichiometric optimization,Failed to balance,Biomass reactions,atom bag unbalanced rxns,Balance warnings,T-S optimization,Organism
iRC1080.sbml,TF applied,9.707364744142016,12.0,5.0,382.0,6.0,0.0,Escherichia coli
iE2348C_1286.sbml,TF applied,98.91037553029406,0.0,4.0,231.0,0.0,0.0,Homo sapiens
iEcE24377_1341.sbml,TF applied,98.910375530294,1.0,4.0,244.0,0.0,0.0,Escherichia coli
iJN1463.sbml,TF applied,50.79924051344312,0.0,4.0,340.0,1.0,0.0,Escherichia coli
iSynCJ816.sbml,Not loaded,,,,,,,Methanosarcina barkeri
RECON1.sbml,TF applied,0.0,0.0,2.0,456.0,28.0,0.0,Geobacter metallireducens
iECW_1372.sbml,TF applied,123.272536990958,1.0,4.0,244.0,0.0,0.0,Plasmodium berghei
iEK1008.sbml,TF applied,429.2356212084408,0.0,3.0,154.0,1.0,0.0,Plasmodium cynomolgi
iECUMN_1333.sbml,TF applied,98.94332187776033,0.0,4.0,233.0,0.0,0.0,Plasmodium falciparum
iECD_1391.sbml,TF applied,98.9103755302942,0.0,4.0,239.0,0.0,0.0,Plasmodium knowlesi
iEcSMS35_1347.sbml,TF applied,98.91037553029412,1.0,4.0,240.0,0.0,0.0,Plasmodium vivax
iEcHS_1320.sbml,TF applied,98.91037553029402,1.0,4.0,237.0,0.0,0.0,Escherichia coli
iUMNK88_1353.sbml,TF applied,123.27253699095829,1.0,4.0,251.0,0.0,0.0,Homo sapiens
iEC1368_DH5a.sbml,TF applied,93.5113839462616,0.0,4.0,270.0,0.0,0.0,Escherichia coli
iSB619.sbml,TF applied,112.49782127643638,0.0,17.0,52.0,0.0,0.0,Escherichia coli
iEC55989_1330.sbml,TF applied,98.91037553029383,1.0,4.0,236.0,0.0,0.0,Escherichia coli
iEC1364_W.sbml,TF applied,125.66380682507044,0.0,4.0,278.0,0.0,0.0,Cricetulus griseus
iPC815.sbml,TF applied,10.71428571428578,0.0,4.0,142.0,2.0,0.0,Acinetobacter baumannii
iCN718.sbml,Not loaded,,,,,,,Clostridioides difficile
iJB785.sbml,TF applied,0.1072210563012052,3.0,11.0,124.0,1.0,0.0,Escherichia coli
iMM904.sbml,TF applied,1.6693547915907891,0.0,3.0,101.0,4.0,0.0,Escherichia coli
iHN637.sbml,TF applied,40.44781370383373,0.0,3.0,45.0,0.0,0.0,Escherichia coli
iLJ478.sbml,TF applied,275.7016250766425,0.0,3.0,49.0,0.0,0.0,Escherichia coli
iIS312_Amastigote.sbml,TF applied,55.335443458243866,0.0,3.0,108.0,0.0,3.3513875706127436,Escherichia coli
iNJ661.sbml,TF applied,15.503875968992087,0.0,3.0,99.0,0.0,0.0,Escherichia coli
iAB_RBC_283.sbml,TF applied,0.0,0.0,2.0,126.0,1.0,0.0,Escherichia coli
iAF987.sbml,TF applied,14.981851759226686,0.0,4.0,194.0,0.0,0.0,Escherichia coli
iECDH1ME8569_1439.sbml,TF applied,98.91848473643932,0.0,4.0,234.0,0.0,0.0,Escherichia coli
iAM_Pf480.sbml,TF applied,4.504504504504505,0.0,3.0,106.0,0.0,0.0,Escherichia coli
e_coli_core.sbml,TF applied,7.091938981872093,0.0,3.0,1.0,0.0,0.8214783735549682,Escherichia coli
iECBD_1354.sbml,TF applied,98.91037553029432,0.0,4.0,237.0,0.0,0.0,Escherichia coli
iSF_1195.sbml,TF applied,6.49726140431808,0.0,4.0,228.0,0.0,0.0,Escherichia coli
STM_v1_0.sbml,TF applied,101.47678027777263,0.0,5.0,255.0,2.0,0.0,Escherichia coli
iJN678.sbml,TF applied,169.79461381689413,1.0,5.0,96.0,3.0,0.0,Escherichia coli
iYL1228.sbml,TF applied,27.80904183359202,0.0,3.0,394.0,0.0,0.0,Escherichia coli
iAM_Pb448.sbml,TF applied,8.547081598988028,0.0,3.0,105.0,0.0,0.0,Escherichia coli
iEC1349_Crooks.sbml,TF applied,93.51138394626172,0.0,4.0,269.0,0.0,0.0,Escherichia coli
Recon3D.sbml,TF applied,500.0,0.0,5.0,1357.0,388.0,0.0,Escherichia coli
iEC1356_Bl21DE3.sbml,TF applied,94.80196393851575,0.0,4.0,275.0,0.0,0.0,Escherichia coli
iS_1188.sbml,TF applied,236.9848441739593,0.0,4.0,227.0,0.0,0.0,Escherichia coli
iECP_1309.sbml,TF applied,98.91037553029469,0.0,4.0,244.0,0.0,0.0,Escherichia coli
iND750.sbml,TF applied,0.1670136839878412,0.0,3.0,88.0,0.0,0.0,Escherichia coli
iECED1_1282.sbml,TF applied,98.91037553029383,0.0,4.0,236.0,0.0,0.0,Escherichia coli
iEcolC_1368.sbml,TF applied,98.91037553029358,0.0,4.0,243.0,0.0,0.0,Escherichia coli
iUMN146_1321.sbml,TF applied,98.91037553029456,1.0,4.0,244.0,0.0,0.0,Escherichia coli
iEC042_1314.sbml,TF applied,98.91037553029396,0.0,4.0,234.0,0.0,0.0,Escherichia coli
iETEC_1333.sbml,TF applied,98.9103755302942,0.0,4.0,242.0,0.0,0.0,Escherichia coli
iZ_1308.sbml,TF applied,98.91037553029402,0.0,4.0,240.0,0.0,0.0,Escherichia coli
iSFV_1184.sbml,TF applied,46.30252998875959,0.0,4.0,227.0,0.0,0.0,Escherichia coli
iIS312_Trypomastigote.sbml,TF applied,76.46793465069213,0.0,4.0,109.0,0.0,6.668629902944604,Escherichia coli
iY75_1357.sbml,TF applied,98.91848473643944,0.0,4.0,234.0,0.0,0.0,Escherichia coli
iYO844.sbml,TF applied,0.3732629391459267,0.0,3.0,84.0,0.0,0.0,Escherichia coli
iYS1720.sbml,TF applied,291.54349297150395,0.0,6.0,614.0,2.0,0.0,Escherichia coli
iECABU_c1320.sbml,TF applied,98.91037553029416,1.0,4.0,245.0,0.0,0.0,Escherichia coli
