,Status,stoichiometric optimization,Failed to balance,Biomass reactions,atom bag unbalanced rxns,Balance warnings,T-S optimization
iEC1364_W.sbml,TF applied,250.03703365788803,0,0,278,404,
iECS88_1305.sbml,TF applied,196.35902137294784,1,0,244,391,
iECSE_1348.sbml,TF applied,196.35902137294835,1,0,236,381,
iS_1188.sbml,TF applied,438.9815627733496,0,0,227,374,
iEcolC_1368.sbml,TF applied,196.3590213729493,0,0,243,394,
iJN678.sbml,TF applied,339.5892276337883,1,0,96,205,
iAF1260.sbml,TF applied,164.09356066567142,0,0,170,284,
iEC55989_1330.sbml,TF applied,196.3590213729493,1,0,236,383,
iEC1372_W3110.sbml,TF applied,188.2456649570553,0,0,269,396,
iSbBS512_1146.sbml,TF applied,92.68576876224762,0,0,222,382,
iSFV_1184.sbml,TF applied,92.60505997751872,0,0,227,374,
iEcHS_1320.sbml,TF applied,196.35902137294886,1,0,237,393,
iEC1368_DH5a.sbml,TF applied,187.0227678925243,0,0,270,411,
iEC1349_Crooks.sbml,TF applied,187.0227678925251,0,0,269,409,
iECUMN_1333.sbml,TF applied,196.42442717604536,0,0,233,377,
iECBD_1354.sbml,TF applied,196.35902137294892,0,0,237,385,
iBWG_1329.sbml,TF applied,196.52717054081268,0,0,233,380,
iJO1366.sbml,TF applied,164.66035787754385,0,0,221,335,
iG2583_1286.sbml,TF applied,152.79544567119453,0,0,228,373,
iECIAI39_1322.sbml,TF applied,196.88287065411868,1,0,240,387,
iECs_1301.sbml,TF applied,196.35902137294815,0,0,240,378,
iEcDH1_1363.sbml,TF applied,163.84355230339006,0,0,233,380,
iECDH10B_1368.sbml,TF applied,2.284262799866599,0,0,234,380,
iZ_1308.sbml,TF applied,196.35902137294792,0,0,240,378,
iECABU_c1320.sbml,TF applied,196.35902137294872,1,0,245,392,
iAF1260b.sbml,TF applied,164.0935606656729,0,0,170,284,
iECOK1_1307.sbml,TF applied,196.35902137294838,1,0,244,391,
iUMN146_1321.sbml,TF applied,196.35902137294826,1,0,244,391,
iECP_1309.sbml,TF applied,196.35902137294775,0,0,244,390,
iEcE24377_1341.sbml,TF applied,196.35902137294883,1,0,244,393,
iECED1_1282.sbml,TF applied,196.35902137294886,0,0,236,377,
iSSON_1240.sbml,TF applied,92.64523739091392,0,0,240,387,
iEcSMS35_1347.sbml,TF applied,196.3590213729492,1,0,240,385,
iECO26_1355.sbml,TF applied,196.35902137294815,1,0,245,389,
iPC815.sbml,TF applied,10.714285714285714,0,0,142,285,
iEKO11_1354.sbml,TF applied,196.35902137294894,1,0,244,393,
iECSF_1327.sbml,TF applied,196.5271705408137,0,0,239,391,
iUMNK88_1353.sbml,TF applied,245.08334429427654,1,0,251,394,
iE2348C_1286.sbml,TF applied,196.3590213729493,0,0,231,373,
iWFL_1372.sbml,TF applied,245.08334429427526,1,0,244,393,
iNRG857_1313.sbml,TF applied,245.08334429427524,1,0,243,390,
iSFxv_1172.sbml,TF applied,147.7296368225331,0,0,228,374,
iECH74115_1262.sbml,TF applied,152.7954456711944,0,0,231,375,
iSDY_1059.sbml,TF applied,92.71831481267184,0,0,233,381,
iAPECO1_1312.sbml,TF applied,196.35902137294858,1,0,243,390,
iECDH1ME8569_1439.sbml,TF applied,196.3751199447546,0,0,234,380,
iECSP_1301.sbml,TF applied,196.3590213729481,0,0,233,375,
iETEC_1333.sbml,TF applied,196.35902137294906,0,0,242,394,
iSBO_1134.sbml,TF applied,438.9815627746715,0,0,231,380,
iYL1228.sbml,TF applied,53.976297699637016,0,0,394,276,
ic_1306.sbml,TF applied,17.5923156765125,1,0,242,387,
iECO111_1330.sbml,TF applied,196.35902137294815,1,0,244,386,
iECD_1391.sbml,TF applied,196.35902137294732,0,0,239,387,
iECNA114_1301.sbml,TF applied,245.08334429427703,0,0,230,375,
iECO103_1326.sbml,TF applied,196.35902137294823,1,0,235,381,
iML1515.sbml,TF applied,185.18664267265018,0,0,216,373,
iB21_1397.sbml,TF applied,196.35902137294832,0,0,239,387,
iEC1344_C.sbml,TF applied,187.0227678925213,0,0,260,405,
iECB_1328.sbml,TF applied,196.35902137294926,0,0,237,385,
iEC042_1314.sbml,TF applied,196.3590213729489,0,0,234,378,
iSF_1195.sbml,TF applied,6.49726140431808,0,0,228,374,
iEC1356_Bl21DE3.sbml,TF applied,188.31334788477884,0,0,275,405,
iECIAI1_1343.sbml,TF applied,243.6216146066362,1,0,530,393,
