,Model,error,rxn
iEC1364_W.sbml,iEC1364_W.sbml,,No unbalanced rxns
iECS88_1305.sbml,iECS88_1305.sbml,,No unbalanced rxns
iECSE_1348.sbml,iECSE_1348.sbml,,No unbalanced rxns
iS_1188.sbml,iS_1188.sbml,,No unbalanced rxns
iEcolC_1368.sbml,iEcolC_1368.sbml,,No unbalanced rxns
iJN678.sbml,iJN678.sbml,"[<warnings.WarningMessage object at 0x7f444339a830>, <warnings.WarningMessage object at 0x7f444339a530>, <warnings.WarningMessage object at 0x7f4443399300>, <warnings.WarningMessage object at 0x7f4443398580>, <warnings.WarningMessage object at 0x7f444339ad40>, <warnings.WarningMessage object at 0x7f444339b100>, <warnings.WarningMessage object at 0x7f444339b7f0>, <warnings.WarningMessage object at 0x7f443d82ac20>, <warnings.WarningMessage object at 0x7f443d82b760>, <warnings.WarningMessage object at 0x7f443d82a7a0>, <warnings.WarningMessage object at 0x7f443d82b7f0>, <warnings.WarningMessage object at 0x7f443d82b5b0>, <warnings.WarningMessage object at 0x7f443d82bd60>, <warnings.WarningMessage object at 0x7f443d82af50>, <warnings.WarningMessage object at 0x7f443d82ac50>, <warnings.WarningMessage object at 0x7f443d82bee0>, <warnings.WarningMessage object at 0x7f443d82b880>, <warnings.WarningMessage object at 0x7f443d82b550>, <warnings.WarningMessage object at 0x7f443d82b010>, <warnings.WarningMessage object at 0x7f443d82bf70>, <warnings.WarningMessage object at 0x7f443d82b280>, <warnings.WarningMessage object at 0x7f443d82a860>, <warnings.WarningMessage object at 0x7f443d82b4f0>, <warnings.WarningMessage object at 0x7f443d82b9d0>, <warnings.WarningMessage object at 0x7f443d82acb0>, <warnings.WarningMessage object at 0x7f443d82a6e0>, <warnings.WarningMessage object at 0x7f447f61d570>, <warnings.WarningMessage object at 0x7f447f61f220>, <warnings.WarningMessage object at 0x7f447f61d210>, <warnings.WarningMessage object at 0x7f447f61e380>, <warnings.WarningMessage object at 0x7f447f61eaa0>, <warnings.WarningMessage object at 0x7f447f61e6e0>, <warnings.WarningMessage object at 0x7f447f61db70>, <warnings.WarningMessage object at 0x7f447f61d8a0>, <warnings.WarningMessage object at 0x7f447f61f9d0>, <warnings.WarningMessage object at 0x7f447f61e860>, <warnings.WarningMessage object at 0x7f447f61dcc0>, <warnings.WarningMessage object at 0x7f447f61f5b0>, <warnings.WarningMessage object at 0x7f447f61f160>, <warnings.WarningMessage object at 0x7f447f61cd90>, <warnings.WarningMessage object at 0x7f447f61f970>, <warnings.WarningMessage object at 0x7f447f61e0b0>, <warnings.WarningMessage object at 0x7f447f61e170>, <warnings.WarningMessage object at 0x7f447f61cdc0>, <warnings.WarningMessage object at 0x7f447f61cf40>, <warnings.WarningMessage object at 0x7f447f61c7f0>, <warnings.WarningMessage object at 0x7f4476d94e50>, <warnings.WarningMessage object at 0x7f4476d96050>, <warnings.WarningMessage object at 0x7f4476d97250>, <warnings.WarningMessage object at 0x7f447f54ec80>, <warnings.WarningMessage object at 0x7f447f54e770>, <warnings.WarningMessage object at 0x7f447f54da20>, <warnings.WarningMessage object at 0x7f447f54d870>, <warnings.WarningMessage object at 0x7f447f54f400>, <warnings.WarningMessage object at 0x7f447f54f1c0>, <warnings.WarningMessage object at 0x7f447f54d630>, <warnings.WarningMessage object at 0x7f447f54d930>, <warnings.WarningMessage object at 0x7f447f54dcc0>, <warnings.WarningMessage object at 0x7f447f54d450>, <warnings.WarningMessage object at 0x7f447f54cd30>, <warnings.WarningMessage object at 0x7f44289d1c30>, <warnings.WarningMessage object at 0x7f44289d3ca0>, <warnings.WarningMessage object at 0x7f44289d2200>, <warnings.WarningMessage object at 0x7f44289d2c20>, <warnings.WarningMessage object at 0x7f4458d4d300>, <warnings.WarningMessage object at 0x7f447561bf10>, <warnings.WarningMessage object at 0x7f447561b6a0>, <warnings.WarningMessage object at 0x7f447561a410>, <warnings.WarningMessage object at 0x7f447f5f78b0>, <warnings.WarningMessage object at 0x7f447f5f4cd0>, <warnings.WarningMessage object at 0x7f447f5f7c10>, <warnings.WarningMessage object at 0x7f447f5f5ff0>, <warnings.WarningMessage object at 0x7f447f5f6980>, <warnings.WarningMessage object at 0x7f447f5f6a10>, <warnings.WarningMessage object at 0x7f447f5f4e20>, <warnings.WarningMessage object at 0x7f447f5f4160>, <warnings.WarningMessage object at 0x7f447f5f6ef0>, <warnings.WarningMessage object at 0x7f447f5f4310>, <warnings.WarningMessage object at 0x7f441a17d870>, <warnings.WarningMessage object at 0x7f4419f9dff0>, <warnings.WarningMessage object at 0x7f4419f9dd20>, <warnings.WarningMessage object at 0x7f4419feef50>, <warnings.WarningMessage object at 0x7f4419fec100>, <warnings.WarningMessage object at 0x7f445bc7f940>, <warnings.WarningMessage object at 0x7f445bc7f880>, <warnings.WarningMessage object at 0x7f445bc7f460>, <warnings.WarningMessage object at 0x7f443475bf40>, <warnings.WarningMessage object at 0x7f443475bdf0>, <warnings.WarningMessage object at 0x7f446609fd00>, <warnings.WarningMessage object at 0x7f4459e94f40>, <warnings.WarningMessage object at 0x7f448b7456c0>, <warnings.WarningMessage object at 0x7f44826398a0>, <warnings.WarningMessage object at 0x7f4482638c40>, <warnings.WarningMessage object at 0x7f448263b0a0>, <warnings.WarningMessage object at 0x7f448263ba90>, <warnings.WarningMessage object at 0x7f448263b880>, <warnings.WarningMessage object at 0x7f445c3890f0>, <warnings.WarningMessage object at 0x7f445c38bdc0>, <warnings.WarningMessage object at 0x7f445c38a9e0>, <warnings.WarningMessage object at 0x7f445c38b040>, <warnings.WarningMessage object at 0x7f445c389f60>, <warnings.WarningMessage object at 0x7f445c388280>, <warnings.WarningMessage object at 0x7f442022be20>, <warnings.WarningMessage object at 0x7f444de0f8b0>, <warnings.WarningMessage object at 0x7f444de0cb80>, <warnings.WarningMessage object at 0x7f444de0faf0>, <warnings.WarningMessage object at 0x7f444de0fb80>, <warnings.WarningMessage object at 0x7f444de0e9e0>, <warnings.WarningMessage object at 0x7f444de0e5f0>, <warnings.WarningMessage object at 0x7f444de0da80>, <warnings.WarningMessage object at 0x7f444de0ebc0>, <warnings.WarningMessage object at 0x7f444de0c6d0>, <warnings.WarningMessage object at 0x7f444de0e110>, <warnings.WarningMessage object at 0x7f444de0e6b0>, <warnings.WarningMessage object at 0x7f444de0eb60>, <warnings.WarningMessage object at 0x7f444de0d030>, <warnings.WarningMessage object at 0x7f444de0c8e0>, <warnings.WarningMessage object at 0x7f444de0f370>, <warnings.WarningMessage object at 0x7f444de0df90>, <warnings.WarningMessage object at 0x7f444de0ee00>, <warnings.WarningMessage object at 0x7f444fe82a40>, <warnings.WarningMessage object at 0x7f44676eb280>, <warnings.WarningMessage object at 0x7f444f467310>, <warnings.WarningMessage object at 0x7f444f465480>, <warnings.WarningMessage object at 0x7f444f466080>, <warnings.WarningMessage object at 0x7f444f465b70>, <warnings.WarningMessage object at 0x7f444f466740>, <warnings.WarningMessage object at 0x7f444f464610>, <warnings.WarningMessage object at 0x7f444f466c20>, <warnings.WarningMessage object at 0x7f4477d61cf0>, <warnings.WarningMessage object at 0x7f4477d61ba0>, <warnings.WarningMessage object at 0x7f4482a18e20>, <warnings.WarningMessage object at 0x7f4482a1b3d0>, <warnings.WarningMessage object at 0x7f4482a18610>, <warnings.WarningMessage object at 0x7f4482a19d50>, <warnings.WarningMessage object at 0x7f4480837ac0>, <warnings.WarningMessage object at 0x7f4480837700>, <warnings.WarningMessage object at 0x7f442320dba0>, <warnings.WarningMessage object at 0x7f44634ed420>, <warnings.WarningMessage object at 0x7f447f532b30>, <warnings.WarningMessage object at 0x7f447f5337c0>, <warnings.WarningMessage object at 0x7f447f533430>, <warnings.WarningMessage object at 0x7f447f531f90>, <warnings.WarningMessage object at 0x7f447f5311e0>, <warnings.WarningMessage object at 0x7f447f530c10>, <warnings.WarningMessage object at 0x7f44a7ec8760>, <warnings.WarningMessage object at 0x7f44a7ecb9d0>, <warnings.WarningMessage object at 0x7f443a217bb0>, <warnings.WarningMessage object at 0x7f444746de40>, <warnings.WarningMessage object at 0x7f444746e230>, <warnings.WarningMessage object at 0x7f444746e410>, <warnings.WarningMessage object at 0x7f444746de70>, <warnings.WarningMessage object at 0x7f444746e050>, <warnings.WarningMessage object at 0x7f44b3e235e0>, <warnings.WarningMessage object at 0x7f44b3e23070>, <warnings.WarningMessage object at 0x7f44b3e20730>, <warnings.WarningMessage object at 0x7f44b3e208e0>, <warnings.WarningMessage object at 0x7f44b3e22530>, <warnings.WarningMessage object at 0x7f44b3e211e0>, <warnings.WarningMessage object at 0x7f44b3e223b0>, <warnings.WarningMessage object at 0x7f44b3e236a0>, <warnings.WarningMessage object at 0x7f44b3e22f80>, <warnings.WarningMessage object at 0x7f44b3e23fa0>, <warnings.WarningMessage object at 0x7f4448c69450>, <warnings.WarningMessage object at 0x7f4448c6b970>, <warnings.WarningMessage object at 0x7f4448c6a6b0>, <warnings.WarningMessage object at 0x7f4419dbea40>, <warnings.WarningMessage object at 0x7f4419dbc550>, <warnings.WarningMessage object at 0x7f4419dbead0>, <warnings.WarningMessage object at 0x7f4419dbfaf0>, <warnings.WarningMessage object at 0x7f4419dbf190>, <warnings.WarningMessage object at 0x7f4419dbd510>, <warnings.WarningMessage object at 0x7f4419dbff10>, <warnings.WarningMessage object at 0x7f4419dbc730>, <warnings.WarningMessage object at 0x7f4419dbc190>, <warnings.WarningMessage object at 0x7f4419dbf0a0>, <warnings.WarningMessage object at 0x7f4419dbd480>, <warnings.WarningMessage object at 0x7f4437ff5e10>, <warnings.WarningMessage object at 0x7f4437ff6ef0>, <warnings.WarningMessage object at 0x7f4437ff4850>, <warnings.WarningMessage object at 0x7f4437ff6da0>, <warnings.WarningMessage object at 0x7f4437ff71f0>, <warnings.WarningMessage object at 0x7f4437ff64d0>, <warnings.WarningMessage object at 0x7f4451490250>, <warnings.WarningMessage object at 0x7f44514930d0>, <warnings.WarningMessage object at 0x7f4451492e90>, <warnings.WarningMessage object at 0x7f44514913c0>, <warnings.WarningMessage object at 0x7f4456b73760>, <warnings.WarningMessage object at 0x7f444b17f280>, <warnings.WarningMessage object at 0x7f444b17e2c0>, <warnings.WarningMessage object at 0x7f444b17e230>, <warnings.WarningMessage object at 0x7f444b17e950>, <warnings.WarningMessage object at 0x7f443a21f250>, <warnings.WarningMessage object at 0x7f443a21e6b0>, <warnings.WarningMessage object at 0x7f443a21e410>, <warnings.WarningMessage object at 0x7f4485d9eb90>, <warnings.WarningMessage object at 0x7f44a92f62c0>, <warnings.WarningMessage object at 0x7f44a92f4100>, <warnings.WarningMessage object at 0x7f44a92f6200>, <warnings.WarningMessage object at 0x7f44a92f49a0>, <warnings.WarningMessage object at 0x7f4429841990>, <warnings.WarningMessage object at 0x7f4429842290>, <warnings.WarningMessage object at 0x7f44783c9a80>, <warnings.WarningMessage object at 0x7f44783c9ba0>, <warnings.WarningMessage object at 0x7f44783ca770>]","['BIOMASS_Ec_SynAuto', 'BIOMASS_Ec_SynMixo', 'BIOMASS_Ec_SynHetero']"
iAF1260.sbml,iAF1260.sbml,,No unbalanced rxns
iEC55989_1330.sbml,iEC55989_1330.sbml,,No unbalanced rxns
iEC1372_W3110.sbml,iEC1372_W3110.sbml,,No unbalanced rxns
iSbBS512_1146.sbml,iSbBS512_1146.sbml,,No unbalanced rxns
