,0
CITtcp,0
13BGH,20
13BGHe,0
13GS,19
16GS,0
23CAPPD,0
2DDA7Ptm,20
2DHPtm,0
2DOXG6PP,0
2HBO,13
2HBt2,13
2HMHMBQMTm,0
2HP6MPMOm,0
2HPMBQMTm,0
2HPMMBQMOm,0
2MBACt,2
EX_epistest_SC_e,0
EX_epist_e,0
2MBALDt,4
2MBALDtm,2
2MBTOHt,4
ACACT6p,0
2MBTOHtm,2
ACACT7p,0
2MPPALt,4
ACACT8p,0
ACACT9p,0
ACALDCD,0
ACALDt,4
ACALDtm,14
ACCOAC,1
ACCOACrm,20
AGAT_SC,1
AGPRim,1
AGTi,5
AHCYStm,0
ACCOAtn,0
2MPPALtm,1
ACESt,0
ACGAM6PS,0
AHCi,20
AHMMPS,20
AHSERL,0
AHSERL2,1
ACGAMPM,0
ACGKm,1
2OBUTtm,1
ACGSm,0
2OXOADPtim,1
ACHBSm,1
ACHLE1,3
2PHETOHt,4
ACHLE2,2
ACHLE3,0
ACLSm,1
2PHETOHtm,0
ACOAHim,5
34HPLFM,0
ACOAO4p,0
AICART,1
AIRCr,19
AKGDam,14
AKGDbm,14
ACOAO5p,0
ACOAO6p,0
ACOAO7p,0
ACOAO8p,0
ACOAO9p,0
AKGMAL,0
AKGt2n,0
AKGt2r,0
34HPPOR,0
AKGtp,0
AKP1,0
ALASm,0
ALATA_L,1
ALATA_Lm,1
ACOATA,0
ACOATAm,0
ACON3MT,0
ALATRS,0
34HPPt2m,2
ALAt2r,6
ALAtmi,1
ACONT,1
ACONT3m,0
ACONTm,5
ACOTAim,1
ALCD19y,0
ALCD22xi,3
ALCD22xim,2
34HPPt2p,0
ALCD22yi,4
ALCD23xi,3
ALCD23xim,1
ALCD23yi,5
ALCD24xi,3
ALCD24xim,1
ACP1e,20
ACPSm,0
ACRNtm,0
ACRNtp,0
ACS,1
ACSm,1
ACSp,0
ACt2r,17
ALCD24yi,5
ALCD25xi,2
ALCD25xim,0
ALCD25yi,5
ACtm,14
3C3HMPt,20
ACtp,0
ACtr,20
ADA,6
ADCL,0
ALCD26xi,3
ALCD26xim,1
ALCD2x_copy1,0
ALCD2ir,4
ALCD2irm,20
ADCS,0
3C3HMPtm,19
ADD,5
ADEt2,0
ADEtm,0
ADHAPR_SC,19
ADK1,20
ADK1m,1
ADK3,12
ALCD2x_copy2,20
ALDD19xr,0
ALDD20xm,0
ALDD20y,0
ALDD20ym,0
ALDD22x,0
ALDD2xm,5
ALDD2y,19
ALDD2ym,14
ADK3m,1
ADK4,3
ADK4m,0
ADMDC,0
ADNCYC,5
ADNK1,20
ADNUC,5
ALLTAHr,0
ALLTN,0
ALLTNti,0
ALLTTti,0
ADNt2,0
3C4MOPtm,0
ADPT,20
ADSK,1
ALPHNH,20
AMAOTr,0
ADSL1r,1
AMETt2,20
3DH5HPBMTm,0
AMETtm,0
AMID,0
AMID2,0
AMID3,0
ADSL2r,19
ADSS,1
AMPN,5
AMPDA,5
3DH5HPBtm,0
AMPtn,0
ANPRT,19
ATPS3v,0
3DSPHR,0
ATPtm_H,1
ATPtp_H,0
ANS,19
AOBUTDs,0
AP4AH,0
APRTO2,0
ARAB14LO,0
BACCL,0
3HAO,5
ARAB1D2,0
ARABR,0
3HPH5MBDCm,0
ARAB_Dt,0
ARAB_Lt,0
ARGN,20
BPNT,1
BTDD_RR,2
BTDt_RR,2
3IPM3MT,0
BTNt2i,0
BTSr,0
C14STR,1
C22STDS,0
C22STDSx,0
C24STRer,1
C3STDH1,1
ARGSL,19
ARGSS,19
ARGTRS,0
ARGTRSm,0
ARGt2m,0
ARGt2r,1
ARGt6,0
ARMT,0
ASAD,1
C3STDH2,1
C3STKR1,1
C3STKR2,1
ASNN,18
C4STMO1,1
ASNNe,2
C4STMO2,1
ASNS1,19
3MBALDt,5
ASNTRS,0
ASNTRSm,0
C5STDS,0
C8STI,1
ASNt2m,0
ASNt2r,2
3MBALDtm,1
ASNt6,0
ASNt7,0
CAT,15
CATp,0
ASPCT,19
3MOBDC,5
ASPGLU2m,4
ASPGLUtp,0
ASPK,1
ASPOcm,0
CBASPtn,0
CBPS,19
CBPtn,0
CCP2m,0
CDPDGPm_SC,0
ASPTA,11
ASPTAm,18
3MOBtm,1
ASPTAp,0
ASPTRS,0
ASPTRSm,0
CDPtn,0
CER1_24ter,0
CER1_26ter,20
CER2_24ter,0
CER2_26ter,20
ASPt2m,18
ASPt2n,0
CERASE124er,0
3MOPDC,4
CERASE126er,20
ASPt2r,2
ASPt5n,0
ASPt7,0
CERASE224er,0
CERASE226er,0
ATHRDHr,0
3MOPt,3
ATP2tp_H,0
ATPATF1,0
ATPATF2,0
ATPATF3,0
ATPH1,5
ATPM,20
CERH124_copy1,0
CERH126_copy1,0
CERS124,0
CERS124er,0
CERS126,20
CERS126er,0
CERS224,0
CERS224er,0
ATPPRT,1
ATPS,20
ATPS3g,0
ATPS3m,1
CERS226,20
CERS226er,20
CERH124_copy2,0
CERH126_copy2,0
CITtbm,20
3MOPtm,7
CITtcm,11
CERS324,0
CERS326,0
CHLPCTD,0
CHLSTI,1
CLPNSm_SC,0
3OPHB5Hm,0
CMPN,5
CHLt2,0
CHOLK,0
CHORM,1
CHORS,1
CHRPL,0
CO2t,1
CO2tg,3
CO2tm,19
CO2tn,9
CO2tp,0
CHTNDA,0
CHTNS,0
CITt2r,5
CO2tv,17
COAHLp,0
3OPHB_5tm,0
COAtim,0
CITtam,19
CITtap,0
COAtn,0
4ABUTNtm,0
COUCOAFm,0
CPPPGO,0
4ABUTtm,0
CRNCARtm,0
CRNCARtp,0
DCTPD,5
DCYTD,4
CRNt,0
4ABZt,0
CRNtim,0
DCYTt2,0
CRNtp,0
4ABZtm,0
CSNATm,0
DDPA,19
DDPAm,20
DESAT14,20
DESAT16,5
DESAT18,1
CSNATp,0
CSNATr,0
CSND,5
CSNt2,0
CSm,1
DESAT18_2,1
DGDPtn,20
CSp,0
DGGH,0
4H2OGLTtm,0
DGK1,1
DGSNt2,0
CTPS1,19
CTPS2,5
CTPtm,0
DHAD1m,1
4H2OGLTtp,0
DHAD2m,1
DHAK,0
CYOOm,1
CYOR_u6m,1
DHAPtm,0
DHFR,19
CYSS,4
4HBZCOAFm,0
CYSTGL,1
CYSTL,5
CYSTLp,0
CYSTRS,0
CYSTS,1
DHFRim,0
DHFS,0
DHFtm,0
DHNPAm,0
DHNPTtm,0
DHORD4i,14
DHORDfum,11
CYSTtp,0
CYSt2r,0
CYTD,5
CYTDK2,3
DHORDi,5
DHORTS,19
4HBZFm,0
DHPSm,0
DHPTtm,0
DHQS,1
DHQTi,1
CYTDt2,0
CYTK1,1
CYTK2,20
DADA,0
DADK,1
DIAT,0
DINSt2,0
DADNt2,0
DIPS,0
DADPtn,0
4HBZtm,0
DAGCPT_SC,0
DAGPYP_SC,1
DKMPPD2,0
DMATT,19
DNMPPA,0
DNTPPA,0
DOLK,0
DOLPMMer,1
DANNt2,0
DASYN_SC,1
DASYNm_SC,0
DB4PS,19
DBTS,0
DCDPtn,0
DCMPDA,14
DOLPMTcer,1
DOLPt2er,1
4HGLSDm,0
DPCOAK,0
DPCOAKm,0
DPGM,0
DPMVD,19
ECOAH4p,0
ECOAH5p,0
DPR,0
4HPRO_LTtm,0
DPRm,0
ECOAH6p,0
DRBK,0
ECOAH7p,0
ECOAH8p,0
DROPPRy,19
4HTHRS,0
DRTPPD,19
EHGLAT,0
EHGLATm,0
EHGLATp,0
ENO,1
EPGALURSe,0
EPISTAT_SC,0
DTMPK,2
DTTPt,2
DUMPtn,0
DURIK1,4
DURIPP,0
DURIt2,0
DUTPDP,6
EPISTESTH_SC,0
EPISTESTH_SCe,0
EPISTt,0
DXHPScm,0
D_LACDcm,0
EPMGH,0
4MOPDC,5
ERGSTAT_SC,0
ERGSTESTH_SC,0
