,range
CITtcp,0.0
13BGH,272.5
13BGHe,0.0
13GS,272.5
16GS,0.0
23CAPPD,0.0
2DDA7Ptm,19.714285714285715
2DHPtm,12.0
2DOXG6PP,0.0
2HBO,30.666666666666664
2HBt2,30.666666666666664
2HMHMBQMTm,0.0
2HP6MPMOm,0.0
2HPMBQMTm,0.0
2HPMMBQMOm,0.0
2MBACt,14.526315789473685
EX_epistest_SC_e,0.0
EX_epist_e,2.816326530612246
2MBALDt,19.714285714285715
2MBALDtm,18.400000000000002
2MBTOHt,18.4
ACACT6p,0.0
2MBTOHtm,18.4
ACACT7p,0.0
2MPPALt,23.000000000000004
ACACT8p,0.0
ACACT9p,0.0
ACALDCD,25.090909090909093
ACALDt,55.19999999999999
ACALDtm,500.0
ACCOAC,41.40000000000004
ACCOACrm,0.0
AGAT_SC,31.686272301595253
AGPRim,376.0
AGTi,156.71428571428584
AHCYStm,0.0
ACCOAtn,0.0
2MPPALtm,23.0
ACESt,27.6
ACGAM6PS,0.0
AHCi,181.66666666666666
AHMMPS,0.0
AHSERL,0.0
AHSERL2,27.11681547619047
ACGAMPM,0.0
ACGKm,376.000000000001
2OBUTtm,181.06666666666672
ACGSm,0.0
2OXOADPtim,19.71428571428574
ACHBSm,19.71428571428571
ACHLE1,272.5
2PHETOHt,13.8
ACHLE2,272.5
ACHLE3,272.5
ACLSm,22.99999999999999
2PHETOHtm,13.800000000000006
ACOAHim,314.43420793556044
34HPLFM,0.0
ACOAO4p,0.0
AICART,27.600000000000012
AIRCr,27.600000000000012
AKGDam,91.99999999999993
AKGDbm,91.99999999999993
ACOAO5p,0.0
ACOAO6p,0.0
ACOAO7p,0.0
ACOAO8p,0.0
ACOAO9p,0.0
AKGMAL,1000.0
AKGt2n,0.0
AKGt2r,1000.0
34HPPOR,0.0
AKGtp,0.0
AKP1,0.0
ALASm,0.0
ALATA_L,656.714285714286
ALATA_Lm,500.0
ACOATA,0.0
ACOATAm,0.0
ACON3MT,0.0
ALATRS,0.0
34HPPt2m,13.799999999999999
ALAt2r,46.0
ALAtmi,500.0
ACONT,1000.0
ACONT3m,150.40000000000012
ACONTm,1000.0
ACOTAim,375.99999999999994
ALCD19y,0.0
ALCD22xi,18.40000000000004
ALCD22xim,18.4
34HPPt2p,0.0
ALCD22yi,18.4
ALCD23xi,22.999999999999996
ALCD23xim,22.999999999999954
ALCD23yi,22.99999999999997
ALCD24xi,18.400000000000034
ALCD24xim,18.400000000000045
ACP1e,0.0
ACPSm,152.65027371897693
ACRNtm,249.41964366582874
ACRNtp,0.0
ACS,272.5
ACSm,295.4999999999998
ACSp,0.0
ACt2r,1000.0
ALCD24yi,18.400000000000023
ALCD25xi,13.799999999999999
ALCD25xim,13.799999999999974
ALCD25yi,13.8
ACtm,392.9910722372572
3C3HMPt,18.400000000000002
ACtp,0.0
ACtr,1000.0
ADA,225.00293269855055
ADCL,19.714285714285715
ALCD26xi,11.500000000000002
ALCD26xim,11.5
ALCD2x_copy1,500.0
ALCD2ir,500.0
ALCD2irm,500.0
ADCS,19.714285714285708
3C3HMPtm,18.400000000000016
ADD,225.00293269855086
ADEt2,0.0
ADEtm,0.0
ADHAPR_SC,30.87133772584762
ADK1,1000.0
ADK1m,776.75
ADK3,1000.0
ALCD2x_copy2,1000.0
ALDD19xr,0.0
ALDD20xm,0.0
ALDD20y,0.0
ALDD20ym,0.0
ALDD22x,12.0
ALDD2xm,152.16666666666688
ALDD2y,182.24999999999915
ALDD2ym,114.12499999999994
ADK3m,500.0
ADK4,1000.0
ADK4m,0.0
ADMDC,13.142857142857142
ADNCYC,272.5
ADNK1,500.0
ADNUC,500.0
ALLTAHr,0.0
ALLTN,0.0
ALLTNti,0.0
ALLTTti,0.0
ADNt2,0.0
3C4MOPtm,0.0
ADPT,272.5
ADSK,169.18632878755628
ALPHNH,87.97153262884505
AMAOTr,0.0
ADSL1r,345.8039215686301
AMETt2,0.0
3DH5HPBMTm,0.0
AMETtm,0.0
AMID,0.0
AMID2,0.0
AMID3,0.0
ADSL2r,27.599999999999987
ADSS,345.8039215686279
AMPN,500.0
AMPDA,345.80392156862746
3DH5HPBtm,0.0
AMPtn,0.0
ANPRT,71.99251868854815
ATPS3v,0.0
3DSPHR,0.0
ATPtm_H,500.0
ATPtp_H,0.0
ANS,11.5
AOBUTDs,0.0
AP4AH,500.0
APRTO2,11.040000000000013
ARAB14LO,0.0
BACCL,0.0
3HAO,6.272727272727272
ARAB1D2,0.0
ARABR,0.0
3HPH5MBDCm,0.0
ARAB_Dt,0.0
ARAB_Lt,0.0
ARGN,104.04083118809689
BPNT,169.18632878755608
BTDD_RR,25.09090909090909
BTDt_RR,25.090909090909104
3IPM3MT,0.0
BTNt2i,0.0
BTSr,0.0
C14STR,2.905263157894738
C22STDS,2.7326732673267196
C22STDSx,2.7326732673267196
C24STRer,2.7878787878788116
C3STDH1,2.9052631578947374
ARGSL,104.04083118809648
ARGSS,104.04083118809648
ARGTRS,0.0
ARGTRSm,0.0
ARGt2m,0.0
ARGt2r,23.000000000000004
ARGt6,0.0
ARMT,0.0
ASAD,150.40000000000003
C3STDH2,2.905263157894736
C3STKR1,2.905263157894736
C3STKR2,2.905263157894736
ASNN,181.66666666666669
C4STMO1,2.9052631578947374
ASNNe,181.66666666666666
C4STMO2,2.9052631578947357
ASNS1,181.66666666666666
3MBALDt,18.400000000000006
ASNTRS,0.0
ASNTRSm,0.0
C5STDS,2.732673267326733
C8STI,2.8163265306122445
ASNt2m,0.0
ASNt2r,181.66666666666663
3MBALDtm,18.400000000000002
ASNt6,500.0
ASNt7,500.0
CAT,13.906999306707341
CATp,0.0
ASPCT,27.600000000000005
3MOBDC,23.00000000000002
ASPGLU2m,91.99999999999994
ASPGLUtp,0.0
ASPK,150.4
ASPOcm,6.57142857142857
CBASPtn,0.0
CBPS,104.04083118809648
CBPtn,0.0
CCP2m,0.0
CDPDGPm_SC,0.0
ASPTA,1000.0
ASPTAm,1000.0
3MOBtm,500.0
ASPTAp,0.0
ASPTRS,0.0
ASPTRSm,0.0
CDPtn,0.0
CER1_24ter,0.0
CER1_26ter,0.0
CER2_24ter,0.0
CER2_26ter,0.0
ASPt2m,1000.0
ASPt2n,1000.0
CERASE124er,500.0
3MOPDC,19.71428571428571
CERASE126er,500.0
ASPt2r,216.1666666666666
ASPt5n,1000.0
ASPt7,0.0
CERASE224er,500.0
CERASE226er,500.0
ATHRDHr,0.0
3MOPt,19.71428571428572
ATP2tp_H,0.0
ATPATF1,500.0
ATPATF2,0.0
ATPATF3,0.0
ATPH1,272.5
ATPM,0.0
CERH124_copy1,0.0
CERH126_copy1,0.0
CERS124,0.0
CERS124er,500.0
CERS126,0.0
CERS126er,500.0
CERS224,0.0
CERS224er,500.0
ATPPRT,21.23076923076925
ATPS,500.0
ATPS3g,0.0
ATPS3m,500.0
CERS226,0.0
CERS226er,500.0
CERH124_copy2,0.0
CERH126_copy2,0.0
CITtbm,19.71428571428571
3MOPtm,519.7142857142857
CITtcm,1000.0
CERS324,0.0
CERS326,0.0
CHLPCTD,181.66666666666666
CHLSTI,2.7878787878787867
CLPNSm_SC,0.0
3OPHB5Hm,0.0
CMPN,272.49999999999994
CHLt2,0.0
CHOLK,181.66666666666666
CHORM,13.800000000000004
CHORS,19.714285714285708
CHRPL,0.0
CO2t,138.0
CO2tg,9.444694955400415
CO2tm,500.0
CO2tn,1000.0
CO2tp,0.0
CHTNDA,0.0
CHTNS,0.0
CITt2r,23.000000000000057
