,range
CITtcp,1000.0
13BGH,1000.0
13BGHe,1000.0
13GS,1000.0
16GS,0.0
23CAPPD,0.0
2DDA7Ptm,1000.0
2DHPtm,1000.0
2DOXG6PP,0.0
2HBO,1000.0
2HBt2,1000.0
2HMHMBQMTm,0.0
2HP6MPMOm,0.0
2HPMBQMTm,0.0
2HPMMBQMOm,0.0
2MBACt,1000.0
EX_epistest_SC_e,10.0
EX_epist_e,1000.0
2MBALDt,1000.0
2MBALDtm,1000.0
2MBTOHt,1000.0
ACACT6p,1000.0
2MBTOHtm,1000.0
ACACT7p,1000.0
2MPPALt,1000.0
ACACT8p,1000.0
ACACT9p,1000.0
ACALDCD,1000.0
ACALDt,1000.0
ACALDtm,1000.0
ACCOAC,1000.0
ACCOACrm,1000.0
AGAT_SC,500.9578309393691
AGPRim,1000.0
AGTi,1000.0
AHCYStm,0.0
ACCOAtn,0.0
2MPPALtm,1000.0
ACESt,1000.0
ACGAM6PS,0.0
AHCi,1000.0
AHMMPS,1000.0
AHSERL,0.0
AHSERL2,1000.0
ACGAMPM,0.0
ACGKm,1000.0
2OBUTtm,1000.0
ACGSm,0.0
2OXOADPtim,1000.0
ACHBSm,1000.0
ACHLE1,1000.0
2PHETOHt,1000.0
ACHLE2,1000.0
ACHLE3,1000.0
ACLSm,1000.0
2PHETOHtm,1000.0
ACOAHim,1000.0
34HPLFM,1000.0
ACOAO4p,1000.0
AICART,1000.0
AIRCr,1000.0
AKGDam,1000.0
AKGDbm,1000.0
ACOAO5p,1000.0
ACOAO6p,1000.0
ACOAO7p,1000.0
ACOAO8p,1000.0
ACOAO9p,1000.0
AKGMAL,1000.0
AKGt2n,0.0
AKGt2r,1000.0
34HPPOR,0.0
AKGtp,1000.0
AKP1,1000.0
ALASm,1000.0
ALATA_L,1000.0
ALATA_Lm,1000.0
ACOATA,0.0
ACOATAm,0.0
ACON3MT,0.0
ALATRS,0.0
34HPPt2m,1000.0
ALAt2r,1000.0
ALAtmi,1000.0
ACONT,1000.0
ACONT3m,1000.0
ACONTm,1000.0
ACOTAim,1000.0
ALCD19y,1000.0
ALCD22xi,1000.0
ALCD22xim,1000.0
34HPPt2p,1000.0
ALCD22yi,1000.0
ALCD23xi,1000.0
ALCD23xim,1000.0
ALCD23yi,1000.0
ALCD24xi,1000.0
ALCD24xim,1000.0
ACP1e,1000.0
ACPSm,1000.0
ACRNtm,1000.0
ACRNtp,1000.0
ACS,1000.0
ACSm,1000.0
ACSp,1000.0
ACt2r,1000.0
ALCD24yi,1000.0
ALCD25xi,1000.0
ALCD25xim,1000.0
ALCD25yi,1000.0
ACtm,1000.0
3C3HMPt,1000.0
ACtp,1000.0
ACtr,1000.0
ADA,1000.0
ADCL,1000.0
ALCD26xi,1000.0
ALCD26xim,1000.0
ALCD2x_copy1,1000.0
ALCD2ir,1000.0
ALCD2irm,1000.0
ADCS,1000.0
3C3HMPtm,1000.0
ADD,1000.0
ADEt2,1000.0
ADEtm,0.0
ADHAPR_SC,1000.0
ADK1,1000.0
ADK1m,1000.0
ADK3,1000.0
ALCD2x_copy2,1000.0
ALDD19xr,0.0
ALDD20xm,1000.0
ALDD20y,1000.0
ALDD20ym,1000.0
ALDD22x,1000.0
ALDD2xm,1000.0
ALDD2y,1000.0
ALDD2ym,1000.0
ADK3m,1000.0
ADK4,1000.0
ADK4m,0.0
ADMDC,1000.0
ADNCYC,1000.0
ADNK1,1000.0
ADNUC,1000.0
ALLTAHr,1000.0
ALLTN,1000.0
ALLTNti,1000.0
ALLTTti,1000.0
