,range
CITtcp,0.0
13BGH,190.79268403137607
13BGHe,0.0
13GS,190.79268403137579
16GS,0.0
23CAPPD,0.0
2DDA7Ptm,0.0
2DHPtm,8.868053396382285
2DOXG6PP,0.0
2HBO,27.188409967219712
2HBt2,27.188409967219712
2HMHMBQMTm,0.0
2HP6MPMOm,0.0
2HPMBQMTm,0.0
2HPMMBQMOm,0.0
2MBACt,13.257435093842018
EX_epistest_SC_e,0.0
EX_epist_e,2.122852492407827
2MBALDt,18.16063830546584
2MBALDtm,17.33096148371762
2MBTOHt,17.330964478121448
ACACT6p,0.0
2MBTOHtm,17.33096148371762
ACACT7p,0.0
2MPPALt,23.0
ACACT8p,0.0
ACACT9p,0.0
ACALDCD,25.09090909090909
ACALDt,52.16535433070871
ACALDtm,500.0
ACCOAC,33.043592869571285
ACCOACrm,0.0
AGAT_SC,0.05385070552653203
AGPRim,196.52794610777914
AGTi,130.65423677214116
AHCYStm,0.0
ACCOAtn,0.0
2MPPALtm,23.0
ACESt,0.0
ACGAM6PS,0.0
AHCi,127.19512268758379
AHMMPS,0.0
AHSERL,0.0
AHSERL2,14.107331443801064
ACGAMPM,0.0
ACGKm,196.52794610777914
2OBUTtm,44.96643625683015
ACGSm,0.0
2OXOADPtim,15.948707073107297
ACHBSm,18.160638305465866
ACHLE1,190.79268403137576
2PHETOHt,12.730979537108341
ACHLE2,190.79268403137573
ACHLE3,0.0
ACLSm,23.0
2PHETOHtm,12.730979537108341
ACOAHim,283.91658479115404
34HPLFM,0.0
ACOAO4p,0.0
AICART,20.0963474071897
AIRCr,20.096347407189736
AKGDam,92.0
AKGDbm,92.0
ACOAO5p,0.0
ACOAO6p,0.0
ACOAO7p,0.0
ACOAO8p,0.0
ACOAO9p,0.0
AKGMAL,60.88199410997469
AKGt2n,0.0
AKGt2r,34.5
34HPPOR,0.0
AKGtp,0.0
AKP1,0.0
ALASm,0.0
ALATA_L,630.6540950307806
ALATA_Lm,500.0
ACOATA,0.0
ACOATAm,0.0
ACON3MT,0.0
ALATRS,0.0
34HPPt2m,0.22237943172899785
ALAt2r,45.92054263565894
ALAtmi,500.0
ACONT,130.65423677214608
ACONT3m,0.0
ACONTm,130.6540089862715
ACOTAim,196.52794610777897
ALCD19y,0.0
ALCD22xi,17.330964478121462
ALCD22xim,17.33096447812144
34HPPt2p,0.0
ALCD22yi,17.036924294635387
ALCD23xi,23.0
ALCD23xim,23.0
ALCD23yi,22.96027131782946
ALCD24xi,16.892039782672324
ALCD24xim,16.89203978267234
ACP1e,0.0
ACPSm,0.0
ACRNtm,175.0543488105739
ACRNtp,0.0
ACS,190.79268403138502
ACSm,283.9165847911458
ACSp,0.0
ACt2r,441.63503190316
ALCD24yi,16.554363710945893
ALCD25xi,12.730979537108345
ALCD25xim,12.730979537108341
ALCD25yi,12.57696390658174
ACtm,297.90180473106363
3C3HMPt,16.229924031376914
ACtp,0.0
ACtr,381.58573612854747
ADA,168.7586210941675
ADCL,14.813569372916065
ALCD26xi,9.65231491959456
ALCD26xim,9.652314919594563
ALCD2x_copy1,500.0
ALCD2ir,46.0
ALCD2irm,500.0
ADCS,14.813569372916065
3C3HMPtm,17.2788803837309
ADD,168.75862109416784
ADEt2,0.0
ADEtm,0.0
ADHAPR_SC,0.05385070552653203
ADK1,500.0
ADK1m,770.6666293126907
ADK3,881.5853680627515
ALCD2x_copy2,546.0
ALDD19xr,0.0
ALDD20xm,0.0
ALDD20y,0.0
ALDD20ym,0.0
ALDD22x,8.933020764698146
ALDD2xm,121.22499914753972
ALDD2y,145.32316852261442
ALDD2ym,94.02492972225677
ADK3m,499.9999990501741
ADK4,500.0
ADK4m,0.0
ADMDC,10.017333821238841
ADNCYC,190.79268403137573
ADNK1,381.58536806275146
ADNUC,381.5853680627519
ALLTAHr,0.0
ALLTN,0.0
ALLTNti,0.0
ALLTTti,0.0
ADNt2,0.0
3C4MOPtm,0.0
ADPT,190.7926840313757
ADSK,89.45225067761547
ALPHNH,62.637202475100395
AMAOTr,0.0
ADSL1r,277.4634146341464
AMETt2,0.0
3DH5HPBMTm,0.0
AMETtm,0.0
AMID,0.0
AMID2,0.0
AMID3,0.0
ADSL2r,20.09634740718973
ADSS,277.4634146341464
AMPN,381.5844133456371
AMPDA,277.4634146341464
3DH5HPBtm,0.0
AMPtn,0.0
ANPRT,52.87350201258593
ATPS3v,0.0
3DSPHR,0.0
ATPtm_H,500.0
ATPtp_H,0.0
ANS,9.883600462794917
AOBUTDs,0.0
AP4AH,381.58536806275157
APRTO2,7.980833369544021
ARAB14LO,0.0
BACCL,0.0
3HAO,3.947601771602677
ARAB1D2,0.0
ARABR,0.0
3HPH5MBDCm,0.0
ARAB_Dt,0.0
ARAB_Lt,0.0
ARGN,62.637202475100395
BPNT,89.45225067761547
BTDD_RR,25.090909090909093
BTDt_RR,25.090909090909093
3IPM3MT,0.0
BTNt2i,0.0
BTSr,0.0
C14STR,2.2157539847312187
C22STDS,2.0748558274535958
C22STDSx,2.0786134258657767
C24STRer,2.106608762183247
C3STDH1,2.2157539847312187
ARGSL,62.63720247510068
ARGSS,62.63720247510068
ARGTRS,0.0
ARGTRSm,0.0
ARGt2m,0.0
ARGt2r,16.396581978142077
ARGt6,0.0
ARMT,0.0
ASAD,100.36024762895768
C3STDH2,2.2157537463838786
C3STKR1,2.2157537463838786
C3STKR2,2.2157537463838786
ASNN,127.19512268758383
C4STMO1,2.2157537463838786
ASNNe,127.19512268758389
C4STMO2,2.2157537463838786
ASNS1,127.19512268758403
3MBALDt,17.2788803837309
ASNTRS,0.0
ASNTRSm,0.0
C5STDS,2.078613199225701
C8STI,2.1228524924078265
ASNt2m,0.0
ASNt2r,127.19481891391901
3MBALDtm,16.892039782672345
ASNt6,63.597561343791924
ASNt7,63.597561343791924
CAT,8.694230313313366
CATp,0.0
ASPCT,18.265386509765957
3MOBDC,23.0
ASPGLU2m,92.00000000000439
ASPGLUtp,0.0
ASPK,100.36024762895782
ASPOcm,0.0
CBASPtn,0.0
CBPS,62.63720247510056
CBPtn,0.0
CCP2m,0.0
CDPDGPm_SC,0.0
ASPTA,1000.0
ASPTAm,1000.0
3MOBtm,500.0
ASPTAp,0.0
ASPTRS,0.0
ASPTRSm,0.0
CDPtn,0.0
CER1_24ter,0.0
CER1_26ter,0.0
CER2_24ter,0.0
CER2_26ter,0.0
ASPt2m,1000.0
ASPt2n,0.0
CERASE124er,0.0
3MOPDC,18.16063830546583
CERASE126er,0.0
ASPt2r,161.6951226875901
ASPt5n,0.0
ASPt7,0.0
CERASE224er,0.0
CERASE226er,0.0
ATHRDHr,0.0
3MOPt,17.401632295747376
ATP2tp_H,0.0
ATPATF1,381.58536806275146
ATPATF2,0.0
ATPATF3,0.0
ATPH1,190.79268403137573
ATPM,0.0
CERH124_copy1,0.0
CERH126_copy1,0.0
CERS124,0.0
CERS124er,0.0
CERS126,0.0
CERS126er,0.0
CERS224,0.0
CERS224er,0.0
ATPPRT,15.902238044643655
ATPS,381.58536806275146
ATPS3g,0.0
ATPS3m,490.33326896981873
CERS226,0.0
CERS226er,0.0
CERH124_copy2,0.0
CERH126_copy2,0.0
CITtbm,0.0
3MOPtm,518.1606383054658
CITtcm,216.6877185893244
CERS324,0.0
CERS326,0.0
CHLPCTD,0.0
CHLSTI,2.1066087621832477
CLPNSm_SC,0.0
3OPHB5Hm,0.0
CMPN,190.7922283708799
CHLt2,0.0
CHOLK,0.0
CHORM,13.178531701890998
CHORS,14.81356937291606
CHRPL,0.0
CO2t,138.00000000002407
CO2tg,0.02289200032504398
CO2tm,500.0
CO2tn,469.8780509895929
CO2tp,0.0
CHTNDA,0.0
CHTNS,0.0
CITt2r,23.0
CO2tv,0.02288788107011081
COAHLp,0.0
3OPHB_5tm,0.0
COAtim,0.0
CITtam,130.65423677214122
CITtap,0.0
COAtn,0.0
4ABUTNtm,0.0
COUCOAFm,0.0
CPPPGO,0.0
4ABUTtm,0.0
CRNCARtm,175.05434881057326
CRNCARtp,0.0
DCTPD,190.79268403137564
DCYTD,381.5853680627516
CRNt,0.0
4ABZt,14.813569372916085
CRNtim,175.05434881057403
DCYTt2,0.0
CRNtp,0.0
4ABZtm,0.0
CSNATm,175.05434881057414
DDPA,14.81356937291606
DDPAm,0.0
DESAT14,0.0
DESAT16,0.020755413628039877
DESAT18,0.0402899205720774
CSNATp,0.0
CSNATr,175.05434881057414
CSND,190.79268403137564
CSNt2,0.0
CSm,130.654236772141
DESAT18_2,0.01098816015602111
DGDPtn,0.0
CSp,0.0
DGGH,0.0
4H2OGLTtm,0.0
DGK1,390.48905769360636
DGSNt2,0.0
CTPS1,190.79268403137544
CTPS2,127.19512268758382
CTPtm,0.0
DHAD1m,23.0
4H2OGLTtp,0.0
DHAD2m,18.160638305465792
DHAK,381.5853680627519
CYOOm,138.00000000000549
CYOR_u6m,276.00000000001097
DHAPtm,0.0
DHFR,18.265386509765957
CYSS,21.271469611778674
4HBZCOAFm,0.0
CYSTGL,25.4024314661169
CYSTL,176.56838400671776
CYSTLp,176.568384006711
CYSTRS,0.0
CYSTS,176.56838400671097
DHFRim,0.0
DHFS,0.0
DHFtm,0.0
DHNPAm,0.0
DHNPTtm,0.0
DHORD4i,18.26538650976595
DHORDfum,18.265386509765943
CYSTtp,176.568384006711
