rxn,lb,ub
2DGLCNRx,-100.0,100.0
2DGLCNRy,-100.0,100.0
2DGULRx,-100.0,100.0
2DGULRy,-100.0,100.0
A5PISO,0.0112827771185306,0.0139481681865951
AACPS1,-99.99774344457626,99.99987499839486
AACPS2,-10.0,9.995501715759904
AACPS3,-99.98078381874149,100.0
AACPS4,-14.0,13.993702402063866
AACPS5,-100.0,99.95501715759904
ABTA,-0.0138418032775007,100.0
ABUTD,-100.0,99.98605183181364
ACALDi,-100.0,100.0
ACCOACr,-97.0446043577428,99.09998386743658
ACCOAL,-100.0,100.0
ACGK,0.0,100.0
ACGS,0.0,99.02040141055608
ACHBS,0.0741439639232197,0.0916593909398599
ACKr,-100.0,100.0
ACLS,0.2229850164861578,0.2756619651597136
ACOATA,-100.0,99.9990000000002
ACODA,-100.0,100.0
ACONT,-100.0,100.0
ACOTA,-99.15364428740102,0.0
ACS,0.0,100.0
ADA,0.0,99.9233851759345
ADCL,0.0134318775223363,0.0166049621267713
ADCS,0.0134318775223302,0.0166049621267713
ADD,0.0,99.32797192456135
ADK1,-100.0,100.0
ADK3,-100.0,100.0
ADMDCr,0.0018804628531228,0.0023246946977479
ADNK1,-100.0,100.0
ADPT,-100.0,99.74373614864597
ADSK,0.0626083988695357,0.077398717366064
ADSL1r,0.0749496229487221,100.0
ADSL2r,0.132198956312719,0.1634290261448806
ADSS,0.0749496230562272,99.34481524545666
AGMHE,0.0067696662712575,0.008368900911909
AGPR,-100.0,100.0
AICART,0.1563763509720956,0.1933179579730571
AIRC2,0.1321989563127203,0.1634290261448836
AIRC3,-0.1634290261448683,-0.1321989563127061
ALAALAr,0.0074143963924009,0.0091659390939506
ALAR,-99.98517120721536,100.0
ALATAD2,-100.0,99.9851712072154
ALATAL,-100.0,99.8466616862051
ALATAL2,-99.98517120721556,100.0
ALDD2x,0.0,99.30357529605644
AMALT1,-100.0,100.0
AMALT2,-100.0,100.0
AMALT3,-100.0,100.0
AMALT4,-100.0,100.0
AMPN,-100.0,100.0
ANPRT,0.0145064277241166,0.0179333590969181
ANS,0.0145064277241166,0.017933359096913
APRAUR,2.686375504461174e-06,3.3209924253542664e-06
ARGSL,-99.90668011284843,100.0
ARGSS,-99.90668011284843,100.0
ASAD,-100.0,99.83408321843092
ASNN,-100.0,100.0
ASNS1,-99.93848200094772,100.0
ASNS2,-99.8727836195531,100.0
ASP1DC,1.5849615476362655e-05,1.9593855309613103e-05
ASPCT,0.1247604182245538,0.2460105448020471
ASPK,-99.83408321843092,100.0
ASPO3,-100.0,100.0
ASPO4,-100.0,100.0
ASPO5,-100.0,100.0
ASPO6,-60.36168243010289,60.04156590527751
ASPT,0.0,99.18908631097992
ASPTA,-99.94485937363278,-0.6653926977036662
AST,-100.0,99.90668011284843
ATPHYD,3.15,100.0
ATPPRT,0.0241773795401204,0.0298889318283386
BETALDHx,-100.0,100.0
BETALDHy,-100.0,100.0
BPNT,0.0626083988695351,0.077398717366064
BSORx,-100.0,100.0
BSORy,-100.0,99.99950000000004
C120SN,0.0112827771186931,0.0139481681865951
C140SN,-99.99628796632793,100.0
C141SN,0.0036386956207969,0.0044982842401406
C160SN,-99.39950803618552,100.0
C161SN,0.0050941738691197,0.006297597936193
C181SN,0.0363869562082186,0.0449828424014242
CAT,0.0,30.020151145475577
CBMK,-100.0,100.0
CBPS,-100.0,100.0
CDAPPAEC,-100.0,100.0
CHORM,0.0824717279882616,0.1019544674574479
CHORS,0.1104100332335543,0.1364927886820603
CITL,0.0,99.35316467428191
CLPNSEC,0.0017327122003766,0.0021420401143623
CMPN,0.0,99.89813264087137
CS,-100.0,100.0
CSND,0.0,99.90495603465268
CTPS2,-100.0,100.0
CYSS,-99.92260128263474,100.0
CYSTL,0.0392210823650884,0.0484864894102372
cytd,0.0,99.89813264087148
CYTDK2,-100.0,100.0
CYTK1,-100.0,100.0
CYTK2,-100.0,100.0
DAAD,-100.0,100.0
DADA,-0.0082028512906475,99.91841502948546
DADK,-100.0,100.0
DAGKEC,0.0,100.0
DAPDC,0.0875758414468492,0.108264353065536
DAPE,0.0949902378390703,0.117430292159625
DASYNEC,-100.0,100.0
DB4PS,5.372751008932086e-06,6.641984850708533e-06
DCTPD,-100.0,100.0
DCYTD,-100.0,100.0
DDPA,0.1104100332335543,0.1364927886820603
DGK1,-100.0,100.0
DHAD1,0.2229850164861578,0.2756619651597136
DHAD2,0.0741439639232339,0.0916593909398599
DHAPT,-100.0,100.0
DHDPRy,0.0949902378379192,0.1174302921605268
DHDPS,0.0949902378379192,0.1174302921605268
DHFR,0.0200672250183621,0.0248078134173963
DHFS,0.0134318775223302,0.0166049621267713
DHNPA2,0.0134318775223302,0.0166049621267713
DHORD2,0.0,60.663965460316106
DHORD5,-60.539218997923705,0.2460105448020471
DHORTS,-0.2460105448020328,-0.1247604182245112
DHPPDA2,2.686375504461174e-06,3.3209924253542664e-06
DHPS2,0.0134318775223302,0.0166049621267713
DHQD,0.1104100332335543,0.136492788682099
DHQS,0.1104100332335543,0.136492788682099
DKGLCNR1,-100.0,100.0
DKGLCNR2x,-100.0,100.0
DKGLCNR2y,-100.0,100.0
DKMPPD,0.0,0.0023246946977486
DKMPPD2,0.0,0.0023246946977479
DMPPS,0.0,0.0
DMSOR1,0.0,0.0
DMSOR2,0.0,0.0
DNMPPA,0.0134318775223302,0.0166049621267713
DNTPPA,0.0134318775223363,0.0166049621267713
DPCOAK,1.584961547632343e-05,1.9593855309613103e-05
DPR,-1.9593855309613103e-05,1.9593855309613103e-05
DRPA,-100.0,99.88932493853302
DTMPK,-99.99179714870944,100.0
DURIK1,-99.90568140023244,100.0
DURIPP,-100.0,99.89925661291976
DUTPDP,-100.0,100.0
EDA,0.0,100.0
EDD,0.0,100.0
EDTXS1,0.0022565554237525,0.0027896336373027
EDTXS2,0.0022565554237525,0.0027896336373027
ENO,-100.0,100.0
ETHAAL,-100.0,99.3064733359289
F6PA,-100.0,100.0
FAO1,-99.9995133249245,99.99628796632794
FAO2,-100.0,99.97380139153024
FBA,-100.0,100.0
FBP,0.0,100.0
FMNAT,2.686375504466043e-06,3.3209924253548018e-06
FRD2,-100.0,100.0
FRD3,-100.0,100.0
FRUK,0.0,0.0
FTHFD,-100.0,100.0
fum,-99.71072971225296,100.0
G1PACT,0.0193419036320603,0.0239111454626417
G1PP,-100.0,100.0
G3PD2,-100.0,99.95564794042129
G3PD5,0.0,60.66469885594976
G3PD6,-100.0,100.0
G3PD7,-100.0,100.0
G5SADs,-99.93025915906824,100.0
G5SD,-100.0,100.0
G6PDA,-100.0,99.98065809636756
G6PDH2r,-100.0,100.0
GALU,0.005319023498572,99.9034516643695
GAPD,-100.0,99.30492990144896
GARFT,-99.8678010436855,99.84362366414706
GART,-99.71142470783434,100.0
GCALDD,0.0134318775223363,0.0166049621267714
GF6PTA,-99.98065809636756,99.75330054837366
GHMT2,-100.0,100.0
GK1,0.0679679865315705,100.0
GLCP,-25.05114328334996,24.94885671665004
GLCS1,-25.0,25.0
GLGC,0.0,99.74415550490522
GLNS,0.0,100.0
GLU5K,-100.0,100.0
GLUDC,-100.0,100.0
GLUDy,-100.0,100.0
GLUN,-100.0,100.0
GLUPRT,0.1321989563127271,0.1634290261453088
GLUR,-0.0091659390939469,-0.0074143963923773
GLUSy,-100.0,100.0
GLXCL,0.0,99.9926005144466
