rxn,lb,ub
2DGLCNRx,-100.0,100.0
2DGLCNRy,-100.0,100.0
2DGULRx,-100.0,100.0
2DGULRy,-100.0,100.0
A5PISO,0.0281752540556174,0.0294789519508729
AACPS1,-99.99073034141564,100.0
AACPS2,-10.0,9.990493037995918
AACPS3,-99.93457706008262,100.0
AACPS4,-14.0,13.986690253194288
AACPS5,-100.0,99.90493037995918
ABTA,-0.0294789519508071,99.3170608535056
ABUTD,-100.0,99.97052104804936
ACALDi,-100.0,100.0
ACCOACr,-91.88836946219683,100.0
ACCOAL,-100.0,100.0
ACGK,0.0,91.03359248599904
ACGS,0.0,93.12600376038236
ACHBS,0.1851516695099349,0.193718827105306
ACKr,-99.9801770454643,100.0
ACLS,0.5568362668180667,0.5826016518411882
ACOATA,-100.0,100.0
ACODA,0.0,91.01866963697826
ACONT,-18.70273794424752,91.0773077758658
ACOTA,-100.0,0.0
ACS,-12.830028728162077,90.97266835379652
ADA,0.0,98.16010233551494
ADCL,0.0335419691141272,0.0350939904176202
ADCS,0.0335419691141254,0.0350939904176281
ADD,0.0,98.16010627263177
ADK1,-100.0,100.0
ADK3,-100.0,100.0
ADMDCr,0.0046958756759778,0.0049131586584678
ADNK1,-100.0,99.48741023203384
ADPT,-100.0,100.0
ADSK,0.1563451555953875,0.1635794062547996
ADSL1r,0.1871635545729475,98.36383554752832
ADSL2r,0.3301260975756861,0.3454013706084993
ADSS,0.2037332873152877,91.67303045648757
AGMHE,0.0169051524335039,0.0176873711704801
AGPR,-92.87287362469576,0.0
AICART,0.3905016419811034,0.4085705533601924
AIRC2,0.3301261353311844,0.3454013706085419
AIRC3,-0.3454013706084424,-0.3301260975757856
ALAALAr,0.0185151669510514,0.0193718827104873
ALAR,-99.962969666098,100.0
ALATAD2,-100.0,99.96296966609822
ALATAL,-100.0,99.61708488059332
ALATAL2,-99.962969666098,100.0
ALDD2x,0.0,92.01300226760304
AMALT1,-91.27151431849798,91.7138899282005
AMALT2,-91.5181111186358,91.28909778436196
AMALT3,-91.1350124924669,91.056563681878
AMALT4,-94.04713142209653,97.68881124007072
AMPN,-100.0,100.0
ANPRT,0.0362253266432574,0.0379015096510383
ANS,0.0362253266432574,0.0379015096510298
APRAUR,6.708393822825448e-06,7.018798083524042e-06
ARGSL,-99.80277177385406,100.0
ARGSS,-99.80277177385406,100.0
ASAD,-100.0,99.64934084774907
ASNN,-100.0,100.0
ASNS1,0.0,90.92009857426548
ASNS2,-99.84637778145776,100.0
ASP1DC,3.957952355460037e-05,4.141090869280717e-05
ASPCT,0.4732656874177223,0.5765682096593707
ASPK,-99.64934084774907,100.0
ASPO3,-46.98451222616771,47.1714979074373
ASPO4,-100.0,100.0
ASPO5,-100.0,100.0
ASPO6,0.0,46.633443268271776
ASPT,0.0,97.98793850186254
ASPTA,-100.0,-1.823327931742991
AST,-100.0,99.80277177385406
ATPHYD,3.15,99.95961163708267
ATPPRT,0.060375544405403,0.0631691827517413
BETALDHx,-100.0,100.0
BETALDHy,-100.0,100.0
BPNT,0.1563451555953876,0.1635794062548029
BSORx,-100.0,100.0
BSORy,-100.0,100.0
C120SN,0.0281752540557942,0.0294789519508871
C140SN,-99.9907303414156,100.0
C141SN,0.0090865194330174,0.0095069620041314
C160SN,-99.9345770600822,100.0
C161SN,0.0127211272062233,0.0133097468057865
C181SN,0.0908651943301777,0.095069620041329
CAT,0.0,23.49317143310109
CBMK,-100.0,100.0
CBPS,0.0,100.0
CDAPPAEC,-100.0,100.0
CHORM,0.2059476903616648,0.2154771011630885
CHORS,0.2757149861181259,0.2884726012328381
CITL,0.0,99.91473253618904
CLPNSEC,0.0043269140157135,0.0045271247638777
CMPN,0.0,99.79807734593317
CS,-20.11753542959451,100.0
CSND,-100.0,100.0
CTPS2,0.0,99.0418951191152
CYSS,-99.8364205937461,100.0
CYSTL,0.0979425498132258,0.1024744520195071
cytd,0.0,99.79807734593314
CYTDK2,-99.76446829288084,99.93004350794756
CYTK1,-100.0,100.0
CYTK2,-100.0,100.0
DAAD,-100.0,100.0
DADA,-0.0173364312663011,98.16010229775908
DADK,-100.0,100.0
DAGKEC,0.0,100.0
DAPDC,0.2186936386251119,0.228812817521657
DAPE,0.2372088055751078,0.248184700233466
DASYNEC,-100.0,100.0
DB4PS,1.3416787645650896e-05,1.4037596167270137e-05
DCTPD,0.0,99.57653243918318
DCYTD,-100.0,100.0
DDPA,0.2757149861179613,0.2884726012328382
DGK1,-100.0,100.0
DHAD1,0.5568362668180667,0.5826016518411882
DHAD2,0.1851516695108301,0.1937188271042345
DHAPT,-100.0,100.0
DHDPRy,0.2372088055751078,0.2481847002334101
DHDPS,0.2372088055751078,0.2481847002334101
DHFR,0.050111701856506,0.0524304216839245
DHFS,0.0335419691141254,0.0350939904176202
DHNPA2,0.0335419691141272,0.0350939904176202
DHORD2,0.0,47.17149711454777
DHORD5,-46.69823289141144,0.573380868208389
DHORTS,-0.5765682096593565,-0.4732656874177081
DHPPDA2,6.708393822825448e-06,7.018798083735511e-06
DHPS2,0.0335419691141254,0.0350939904176202
DHQD,0.2757149861180181,0.2884726012328381
DHQS,0.2757149861180181,0.2884726012328381
DKGLCNR1,-100.0,100.0
DKGLCNR2x,-100.0,100.0
DKGLCNR2y,-100.0,100.0
DKMPPD,0.0,0.0049131586584668
DKMPPD2,0.0,0.0049131586584668
DMPPS,0.0,0.0
DMSOR1,0.0,0.0
DMSOR2,0.0,0.0
DNMPPA,0.0335419691141254,0.0350911883167721
DNTPPA,0.0335419691141272,0.0350939904176202
DPCOAK,-4.141090869280717e-05,4.141090869280717e-05
DPR,-4.141090869280717e-05,4.141090869280717e-05
DRPA,-100.0,99.7660922369496
DTMPK,-99.9826635687338,100.0
DURIK1,-99.76446829288192,100.0
DURIPP,-100.0,99.21762145754934
DUTPDP,-100.0,100.0
EDA,0.0,100.0
EDD,0.0,100.0
EDTXS1,0.0056350508111679,0.0058957903901598
EDTXS2,0.0056350508111679,0.0058957903901598
ENO,0.0,100.0
ETHAAL,-100.0,99.59198945014178
F6PA,-100.0,100.0
FAO1,-100.0,99.9907303414156
FAO2,-100.0,99.933816555843
FBA,-100.0,100.0
FBP,0.0,99.95187318593752
FMNAT,6.708393822819045e-06,7.01879808374609e-06
FRD2,-100.0,100.0
FRD3,-100.0,100.0
FRUK,0.0,0.0
FTHFD,0.0,100.0
fum,-92.75497643718955,100.0
G1PACT,0.0483004355241751,0.0505353462014372
G1PP,-91.43501576180232,91.06344965783428
G3PD2,-100.0,100.0
G3PD5,0.0,47.17150363908666
G3PD6,-100.0,100.0
G3PD7,-100.0,100.0
G5SADs,-99.85260524024682,100.0
G5SD,-91.4874751876106,91.0569560837803
G6PDA,-0.0505353462013857,93.13439410529136
G6PDH2r,0.0,100.0
GALU,-6.061145154614707,99.91638445154156
GAPD,-92.1661990689631,100.0
GARFT,-94.48371940980202,99.60949832026348
GART,-99.26122337757955,100.0
GCALDD,0.0335419691141254,0.0350939904176202
GF6PTA,0.0,91.32744598923452
GHMT2,-100.0,100.0
GK1,0.1697290721113091,100.0
GLCP,-0.1080894904857956,24.89669073512809
GLCS1,0.0,25.0
GLGC,0.0,99.91750297274837
GLNS,0.9581040214656156,100.0
GLU5K,-92.43065867615984,92.04572024105045
GLUDC,-100.0,100.0
GLUDy,-100.0,100.0
GLUN,0.0,93.45738528147362
