,tfva_dir,init_dir,nomet_dir,tfva_dir_ac
ALAabc,Reversible,Forward,Reversible,Reversible
ALDD2x,Forward,Forward,Forward,Forward
ABTA,Reversible,Forward,Reversible,Reversible
ABUTD,Reversible,Forward,Reversible,Reversible
AMALT1,Reversible,Forward,Reversible,Reversible
AMALT2,Reversible,Forward,Reversible,Reversible
AMALT3,Reversible,Forward,Reversible,Reversible
AMALT4,Reversible,Forward,Reversible,Reversible
AMPN,Reversible,Forward,Reversible,Reversible
ANPRT,Forward,Forward,Forward,Forward
ANS,Forward,Forward,Forward,Forward
ACCOAL,Reversible,Forward,Reversible,Reversible
2DGLCNRx,Reversible,Forward,Reversible,Reversible
2DGLCNRy,Reversible,Forward,Reversible,Reversible
ACGK,Forward,Forward,Forward,Forward
ACGS,Forward,Forward,Forward,Forward
ACHBS,Forward,Forward,Forward,Forward
ACKr,Reversible,Reversible,Reversible,Reversible
ACLS,Forward,Forward,Forward,Forward
2DGULRx,Reversible,Forward,Reversible,Reversible
APRAUR,Forward,Forward,Forward,Forward
2DGULRy,Reversible,Forward,Reversible,Reversible
ARBabc,Reversible,Forward,Reversible,Reversible
ACOATA,Reversible,Reversible,Reversible,Reversible
ACODA,Forward,Forward,Forward,Reversible
ARBt2r,Reversible,Reversible,Reversible,Reversible
ACONT,Reversible,Reversible,Reversible,Reversible
ACOTA,Backward,Reversible,Backward,Backward
A5PISO,Forward,Reversible,Forward,Forward
AACPS1,Reversible,Forward,Reversible,Reversible
AACPS2,Reversible,Forward,Reversible,Reversible
ACS,Reversible,Forward,Reversible,Forward
ACt2r,Backward,Reversible,Backward,Forward
ADA,Forward,Forward,Forward,Forward
ADCL,Forward,Forward,Forward,Forward
ADCS,Forward,Forward,Forward,Forward
AACPS3,Reversible,Forward,Reversible,Reversible
AACPS4,Reversible,Forward,Reversible,Reversible
ADD,Forward,Forward,Forward,Forward
AACPS5,Reversible,Forward,Reversible,Reversible
ARGORNt7,Reversible,Reversible,Reversible,Reversible
ADK1,Reversible,Reversible,Reversible,Reversible
ADK3,Reversible,Reversible,Reversible,Reversible
ARGSL,Reversible,Reversible,Reversible,Reversible
ARGSS,Reversible,Forward,Reversible,Reversible
ADNK1,Reversible,Forward,Reversible,Reversible
C120SN,Forward,Forward,Forward,Forward
ARGabc,Reversible,Forward,Reversible,Reversible
ASAD,Reversible,Reversible,Reversible,Reversible
ADPT,Reversible,Forward,Reversible,Reversible
ASNN,Reversible,Forward,Reversible,Reversible
ADSK,Forward,Forward,Forward,Forward
ADSL1r,Forward,Reversible,Forward,Forward
ADSL2r,Forward,Reversible,Forward,Forward
ADSS,Forward,Forward,Forward,Forward
C140SN,Reversible,Forward,Reversible,Reversible
C141SN,Forward,Forward,Forward,Forward
C160SN,Reversible,Forward,Reversible,Reversible
C161SN,Forward,Forward,Forward,Forward
C181SN,Forward,Forward,Forward,Forward
AGMHE,Forward,Forward,Forward,Forward
ASNS1,Forward,Forward,Reversible,Reversible
AGPR,Backward,Reversible,Backward,Reversible
ASNS2,Reversible,Forward,Reversible,Reversible
ASNabc,Reversible,Forward,Reversible,Reversible
ASNt2r,Reversible,Reversible,Reversible,Reversible
CAT,Forward,Forward,Forward,Forward
ASP1DC,Forward,Forward,Forward,Forward
AICART,Forward,Reversible,Forward,Forward
AIRC2,Forward,Forward,Forward,Forward
AIRC3,Backward,Reversible,Backward,Backward
ASPCT,Forward,Forward,Forward,Forward
ALAALAr,Forward,Reversible,Forward,Forward
CBPS,Forward,Forward,Forward,Reversible
CHLabc,Forward,Forward,Forward,Forward
ASPK,Reversible,Reversible,Reversible,Reversible
CHORM,Forward,Forward,Forward,Forward
CHORS,Forward,Forward,Forward,Forward
CITL,Forward,Forward,Forward,Forward
DB4PS,Forward,Forward,Forward,Forward
CMPN,Forward,Forward,Forward,Forward
CO2t,Reversible,Reversible,Reversible,Reversible
ASPT,Forward,Forward,Reversible,Forward
DCTPD,Forward,Forward,Forward,Reversible
ASPTA,Backward,Reversible,Reversible,Backward
DCYTD,Reversible,Forward,Reversible,Reversible
ASPabc,Backward,Forward,Reversible,Reversible
CS,Reversible,Forward,Reversible,Reversible
CSND,Reversible,Forward,Reversible,Forward
DDPA,Forward,Forward,Forward,Forward
DGK1,Reversible,Reversible,Reversible,Reversible
DHAD1,Forward,Forward,Forward,Forward
DHAD2,Forward,Forward,Forward,Forward
CTPS2,Forward,Forward,Forward,Reversible
DHAPT,Reversible,Forward,Reversible,Reversible
CYSS,Reversible,Forward,Reversible,Reversible
CYSTL,Forward,Forward,Forward,Forward
DHDPRy,Forward,Forward,Forward,Forward
CYTBD,Forward,Forward,Forward,Forward
AST,Reversible,Forward,Reversible,Reversible
CYTBO3,Reversible,Forward,Reversible,Reversible
