cond,met,conc_M_min,conc_M_max
WT-Ace_I,ac_e,0.0279621976830838,0.03839509518325317
WT-Ace_I,orot_e,1e-07,7.687379884689302e-05
WT-Fruc_I,fru_e,0.02231904973357016,0.0296458703374778
WT-Fruc_I,orot_e,1e-07,0.000153747597693786
WT-Fruc_I,ac_e,1e-07,0.002083192195650701
WT-Fum_I,fum_e,0.01100198156285,0.01828207116395279
WT-Fum_I,orot_e,1e-07,0.0001089045483664318
WT-Fum_I,succ_e,1e-07,0.0006605131679227708
WT-Gal_I,gal_e,0.001620781527531083,0.01001887211367673
WT-Gal_I,orot_e,1e-07,0.0003523382447149263
WT-Gal_I,ac_e,1e-07,0.004081701781722106
WT-Glc_I,glc-D_e,0.02451154529307283,0.02776976021314387
WT-Glc_I,orot_e,1e-07,7.687379884689302e-05
WT-Glc_I,ac_e,1e-07,0.002963891335275388
WT-GlyCAA_I,orot_e,1e-07,6.406149903907751e-06
WT-GlyCAA_I,ac_e,1e-07,0.0005080956574757808
WT-GlyCAA_II,orot_e,1e-07,8.327994875080077e-05
WT-GlyCAA_II,ac_e,1e-07,0.00159203306009078
WT-GlyCAA_II,val-L_e,1e-07,0.0005103289
WT-GlyCAA_II,ile-L_e,1e-07,0.0003037648
WT-GlyCAA_II,leu-L_e,1e-07,0.0005476448999999999
WT-GlyCAA_II,lys-L_e,1e-07,0.0005190114
WT-GlyCAA_II,his-L_e,1e-07,0.0001127863
WT-Glyc_I,glyc_e,0.02498642632207623,0.03101313932023021
WT-Glyc_I,orot_e,1e-07,9.609224855861628e-05
WT-Glyc_I,ac_e,1e-07,0.0005589052232233589
WT-Mann_I,man_e,0.02646536412078153,0.02843028419182949
WT-Mann_I,orot_e,1e-07,8.968609865470853e-05
WT-Mann_I,ac_e,1e-07,0.0006605243547185151
WT-Mann_I,for_e,1e-07,0.0002824245057571149
WT-Pyr_I,pyr_e,0.007756075403134227,0.02930956166250284
WT-Pyr_I,orot_e,1e-07,7.687379884689302e-05
WT-Pyr_I,ac_e,1e-07,0.009247340966059212
WT-Pyr_I,lac-D_e,1e-07,0.002020426287744227
WT-Succ_I,succ_e,0.02200016936235075,0.03289863663307646
WT-Succ_I,orot_e,1e-07,0.0001921844971172326
WT-Succ_I,fum_e,1e-07,0.0007150857241319894
WT-Succ_I,mal-L_e,1e-07,0.0004623760161085838
dptsG-Glc_I,glc-D_e,0.0250832593250444,0.02760879218472469
dptsG-Glc_I,orot_e,1e-07,8.327994875080077e-05
