,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,0.029478951950638044,0.029478951950638044
5,AACPS1,-100.0,100.0
6,AACPS2,-10.0,9.990493037995918
7,AACPS3,-100.0,100.0
8,AACPS4,-14.0,13.986690253194288
9,AACPS5,-100.0,99.90493037995918
10,ABTA,-100.0,100.0
11,ABUTD,-100.0,99.97052104804936
12,ACALDi,-100.0,100.0
13,ACCOACr,-100.0,100.0
14,ACCOAL,-100.0,100.0
15,ACGK,-100.0,100.0
16,ACGS,-100.0,100.0
17,ACHBS,0.19371882710419236,0.19371882710419236
18,ACKr,-100.0,100.0
19,ACLS,0.5826016518379489,0.5826016518379489
20,ACOATA,-100.0,100.0
21,ACODA,-100.0,100.0
22,ACONT,-100.0,100.0
23,ACOTA,-100.0,100.0
24,ACS,-100.0,100.0
25,ADA,-100.0,100.0
26,ADCL,0.03509399041743272,0.03509399041743272
27,ADCS,0.035093990417429166,0.035093990417429166
28,ADD,-100.0,100.0
29,ADK1,-100.0,100.0
30,ADK3,-100.0,100.0
31,ADMDCr,0.004913158658439559,0.004913158658439559
32,ADNK1,-100.0,100.0
33,ADPT,-100.0,100.0
34,ADSK,0.16357940625386785,0.16357940625386785
35,ADSL1r,-100.0,100.0
36,ADSL2r,0.3454013706063961,0.3454013706063961
37,ADSS,-100.0,100.0
38,AGMHE,0.017687371170382826,0.017687371170382826
39,AGPR,-100.0,100.0
40,AICART,0.40857055335798886,0.40857055335798886
41,AIRC2,0.34540137060662157,0.34540137060662157
42,AIRC3,-0.3454013706061299,-0.3454013706061299
43,ALAALAr,0.019371882710419286,0.019371882710419286
44,ALAR,-100.0,100.0
45,ALATAD2,-100.0,100.0
46,ALATAL,-100.0,100.0
47,ALATAL2,-100.0,100.0
48,ALDD2x,-100.0,100.0
49,AMALT1,-100.0,100.0
50,AMALT2,-100.0,100.0
51,AMALT3,-100.0,100.0
52,AMALT4,-100.0,100.0
53,AMPN,-100.0,100.0
54,ANPRT,0.03790150965082035,0.03790150965082035
55,ANS,0.03790150965082035,0.03790150965082035
56,APRAUR,7.018798100943968e-06,7.018798100943968e-06
57,ARGSL,-99.80277177385406,100.0
58,ARGSS,-99.80277177385406,100.0
59,ASAD,-100.0,99.64934084774909
60,ASNN,-100.0,100.0
61,ASNS1,-100.0,100.0
62,ASNS2,-100.0,100.0
63,ASP1DC,4.141090866482955e-05,4.141090866482955e-05
64,ASPCT,0.48304652567108364,0.5765682096581319
65,ASPK,-99.64934084774907,100.0
66,ASPO3,-100.0,100.0
67,ASPO4,-100.0,100.0
68,ASPO5,-100.0,100.0
69,ASPO6,-100.0,100.0
70,ASPT,-100.0,100.0
71,ASPTA,-100.0,100.0
72,AST,-100.0,99.80277177385406
73,ATPHYD,3.15,100.0
74,ATPPRT,0.06316918275136724,0.06316918275136724
75,BETALDHx,-100.0,100.0
76,BETALDHy,-100.0,100.0
77,BPNT,0.16357940625389367,0.16357940625389367
78,BSORx,-100.0,100.0
79,BSORy,-100.0,100.0
80,C120SN,0.029478951950638044,0.029478951950638044
81,C140SN,-99.99030142480825,100.0
82,C141SN,0.009506962004081257,0.009506962004081257
83,C160SN,-99.93154987357062,100.0
84,C161SN,0.013309746805713403,0.013309746805713403
85,C181SN,0.09506962004081257,0.09506962004081257
86,CAT,-100.0,100.0
87,CBMK,-100.0,100.0
88,CBPS,-100.0,100.0
89,CDAPPAEC,-100.0,100.0
90,CHORM,0.21547710116299715,0.21547710116299715
91,CHORS,0.28847260123125135,0.28847260123125135
92,CITL,-100.0,100.0
93,CLPNSEC,0.004527124763847985,0.004527124763847985
94,CMPN,-100.0,100.0
95,CS,-100.0,100.0
96,CSND,-100.0,100.0
97,CTPS2,-100.0,100.0
98,CYSS,-99.8364205937461,100.0
99,CYSTL,0.10247445201888464,0.10247445201888464
100,cytd,-100.0,100.0
101,CYTDK2,-100.0,100.0
102,CYTK1,-100.0,100.0
103,CYTK2,-100.0,100.0
104,DAAD,-100.0,100.0
105,DADA,-100.0,100.0
106,DADK,-100.0,100.0
107,DAGKEC,-99.98820841921975,100.0
108,DAPDC,0.22881281752161678,0.22881281752161678
109,DAPE,0.24818470023203607,0.24818470023203607
110,DASYNEC,-100.0,100.0
111,DB4PS,1.4037596187677082e-05,1.4037596187677082e-05
112,DCTPD,-100.0,100.0
113,DCYTD,-100.0,100.0
114,DDPA,0.2884726012312401,0.2884726012312401
115,DGK1,-100.0,100.0
116,DHAD1,0.582601651837956,0.582601651837956
117,DHAD2,0.19371882710419236,0.19371882710419236
118,DHAPT,-100.0,100.0
119,DHDPRy,0.24818470023203607,0.24818470023203607
120,DHDPS,0.24818470023203607,0.24818470023203607
121,DHFR,0.05243042168363089,0.05243042168363089
122,DHFS,0.03509399041742578,0.03509399041742578
123,DHNPA2,0.03509399041742578,0.03509399041742578
124,DHORD2,-99.5169534743289,100.0
125,DHORD5,-99.5169534743289,100.0
126,DHORTS,-0.5765682096581618,-0.48304652567109785
127,DHPPDA2,7.018798100943968e-06,7.018798100943968e-06
128,DHPS2,0.03509399041742578,0.03509399041742578
129,DHQD,0.2884726012312433,0.2884726012312433
130,DHQS,0.2884726012312433,0.2884726012312433
131,DKGLCNR1,-100.0,100.0
132,DKGLCNR2x,-100.0,100.0
133,DKGLCNR2y,-100.0,100.0
134,DKMPPD,-15.75479071871154,35.820155490986615
135,DKMPPD2,-35.81524563467671,15.7597065192449
136,DMPPS,-100.0,100.0
137,DMSOR1,-100.0,100.0
138,DMSOR2,-100.0,100.0
139,DNMPPA,0.035093990417432774,0.035093990417432774
140,DNTPPA,0.035093990417427556,0.035093990417427556
141,DPCOAK,4.141090868896302e-05,4.141090868896302e-05
142,DPR,4.14109086889769e-05,4.14109086889769e-05
143,DRPA,-100.0,99.7660922369496
144,DTMPK,-99.9826635687338,100.0
145,DURIK1,-100.0,100.0
146,DURIPP,-100.0,100.0
147,DUTPDP,-100.0,100.0
148,EDA,-100.0,100.0
149,EDD,-100.0,100.0
150,EDTXS1,0.005895790390127609,0.005895790390127609
151,EDTXS2,0.005895790390127609,0.005895790390127609
152,ENO,-100.0,100.0
153,ETHAAL,-100.0,99.91847666026031
154,F6PA,-100.0,100.0
155,FAO1,-100.0,99.99030142480825
156,FAO2,-100.0,99.9315498735706
157,FBA,-100.0,100.0
158,FBP,-100.0,100.0
159,FMNAT,7.018798100943968e-06,7.018798100943968e-06
160,FRD2,-100.0,100.0
161,FRD3,-100.0,100.0
162,FRUK,-100.0,100.0
163,FTHFD,-100.0,100.0
164,fum,-100.0,100.0
165,G1PACT,0.05053534620109379,0.05053534620109379
166,G1PP,-100.0,100.0
167,G3PD2,-100.0,100.0
168,G3PD5,-100.0,100.0
169,G3PD6,-100.0,100.0
170,G3PD7,-100.0,100.0
171,G5SADs,-99.85260524024682,100.0
172,G5SD,-100.0,100.0
173,G6PDA,-100.0,99.94946465379891
174,G6PDH2r,-100.0,100.0
175,GALU,-99.9861027797947,100.0
176,GAPD,-92.16619906896378,100.0
177,GARFT,-99.65459862939332,100.0
178,GART,-99.65459862939299,100.0
179,GCALDD,0.03509399041741962,0.03509399041741962
180,GF6PTA,-99.94946465379891,100.0
181,GHMT2,-100.0,100.0
182,GK1,-100.0,100.0
183,GLCP,-25.10808949048567,24.89191050951433
184,GLCS1,-25.0,25.0
185,GLGC,-100.0,100.0
186,GLNS,-100.0,100.0
187,GLU5K,-100.0,100.0
188,GLUDC,-100.0,100.0
189,GLUDy,-100.0,100.0
190,GLUN,-100.0,100.0
191,GLUPRT,0.3454013706066449,0.3454013706066449
192,GLUR,-0.019371882710419286,-0.019371882710419286
193,GLUSy,-100.0,100.0
194,GLXCL,-99.98245300479128,100.0
195,GLYATi,-100.0,100.0
196,GLYCDx,-100.0,100.0
197,GLYCK,-99.9824530047913,100.0
198,GLYCL,-100.0,100.0
199,GLYCLTDx,-100.0,100.0
200,GLYCLTDy,-100.0,100.0
201,GLYCTO2,-100.0,100.0
202,GLYCTO3,-100.0,100.0
203,GLYCTO4,-100.0,100.0
204,GLYK,-100.0,100.0
205,GLYOX,-100.0,100.0
206,GMHEPAT,0.017687371170382826,0.017687371170382826
207,GMHEPK,0.017687371170382826,0.017687371170382826
208,GMHEPPA,0.017687371170382826,0.017687371170382826
209,GMPR,-100.0,99.80458964255769
210,GMPS2,-100.0,100.0
211,GND,-100.0,100.0
212,GNK,-16.794339720435268,23.83562966697154
213,GPDDA2,-100.0,99.91847666026031
214,GPDDA4,-100.0,99.97466213891862
215,GSNK,-100.0,100.0
216,GSPMDA,-100.0,100.0
217,GSPMDS,-100.0,100.0
218,GTPCI,0.03509399041741962,0.03509399041741962
219,GTPCII2,7.018798100943968e-06,7.018798100943968e-06
220,GUAD,-100.0,100.0
221,GUAPRT,-100.0,100.0
222,HEX1,-100.0,100.0
223,histd,0.06316918275136676,0.06316918275136676
224,HISTP,0.06316918275136676,0.06316918275136676
225,HPPK2,0.03509399041742439,0.03509399041742439
226,HPYRI,-100.0,100.0
227,HPYRRx,-100.0,100.0
228,HPYRRy,-100.0,100.0
229,HSDy,-99.75181529976797,99.89752554798112
230,HSK,-100.0,99.64934084774909
231,HSST,0.10247445201888324,0.10247445201888324
232,HSTPT,0.06316918275136629,0.06316918275136629
233,HXPRT,-100.0,100.0
234,HYPOE,-100.0,100.0
235,ICDHyr,-100.0,100.0
236,ICL,-100.0,100.0
237,IDOND,-100.0,100.0
238,IDOND2,-100.0,100.0
239,IG3PS,0.06316918275136629,0.06316918275136629
240,IGPDH,0.06316918275136629,0.06316918275136629
241,IGPS,0.03790150965082148,0.03790150965082148
242,ILETA,-0.19371882710419236,-0.19371882710419236
243,IMPC,-0.4085705533581666,-0.4085705533581666
244,IMPD,-99.80458964255766,100.0
245,INSK,-100.0,100.0
246,IPDDIi,-100.0,100.0
247,IPDPS,-100.0,100.0
248,IPMD,0.3004045579731677,0.3004045579731677
249,IPPMIa,-0.3004045579731677,-0.3004045579731677
250,IPPMIb,-0.3004045579731677,-0.3004045579731677
251,IPPS,0.3004045579731677,0.3004045579731677
252,KARA1i,0.5826016518379289,0.5826016518379289
253,KARA2i,0.19371882710419236,0.19371882710419236
254,KAS14,-100.0,100.0
255,KAS15,-100.0,100.0
256,KAS16,0.023583161560510435,0.023583161560510435
257,KDOCT2,0.029478951950638044,0.029478951950638044
258,KDOPP,0.029478951950638044,0.029478951950638044
259,KDOPS,0.029478951950638044,0.029478951950638044
260,LDHD,-100.0,100.0
261,LDHD2,-100.0,100.0
262,LEUTAi,0.3004045579731667,0.3004045579731667
263,LGTHL,-100.0,100.0
264,L-LACD2,-100.0,100.0
265,L-LACD3,-100.0,100.0
266,LPADSS,0.005895790390127609,0.005895790390127609
267,LPLIPA1,-100.0,100.0
268,LPLIPA2,-100.0,100.0
269,LPLIPA3,-100.0,100.0
270,LPLIPA4,-100.0,100.0
271,LPLIPA5,-100.0,100.0
272,LPLIPA6,-100.0,100.0
273,LPSSYNEC,0.005895790390127609,0.005895790390127609
274,MACPD,-100.0,100.0
275,MALS,-100.0,100.0
276,MCITD,-100.0,100.0
277,MCITL2,-100.0,100.0
278,MCITS,-100.0,100.0
279,MCOATA,-100.0,100.0
280,MDH,-100.0,100.0
281,MDH2,-100.0,100.0
282,MDH3,-100.0,100.0
283,MDRPD,0.004913158658439443,0.004913158658439443
284,ME1,-100.0,100.0
285,ME2,-100.0,100.0
286,METAT,0.004913158658439443,0.004913158658439443
287,METS,0.10247445201888464,0.10247445201888464
288,MGSA,-100.0,100.0
289,MICITD,-100.0,100.0
290,MLTG2,-100.0,100.0
291,MLTG3,-100.0,100.0
292,MLTG4,-100.0,100.0
293,MLTG5,-100.0,100.0
294,MLTP1,-100.0,100.0
295,MLTP2,-100.0,100.0
296,MLTP3,-100.0,100.0
297,MMCD,-100.0,100.0
298,MME,-100.0,100.0
299,MMM2,-100.0,100.0
300,MOAT,0.005895790390127609,0.005895790390127609
301,MOAT2,0.005895790390127609,0.005895790390127609
302,MOHMT,4.1410908744210495e-05,4.1410908744210495e-05
303,MTAN,0.004913158658439443,0.004913158658439443
304,MTHFC,-100.0,100.0
305,MTHFD,-100.0,100.0
306,MTHFR2,0.1375684424363109,0.1375684424363109
307,MTRI,0.004913158658439443,0.004913158658439443
308,MTRK,0.004913158658439443,0.004913158658439443
309,NACODA,-100.0,100.0
310,NADDP,-100.0,100.0
311,NADH10,-100.0,100.0
312,NADH5,-100.0,100.0
313,NADH9,-100.0,100.0
314,NADK,-99.99962800370156,100.0
315,NADPPPS,-100.0,99.99962800370143
316,NADS1,-100.0,100.0
317,NAMNPP,-100.0,100.0
318,NDPK1,-100.0,100.0
319,NDPK2,-100.0,100.0
320,NDPK3,-100.0,100.0
321,NDPK4,-99.9826635687338,100.0
322,NDPK5,-100.0,100.0
323,NDPK6,-100.0,100.0
324,NDPK7,-100.0,100.0
325,NDPK8,-100.0,100.0
326,NMNAT,-100.0,100.0
327,NMNDA,-100.0,100.0
328,NMNN,-100.0,100.0
329,NNAM,-100.0,100.0
330,NNAT,-100.0,100.0
331,NNDPR,0.001916131876747329,0.001916131876747329
332,NTD1,-100.0,100.0
333,NTD10,-100.0,100.0
334,NTD11,-100.0,100.0
335,NTD2,-100.0,100.0
336,NTD3,-100.0,100.0
337,NTD4,-100.0,100.0
338,NTD5,-100.0,100.0
339,NTD6,-100.0,100.0
340,NTD7,-100.0,100.0
341,NTD8,-100.0,100.0
342,NTD9,-100.0,100.0
343,NTPP1,-100.0,100.0
344,NTPP2,-100.0,100.0
345,NTPP3,-100.0,100.0
346,NTPP4,-100.0,100.0
347,NTPP5,-100.0,100.0
348,NTPP6,-100.0,100.0
349,NTPP7,-100.0,99.9826635687338
350,NTPP8,-100.0,100.0
351,NTPTP1,-100.0,100.0
352,NTPTP2,-100.0,100.0
353,OBTFL,-100.0,99.80628117289581
354,OCBT,-99.80277177385406,100.0
355,OMCDC,0.3004045579731677,0.3004045579731677
356,OMPDC,0.22116232761061383,0.22116232761061383
357,ORNDC,-99.97052104804936,100.0
358,ORNTA,-100.0,100.0
359,ORPT,-0.2211623276106166,-0.2211623276106166
360,P5CD,-100.0,99.85260524024682
361,P5CR,-99.85260524024682,100.0
362,PANTS,4.141090864473451e-05,4.141090864473451e-05
363,PAPAEC,-100.0,99.98820841921975
364,PAPPT3,0.019371882710419286,0.019371882710419286
365,PAPSR,0.16357940625385814,0.16357940625385814
366,PASYNEC,-99.90493037995918,100.0
367,PDH,-100.0,100.0
