,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,0.0281752540556174,0.0294789519508729
5,AACPS1,-99.99073034141564,100.0
6,AACPS2,-10.0,9.990913480566938
7,AACPS3,-99.93457706008262,100.0
8,AACPS4,-14.0,13.987278872793715
9,AACPS5,-100.0,99.90913480566938
10,ABTA,-0.0294789519508071,99.3170608535056
11,ABUTD,-100.0,99.971824745944
12,ACALDi,-100.0,100.0
13,ACCOACr,-91.88836946219683,100.0
14,ACCOAL,-100.0,100.0
15,ACGK,0.0,100.0
16,ACGS,0.0,100.0
17,ACHBS,0.1851516695097389,0.193718827105306
18,ACKr,-99.9801770454643,100.0
19,ACLS,0.5568362668175353,0.5826016518411882
20,ACOATA,-100.0,100.0
21,ACODA,0.0,100.0
22,ACONT,-100.0,100.0
23,ACOTA,-100.0,0.0
24,ACS,-12.830028728162077,100.0
25,ADA,0.0,99.79626671268484
26,ADCL,0.0335419691140952,0.0350939904176202
27,ADCS,0.0335419691140952,0.0350939906106679
28,ADD,0.0,99.79626673598524
29,ADK1,-100.0,100.0
30,ADK3,-100.0,100.0
31,ADMDCr,0.0046958756759778,0.0049131586584678
32,ADNK1,-100.0,99.48741023203384
33,ADPT,-100.0,100.0
34,ADSK,0.1563451555952455,0.1635794062547996
35,ADSL1r,0.187163554572777,100.0
36,ADSL2r,0.3301260975753592,0.3454013706084993
37,ADSS,0.1871635545727628,100.0
38,AGMHE,0.0169051524335039,0.0176873711704801
39,AGPR,-100.0,0.0
40,AICART,0.3905016419807339,0.4085705533601924
41,AIRC2,0.3301260975753735,0.3454013706085419
42,AIRC3,-0.3454013706084424,-0.330126097575345
43,ALAALAr,0.0185151669510514,0.0193718827104873
44,ALAR,-99.9629696660984,100.0
45,ALATAD2,-100.0,99.96296966609822
46,ALATAL,-100.0,99.6170848805935
47,ALATAL2,-99.9629696660984,100.0
48,ALDD2x,0.0,100.0
49,AMALT1,-100.0,100.0
50,AMALT2,-100.0,100.0
51,AMALT3,-100.0,100.0
52,AMALT4,-100.0,100.0
53,AMPN,-100.0,100.0
54,ANPRT,0.0362253266432228,0.0379015098595214
55,ANS,0.0362253266432228,0.0379015096510298
56,APRAUR,6.708393822819045e-06,7.018798083524042e-06
57,ARGSL,-99.8114941335777,100.0
58,ARGSS,-99.8114941335777,100.0
59,ASAD,-100.0,99.66484864461003
60,ASNN,-100.0,100.0
61,ASNS1,-99.84637778145776,100.0
62,ASNS2,-99.84637778145776,100.0
63,ASP1DC,3.957952355460037e-05,4.141090869280717e-05
64,ASPCT,0.4732656874175234,0.5765682096593707
65,ASPK,-99.66484864461003,100.0
66,ASPO3,-100.0,100.0
67,ASPO4,-100.0,100.0
68,ASPO5,-100.0,100.0
69,ASPO6,-46.98451243701175,46.633443268271776
70,ASPT,-99.35815877105412,97.98793850186254
71,ASPTA,-100.0,98.1766720305032
72,AST,-100.0,99.8114941335777
73,ATPHYD,3.15,100.0
74,ATPPRT,0.0603755444052893,0.0631691827517413
75,BETALDHx,-100.0,100.0
76,BETALDHy,-100.0,100.0
77,BPNT,0.1563451555952392,0.1635794062548029
78,BSORx,-100.0,100.0
79,BSORy,-100.0,100.0
80,C120SN,0.0281752540557942,0.029478952072524
81,C140SN,-99.9907303414156,100.0
82,C141SN,0.0090865194330085,0.0095069620041314
83,C160SN,-99.93457706008236,100.0
84,C161SN,0.0127211272061877,0.0133097468057883
85,C181SN,0.090865194330135,0.095069620041329
86,CAT,0.0,23.493172112721453
87,CBMK,-100.0,100.0
88,CBPS,0.0,100.0
89,CDAPPAEC,-100.0,100.0
90,CHORM,0.2059476903616648,0.2154771011630885
91,CHORS,0.2757149861177481,0.2884726012328381
92,CITL,0.0,100.0
93,CLPNSEC,0.0043269140157135,0.0045271247638777
94,CMPN,0.0,99.79807734593317
95,CS,-100.0,100.0
96,CSND,-100.0,100.0
97,CTPS2,0.0,100.0
98,CYSS,-99.84365484440384,100.0
99,CYSTL,0.097942549813105,0.1024744520195639
100,cytd,0.0,99.79807734593314
101,CYTDK2,-99.76446829288084,99.93004350794756
102,CYTK1,-100.0,100.0
103,CYTK2,-100.0,100.0
104,DAAD,-100.0,100.0
105,DADA,-0.0173364312663011,99.79626675044034
106,DADK,-100.0,100.0
107,DAGKEC,0.0,100.0
108,DAPDC,0.2186936386251119,0.2288128176447042
109,DAPE,0.2372088055748814,0.2481847012577354
110,DASYNEC,-100.0,100.0
111,DB4PS,1.341678764563809e-05,1.4037596167270137e-05
112,DCTPD,0.0,99.57653243918318
113,DCYTD,-100.0,100.0
114,DDPA,0.2757149861178627,0.2884726012328382
115,DGK1,-100.0,100.0
116,DHAD1,0.5568362668175353,0.5826016518411882
117,DHAD2,0.1851516695108301,0.1937188271042345
118,DHAPT,-100.0,100.0
119,DHDPRy,0.2372088055748814,0.2481847002334101
120,DHDPS,0.2372088055748814,0.2481847002334101
121,DHFR,0.0501117018564514,0.0524304216839245
122,DHFS,0.033541969113827,0.0350939904176202
123,DHNPA2,0.0335419691140952,0.0350939904176202
124,DHORD2,0.0,99.01668045042484
125,DHORD5,-98.97874342519212,0.573380868208389
126,DHORTS,-0.5765682096593565,-0.4732656874175092
127,DHPPDA2,6.708393822819045e-06,7.018798083735511e-06
128,DHPS2,0.033541969114097,0.0350939904176202
129,DHQD,0.2757149861177481,0.2884726012328381
130,DHQS,0.2757149861177481,0.2884726012328381
131,DKGLCNR1,-100.0,100.0
132,DKGLCNR2x,-100.0,100.0
133,DKGLCNR2y,-100.0,100.0
134,DKMPPD,0.0,0.0049131586584668
135,DKMPPD2,0.0,0.0049131586584668
136,DMPPS,0.0,0.0
137,DMSOR1,0.0,0.0
138,DMSOR2,0.0,0.0
139,DNMPPA,0.033541969114097,0.0350911883167721
140,DNTPPA,0.033541969114097,0.0350939904176202
141,DPCOAK,-4.141090869280717e-05,4.141090869280717e-05
142,DPR,-4.141090869280717e-05,4.141090869280717e-05
143,DRPA,-100.0,99.77643673829884
144,DTMPK,-99.98343026725755,100.0
145,DURIK1,-100.0,100.0
146,DURIPP,-100.0,99.21762145754934
147,DUTPDP,-100.0,100.0
148,EDA,0.0,100.0
149,EDD,0.0,100.0
150,EDTXS1,0.0056350508111679,0.0058957903901598
151,EDTXS2,0.0056350508111679,0.0058957903901598
152,ENO,-100.0,100.0
153,ETHAAL,-100.0,99.59198945014178
154,F6PA,-100.0,100.0
155,FAO1,-100.0,99.99073034141566
156,FAO2,-100.0,99.933816555843
157,FBA,-100.0,100.0
158,FBP,0.0,100.0
159,FMNAT,6.708393822819045e-06,7.01879808374609e-06
160,FRD2,-100.0,100.0
161,FRD3,-100.0,100.0
162,FRUK,0.0,0.0
163,FTHFD,0.0,100.0
164,fum,-100.0,100.0
165,G1PACT,0.0483004355241751,0.0505353462014372
166,G1PP,-99.9645262626317,99.57348032074516
167,G3PD2,-100.0,100.0
168,G3PD5,0.0,100.0
169,G3PD6,-100.0,100.0
170,G3PD7,-100.0,100.0
171,G5SADs,-99.85912372972,100.0
172,G5SD,-99.78331887952297,99.90781869993586
173,G6PDA,-100.0,98.96411559314537
174,G6PDH2r,-100.0,100.0
175,GALU,-6.061145154614849,100.0
176,GAPD,-92.1661990689631,100.0
177,GARFT,-99.66987390242464,99.60949835801928
178,GART,-99.27937218493288,100.0
179,GCALDD,0.0335419691140952,0.0350939904176202
180,GF6PTA,-99.95169956447587,100.0
181,GHMT2,-100.0,100.0
182,GK1,-99.8132316075789,100.0
183,GLCP,-0.1080894904857956,24.89669073512809
184,GLCS1,0.0,25.0
185,GLGC,0.0,100.0
186,GLNS,0.0,100.0
187,GLU5K,-99.7833188795232,100.0
188,GLUDC,-100.0,100.0
189,GLUDy,-100.0,100.0
190,GLUN,-100.0,100.0
191,GLUPRT,0.330126097575363,0.3454013706084993
192,GLUR,-0.0193718827104873,-0.018515166951019
193,GLUSy,-100.0,100.0
194,GLXCL,0.0,100.0
195,GLYATi,-100.0,99.01964621573455
196,GLYCDx,-100.0,99.88924441798528
197,GLYCK,0.0,99.60473513339208
198,GLYCL,-99.94695049036508,99.0362638842816
199,GLYCLTDx,-100.0,100.0
200,GLYCLTDy,-100.0,100.0
201,GLYCTO2,0.0,100.0
202,GLYCTO3,-100.0,100.0
203,GLYCTO4,-100.0,100.0
204,GLYK,-100.0,100.0
205,GLYOX,-100.0,100.0
206,GMHEPAT,0.0169051524335039,0.0176873711704801
207,GMHEPK,0.0169051524335039,0.0176873711704801
208,GMHEPPA,0.0169051524335039,0.0176873711704801
209,GMPR,-100.0,99.8132316075789
210,GMPS2,-99.8132316075789,100.0
211,GND,-100.0,100.0
212,GNK,0.0,9.531228487787992
213,GPDDA2,-100.0,99.38598014595055
214,GPDDA4,-99.68285464538904,99.9757826982998
215,GSNK,-100.0,100.0
216,GSPMDA,0.0,100.0
217,GSPMDS,0.0,100.0
218,GTPCI,0.033541969114097,0.0350939904176201
219,GTPCII2,-7.018798083524042e-06,7.018798083524042e-06
220,GUAD,-100.0,100.0
221,GUAPRT,-100.0,100.0
222,HEX1,0.0,100.0
223,histd,0.0603755444056872,0.0631691827513947
224,HISTP,0.0603755444052893,0.0631691827517413
225,HPPK2,0.0335419691140952,0.0350939904176202
226,HPYRI,-100.0,100.0
227,HPYRRx,-100.0,100.0
228,HPYRRy,-100.0,100.0
229,HSDy,-99.76279119442376,99.90205745018628
230,HSK,-100.0,99.66484864461003
231,HSST,0.097942549813105,0.1024744520195639
232,HSTPT,0.0603755444052893,0.0631691828390714
233,HXPRT,-99.99530412432402,100.0
234,HYPOE,0.0,100.0
235,ICDHyr,-99.25496578203771,100.0
236,ICL,-100.0,100.0
237,IDOND,-100.0,100.0
238,IDOND2,-99.15964242841792,100.0
239,IG3PS,0.0603755444052893,0.0631691827517413
240,IGPDH,0.0603755444052893,0.0631691827517413
241,IGPS,0.036225326643219,0.0379014677350054
242,ILETA,-0.1937188271042345,-0.1851516695108301
243,IMPC,-0.4085705533602919,-0.3905016419799949
244,IMPD,-99.8132316075789,100.0
245,INSK,-100.0,100.0
246,IPDDIi,0.0,0.0
247,IPDPS,0.0,0.0
248,IPMD,0.2871192556166551,0.3004045579748289
249,IPPMIa,-0.3004045579748289,-0.2871192556166551
250,IPPMIb,-0.3004045579748289,-0.2871192556166551
251,IPPS,0.2871192556166551,0.3004045579748289
252,KARA1i,0.5568362668175352,0.5824226630270382
253,KARA2i,0.1851516695097389,0.193718827105306
254,KAS14,-99.85351685416369,100.0
255,KAS15,-100.0,100.0
256,KAS16,0.0225402032446719,0.0235831615606407
257,KDOCT2,0.0281752540556174,0.0294789519508729
258,KDOPP,0.0281752540556174,0.0294789519508729
259,KDOPS,0.0281752540556174,0.0294789519508729
260,LDHD,-100.0,100.0
261,LDHD2,0.0,99.60557827429896
262,LEUTAi,0.2871192556182649,0.3004045579732093
263,LGTHL,-100.0,100.0
264,L-LACD2,0.0,100.0
265,L-LACD3,-99.04800429803436,0.0
266,LPADSS,0.0056350508111679,0.0058957903901598
267,LPLIPA1,-100.0,99.9995574379276
268,LPLIPA2,-100.0,100.0
269,LPLIPA3,-100.0,100.0
270,LPLIPA4,-99.99901789575394,100.0
271,LPLIPA5,-100.0,99.99950000034738
272,LPLIPA6,-100.0,100.0
273,LPSSYNEC,0.0056350508111679,0.0058957903901598
274,MACPD,-100.0,100.0
275,MALS,-100.0,100.0
276,MCITD,-0.1937188271052576,100.0
277,MCITL2,-0.193718828170887,100.0
278,MCITS,-0.1937188271052576,100.0
279,MCOATA,-91.88836960725465,100.0
280,MDH,-100.0,100.0
281,MDH2,0.0,100.0
282,MDH3,-100.0,100.0
283,MDRPD,0.0046958756758357,0.0049131586586099
284,ME1,-100.0,100.0
285,ME2,-100.0,100.0
286,METAT,0.0046958756758935,0.004913158658545
287,METS,0.097942549813105,0.1024744520195639
288,MGSA,-100.0,100.0
289,MICITD,-0.193718828170887,100.0
290,MLTG2,-100.0,99.45077615632384
291,MLTG3,-100.0,100.0
292,MLTG4,-100.0,100.0
293,MLTG5,-99.17714356401672,100.0
294,MLTP1,-100.0,99.11029094662392
295,MLTP2,-99.57348032074552,99.11953270250586
296,MLTP3,-100.0,100.0
297,MMCD,-99.81484833049076,100.0
298,MME,-99.81484833049063,100.0
299,MMM2,-99.31117873032052,100.0
300,MOAT,0.0056350508111679,0.0058957904144937
301,MOAT2,0.0056350508111679,0.0058957903901598
302,MOHMT,-4.141090869280717e-05,4.141090869280717e-05
303,MTAN,0.0046958756759778,0.0049131586787493
304,MTHFC,-99.09738414635646,100.0
305,MTHFD,-98.88291245877954,100.0
306,MTHFR2,0.1314845189271096,0.1375684424371996
307,MTRI,0.0046958756758357,0.0049131586787493
308,MTRK,0.0046958756758357,0.0049131586787493
309,NACODA,-100.0,100.0
310,NADDP,-100.0,100.0
311,NADH10,-100.0,100.0
312,NADH5,0.0,99.07087333933876
313,NADH9,-100.0,100.0
314,NADK,0.0,100.0
315,NADPPPS,-0.000422035553683,99.99964441737184
316,NADS1,-100.0,100.0
317,NAMNPP,-0.0019161713792925,99.99864343712292
318,NDPK1,-100.0,100.0
319,NDPK2,-100.0,100.0
320,NDPK3,-100.0,100.0
321,NDPK4,-99.98343026725755,100.0
322,NDPK5,-100.0,100.0
323,NDPK6,-99.7456177062387,99.95936769464085
324,NDPK7,-99.68065736493006,99.70896692981717
325,NDPK8,-100.0,100.0
326,NMNAT,-100.0,100.0
327,NMNDA,-100.0,100.0
328,NMNN,-0.0019161713792925,100.0
329,NNAM,-100.0,100.0
330,NNAT,-100.0,100.0
331,NNDPR,0.0018313915136294,0.0019161318768028
332,NTD1,-99.28443535872434,100.0
333,NTD10,-100.0,100.0
334,NTD11,-100.0,100.0
335,NTD2,-100.0,100.0
336,NTD3,-100.0,100.0
337,NTD4,-100.0,100.0
338,NTD5,0.0,100.0
339,NTD6,-100.0,99.23191684441548
340,NTD7,-100.0,100.0
341,NTD8,-99.22885332318322,99.8132316075789
342,NTD9,-100.0,100.0
343,NTPP1,-100.0,100.0
344,NTPP2,-100.0,100.0
345,NTPP3,-100.0,100.0
346,NTPP4,-100.0,100.0
347,NTPP5,-100.0,100.0
348,NTPP6,-100.0,100.0
349,NTPP7,-100.0,99.98343026725755
350,NTPP8,-100.0,100.0
351,NTPTP1,-99.065567598359,99.06486072185992
352,NTPTP2,-100.0,100.0
353,OBTFL,-99.04200139559336,99.31117869256502
354,OCBT,-99.8114941335777,100.0
355,OMCDC,0.2871192556166551,0.3004045579748289
