,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,0.0281752540556174,0.0294789519508729
5,AACPS1,-99.99436494918882,100.0
6,AACPS2,-10.0,9.990493037995918
7,AACPS3,-100.0,100.0
8,AACPS4,-14.0,13.986690253194288
9,AACPS5,-100.0,99.90493037995918
10,ABTA,-100.0,100.0
11,ABUTD,-100.0,99.97052104804936
12,ACALDi,-100.0,100.0
13,ACCOACr,-100.0,100.0
14,ACCOAL,-100.0,100.0
15,ACGK,0.0,91.03359248599904
16,ACGS,0.0,93.12600376038236
17,ACHBS,0.1851516695099349,0.1937188271053429
18,ACKr,-100.0,100.0
19,ACLS,0.5568362668180667,0.5826016518413195
20,ACOATA,-100.0,100.0
21,ACODA,0.0,91.01866963697826
22,ACONT,-18.70273794424752,91.0773077758658
23,ACOTA,-100.0,100.0
24,ACS,-12.83466322585832,90.97266835379652
25,ADA,0.0,98.16010233551494
26,ADCL,0.0335419691141272,0.0350939904176281
27,ADCS,0.0335419691141254,0.0350939904176281
28,ADD,0.0,98.16010627263177
29,ADK1,-100.0,100.0
30,ADK3,-100.0,100.0
31,ADMDCr,0.0046958756759778,0.0049131586584678
32,ADNK1,-100.0,100.0
33,ADPT,-100.0,100.0
34,ADSK,0.1563451555953875,0.1635794062548398
35,ADSL1r,0.1871635545729475,98.36383554752832
36,ADSL2r,0.3301260975756861,0.3454013706086414
37,ADSS,0.2037332873152877,91.67303045648757
38,AGMHE,0.0169051524335039,0.0176873711704801
39,AGPR,-92.87287362469576,0.0
40,AICART,0.3905016419811034,0.4085705533602635
41,AIRC2,0.3301261353311844,0.3454014124851028
42,AIRC3,-0.3454013706084708,-0.3301260975757856
43,ALAALAr,0.0185151669510514,0.0193718827104873
44,ALAR,-99.962969666098,100.0
45,ALATAD2,-100.0,99.9629696660984
46,ALATAL,-100.0,99.61708488059332
47,ALATAL2,-99.962969666098,100.0
48,ALDD2x,0.0,92.01300226760304
49,AMALT1,-91.27151431849798,91.7138899282005
50,AMALT2,-91.5181111186358,91.28909778436196
51,AMALT3,-91.1350124924669,91.056563681878
52,AMALT4,-94.04713142209653,97.68881124007072
53,AMPN,-100.0,100.0
54,ANPRT,0.0362253266432574,0.0379015096510383
55,ANS,0.0362253266432574,0.0379015096510383
56,APRAUR,6.708393822825448e-06,7.018798083525624e-06
57,ARGSL,-99.80277177385406,100.0
58,ARGSS,-99.80277177385406,100.0
59,ASAD,-100.0,99.64934084774909
60,ASNN,-100.0,100.0
61,ASNS1,0.0,90.92009857426548
62,ASNS2,-100.0,100.0
63,ASP1DC,-4.141090869280717e-05,4.141090869280717e-05
64,ASPCT,0.4732656874177223,0.5765682096594702
65,ASPK,-99.64934084774907,100.0
66,ASPO3,-46.98451222616771,47.1714979074373
67,ASPO4,-100.0,100.0
68,ASPO5,-100.0,100.0
69,ASPO6,0.0,46.98634286617857
70,ASPT,0.0,98.16010226000256
71,ASPTA,-100.0,-1.823327931742991
72,AST,-100.0,99.80277177385406
73,ATPHYD,3.15,99.95961163708267
74,ATPPRT,0.060375544405403,0.0631691827517642
75,BETALDHx,-100.0,100.0
76,BETALDHy,-100.0,100.0
77,BPNT,0.1563451555953876,0.1635794062548398
78,BSORx,-100.0,100.0
79,BSORy,-100.0,100.0
80,C120SN,0.0281752540557942,0.0294789519508871
81,C140SN,-99.99073034141564,100.0
82,C141SN,0.0090865194330174,0.009506962004135
83,C160SN,-99.9345770600822,100.0
84,C161SN,0.0127211272062233,0.0133097468057865
85,C181SN,0.0908651943301777,0.095069620041329
86,CAT,0.0,23.49317143310109
87,CBMK,-100.0,100.0
88,CBPS,-100.0,100.0
89,CDAPPAEC,-100.0,100.0
90,CHORM,0.2059476903616648,0.2154771011630885
91,CHORS,0.2757149861181259,0.2884726012329032
92,CITL,0.0,99.91473253618904
93,CLPNSEC,0.0043269140157135,0.0045271247638777
94,CMPN,-100.0,100.0
95,CS,-20.11753542959451,100.0
96,CSND,-100.0,100.0
97,CTPS2,0.0,99.0418951191152
98,CYSS,-99.8364205937461,100.0
99,CYSTL,0.0979425498132258,0.1024744520195071
100,cytd,-100.0,100.0
101,CYTDK2,-100.0,100.0
102,CYTK1,-100.0,100.0
103,CYTK2,-100.0,100.0
104,DAAD,-100.0,100.0
105,DADA,-0.0173364313854733,98.16010229775908
106,DADK,-100.0,100.0
107,DAGKEC,0.0,100.0
108,DAPDC,0.2186936386251119,0.228812817521657
109,DAPE,0.2372088055751078,0.248184700233466
110,DASYNEC,-100.0,100.0
111,DB4PS,1.3416787645650896e-05,1.40375961672733e-05
112,DCTPD,-100.0,100.0
113,DCYTD,-100.0,100.0
114,DDPA,0.2757149861179613,0.2884726012329031
115,DGK1,-100.0,100.0
116,DHAD1,0.5568362668180667,0.5826016518413195
117,DHAD2,0.1851516695108301,0.1937188271042345
118,DHAPT,-100.0,100.0
119,DHDPRy,0.2372088055751078,0.248184700233466
120,DHDPS,0.2372088055751078,0.248184700233466
121,DHFR,0.050111701856506,0.0524304216839419
122,DHFS,0.0335419691141254,0.035093990417628
123,DHNPA2,0.0335419691141272,0.0350939904176281
124,DHORD2,0.0,47.17149711454777
125,DHORD5,-46.69823289141144,0.5765682096594418
126,DHORTS,-0.5765682096594418,-0.4732656874177081
127,DHPPDA2,6.708393822825448e-06,7.018798083747672e-06
128,DHPS2,0.0335419691141254,0.0350939904176281
129,DHQD,0.2757149861180181,0.288472601233344
130,DHQS,0.2757149861180181,0.288472601233344
131,DKGLCNR1,-100.0,100.0
132,DKGLCNR2x,-100.0,100.0
133,DKGLCNR2y,-100.0,100.0
134,DKMPPD,0.0,0.0049131586584679
135,DKMPPD2,0.0,0.0049131586584679
136,DMPPS,0.0,0.0
137,DMSOR1,0.0,0.0
138,DMSOR2,0.0,0.0
139,DNMPPA,0.0335419691141254,0.0350939904176281
140,DNTPPA,0.0335419691141272,0.0350939904176281
141,DPCOAK,-4.141090869280717e-05,4.141090869280717e-05
142,DPR,-4.141090869280717e-05,4.141090869280717e-05
143,DRPA,-100.0,99.7660922369496
144,DTMPK,-99.9826635687338,100.0
145,DURIK1,-99.76446829288192,100.0
146,DURIPP,-100.0,99.76446829288064
147,DUTPDP,-100.0,100.0
148,EDA,-100.0,100.0
149,EDD,-100.0,100.0
150,EDTXS1,0.0056350508111679,0.0058957903902148
151,EDTXS2,0.0056350508111679,0.0058957903901598
152,ENO,0.0,100.0
153,ETHAAL,-100.0,99.91847666026031
154,F6PA,-100.0,100.0
155,FAO1,-100.0,99.9907303414156
156,FAO2,-100.0,99.93457706008228
157,FBA,-100.0,100.0
158,FBP,0.0,99.95187318593752
159,FMNAT,-7.018798083747271e-06,7.018798083747271e-06
160,FRD2,-100.0,100.0
161,FRD3,-100.0,100.0
162,FRUK,0.0,0.0
163,FTHFD,0.0,100.0
164,fum,-92.75497643718955,100.0
165,G1PACT,0.0483004355241751,0.0505353462014372
166,G1PP,-91.43501576180232,91.06344965783428
167,G3PD2,-100.0,100.0
168,G3PD5,0.0,47.17150363908666
169,G3PD6,-100.0,100.0
170,G3PD7,-100.0,100.0
171,G5SADs,-99.85260524024682,100.0
172,G5SD,-91.4874751876106,91.0569560837803
173,G6PDA,-0.0505353462013857,93.13439410529136
174,G6PDH2r,0.0,100.0
175,GALU,-6.061145154614707,99.91638445154156
176,GAPD,-92.16619906896378,100.0
177,GARFT,-94.48371940980202,99.60949832026348
178,GART,-99.26122337757955,100.0
179,GCALDD,0.0335419691141254,0.0350939904176281
180,GF6PTA,0.0,91.32744598923452
181,GHMT2,-100.0,100.0
182,GK1,0.1697290721113091,100.0
183,GLCP,-0.1080894912292294,24.89669073512809
184,GLCS1,0.0,25.0
185,GLGC,0.0,99.91750297274837
186,GLNS,0.9581040214656156,100.0
187,GLU5K,-92.43065867615984,92.04572024105045
188,GLUDC,-100.0,100.0
189,GLUDy,-100.0,100.0
190,GLUN,0.0,93.45738528147362
191,GLUPRT,0.3301260975756719,0.3454014124851312
192,GLUR,-0.0193718827104873,-0.018515166951019
193,GLUSy,0.0,91.06498850491394
194,GLXCL,0.0,90.9873344659595
195,GLYATi,-93.1154719550519,97.11301509088348
196,GLYCDx,-100.0,100.0
197,GLYCK,0.0,92.87443242975776
198,GLYCL,-99.73814692106166,94.1956375452264
199,GLYCLTDx,-100.0,100.0
200,GLYCLTDy,-100.0,100.0
201,GLYCTO2,0.0,47.17149799595376
202,GLYCTO3,-100.0,100.0
203,GLYCTO4,-100.0,100.0
204,GLYK,-100.0,100.0
205,GLYOX,-100.0,100.0
206,GMHEPAT,0.0169051524335039,0.0176873711704801
207,GMHEPK,0.0169051524335039,0.0176873711704801
208,GMHEPPA,0.0169051524335039,0.0176873711704801
209,GMPR,-100.0,99.8132316075787
210,GMPS2,-100.0,100.0
211,GND,-100.0,100.0
212,GNK,0.0,9.531228098868617
213,GPDDA2,-100.0,99.91847666026031
214,GPDDA4,-100.0,99.97466213891862
215,GSNK,-100.0,99.9306854449759
216,GSPMDA,0.0,100.0
217,GSPMDS,0.0,100.0
218,GTPCI,0.0335419691141254,0.0350939904176281
219,GTPCII2,6.708393822825448e-06,7.018798083735511e-06
220,GUAD,-100.0,100.0
221,GUAPRT,-100.0,100.0
222,HEX1,0.0,100.0
223,histd,0.0603755444056872,0.0631691827513947
224,HISTP,0.0603755444056872,0.0631691827513947
225,HPPK2,0.0335419691141254,0.0350939904176281
226,HPYRI,-100.0,100.0
227,HPYRRx,-100.0,100.0
228,HPYRRy,-100.0,100.0
229,HSDy,-99.75181529976797,99.89752554798112
230,HSK,-100.0,99.64934084774909
231,HSST,0.0979425498132258,0.1024744520195071
232,HSTPT,0.0603755444053462,0.063169182751821
233,HXPRT,-100.0,100.0
234,HYPOE,0.0,100.0
235,ICDHyr,-100.0,100.0
236,ICL,-100.0,100.0
237,IDOND,-100.0,100.0
238,IDOND2,-100.0,100.0
239,IG3PS,0.060375544405403,0.0631691827517642
240,IGPDH,0.060375544405403,0.0631691827517642
241,IGPS,0.0362253266432617,0.0379015096510383
242,ILETA,-0.1935480038143643,-0.1851516695108301
243,IMPC,-0.4085705533603061,-0.3905016419811034
244,IMPD,-99.81323160757871,100.0
245,INSK,-100.0,100.0
246,IPDDIi,0.0,0.0
247,IPDPS,0.0,0.0
248,IPMD,0.2871192556169291,0.3004045579748862
249,IPPMIa,-0.3004045579748862,-0.2871192556169291
250,IPPMIb,-0.3004045579748862,-0.2871192556169291
251,IPPS,0.2871192556169291,0.3004045579748862
252,KARA1i,0.5568362668180667,0.5826016518413195
253,KARA2i,0.1851516695099349,0.1937188271053429
254,KAS14,-100.0,100.0
255,KAS15,-99.999,100.0
256,KAS16,0.0225402032446719,0.0235831615606407
257,KDOCT2,0.0281752540556174,0.029478952072524
258,KDOPP,0.0281752540556174,0.029478952072524
259,KDOPS,0.0281752540556174,0.029478952072524
260,LDHD,-100.0,100.0
261,LDHD2,0.0,47.17149654820856
262,LEUTAi,0.2871192556182649,0.3004045579732093
263,LGTHL,-100.0,100.0
264,L-LACD2,0.0,47.17150021102847
265,L-LACD3,-47.17150355388362,0.0
266,LPADSS,0.0056350508111679,0.0058957903901598
267,LPLIPA1,-100.0,100.0
268,LPLIPA2,-99.99962114665118,100.0
269,LPLIPA3,-100.0,100.0
270,LPLIPA4,-99.99965011460353,99.99957596216323
271,LPLIPA5,-99.99958320662616,99.99950000364004
272,LPLIPA6,-100.0,100.0
273,LPSSYNEC,0.0056350508111679,0.0058913155018114
274,MACPD,-100.0,100.0
275,MALS,-100.0,100.0
276,MCITD,-100.0,100.0
277,MCITL2,-100.0,100.0
278,MCITS,-100.0,100.0
279,MCOATA,-100.0,100.0
280,MDH,-100.0,100.0
281,MDH2,0.0,47.17149734108053
282,MDH3,-100.0,100.0
283,MDRPD,0.0046958756759778,0.0049131586584678
284,ME1,-100.0,100.0
285,ME2,-100.0,100.0
286,METAT,0.0046958756759778,0.0049131586584678
287,METS,0.0979425498132258,0.1024744520195071
288,MGSA,-100.0,100.0
289,MICITD,-100.0,100.0
290,MLTG2,-98.96141093784703,91.29120444896496
291,MLTG3,-91.50859311489948,92.7820714248644
292,MLTG4,-99.53509420129234,91.02408936313344
293,MLTG5,-98.802405361789,92.16633626874147
294,MLTP1,-93.99446089866628,93.82132096881791
295,MLTP2,-91.1065512731048,91.0319853581928
296,MLTP3,-93.10799050059,95.30505505914108
297,MMCD,-93.93301741988448,100.0
298,MME,-99.2776367989617,97.74618880013536
299,MMM2,-99.3111871860306,100.0
300,MOAT,0.0056350508111679,0.0058957903901598
301,MOAT2,0.0056350508111679,0.0058957903901598
302,MOHMT,3.957952355470525e-05,4.141090897746835e-05
303,MTAN,0.0046958756759778,0.0049131586584678
304,MTHFC,-99.27937226044322,99.96092137679544
305,MTHFD,-100.0,100.0
306,MTHFR2,0.1314845189272802,0.1375684433826542
307,MTRI,0.0046958756759778,0.0049131586584678
308,MTRK,0.0046958756759778,0.0049131586584678
309,NACODA,-100.0,100.0
310,NADDP,-100.0,100.0
311,NADH10,-100.0,100.0
312,NADH5,0.0,47.17149978293192
313,NADH9,-100.0,100.0
314,NADK,0.0,100.0
315,NADPPPS,-0.0003720358009218,99.99964441737188
316,NADS1,-100.0,100.0
317,NAMNPP,-100.0,100.0
318,NDPK1,-100.0,100.0
319,NDPK2,-100.0,100.0
320,NDPK3,-100.0,100.0
321,NDPK4,-99.9826635687338,100.0
322,NDPK5,-100.0,100.0
323,NDPK6,-93.95797688862784,90.91463246723868
324,NDPK7,-100.0,100.0
325,NDPK8,-100.0,100.0
326,NMNAT,-100.0,100.0
327,NMNDA,-100.0,100.0
328,NMNN,-0.0019161713792925,100.0
329,NNAM,-100.0,100.0
330,NNAT,-100.0,100.0
331,NNDPR,0.0018313915136315,0.0019161318768038
332,NTD1,-100.0,100.0
333,NTD10,-100.0,100.0
334,NTD11,-98.16010233551454,100.0
335,NTD2,-100.0,100.0
336,NTD3,-100.0,100.0
337,NTD4,0.0,100.0
338,NTD5,0.0,100.0
339,NTD6,-0.0173364312663153,100.0
340,NTD7,-11.860205842694668,100.0
341,NTD8,-0.0178277471321592,99.81323160757908
342,NTD9,-100.0,100.0
343,NTPP1,-100.0,100.0
344,NTPP2,-100.0,100.0
345,NTPP3,-100.0,100.0
346,NTPP4,-100.0,100.0
347,NTPP5,-100.0,100.0
348,NTPP6,-100.0,100.0
349,NTPP7,-100.0,99.9826635687338
350,NTPP8,-100.0,100.0
351,NTPTP1,-100.0,99.98296067969002
