,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,0.0112827771185306,0.0139481683510053
5,AACPS1,-99.99774344457656,100.0
6,AACPS2,-10.0,9.995501715759904
7,AACPS3,-100.0,100.0
8,AACPS4,-14.0,13.993702402063866
9,AACPS5,-100.0,99.95501715759903
10,ABTA,-0.0138418032775007,100.0
11,ABUTD,-100.0,99.98605183181364
12,ACALDi,-100.0,100.0
13,ACCOACr,-97.0446043577428,99.09998386743658
14,ACCOAL,-100.0,100.0
15,ACGK,0.0,100.0
16,ACGS,0.0,99.02040141055608
17,ACHBS,0.0741439639232197,0.0916593909400234
18,ACKr,-100.0,100.0
19,ACLS,0.2229850164861578,0.2756619651602655
20,ACOATA,-100.0,99.9990000000002
21,ACODA,-100.0,100.0
22,ACONT,-100.0,100.0
23,ACOTA,-99.15364428740102,0.0
24,ACS,0.0,100.0
25,ADA,0.0,99.9233851759345
26,ADCL,0.0134318775223363,0.0166049621268046
27,ADCS,0.0134318775223302,0.0166049621268045
28,ADD,0.0,99.32797192456135
29,ADK1,-100.0,100.0
30,ADK3,-100.0,100.0
31,ADMDCr,0.0018804628531228,0.0023246946977479
32,ADNK1,-100.0,100.0
33,ADPT,-100.0,99.74373614864597
34,ADSK,0.0626083988695357,0.0773987182790478
35,ADSL1r,0.0749496229487221,100.0
36,ADSL2r,0.132198956312719,0.1634290261451667
37,ADSS,0.0749496230562272,99.34481524545666
38,AGMHE,0.0067696662712575,0.008368900911909
39,AGPR,-100.0,100.0
40,AICART,0.1563763509720956,0.1933179766647725
41,AIRC2,0.1321989563127203,0.1634290261452093
42,AIRC3,-0.1634290261451951,-0.1321989563127061
43,ALAALAr,0.0074143963924009,0.009165939175498
44,ALAR,-99.98517120721569,100.0
45,ALATAD2,-100.0,99.9851712072154
46,ALATAL,-100.0,99.8466616862051
47,ALATAL2,-99.98517120721556,100.0
48,ALDD2x,0.0,99.30357529605644
49,AMALT1,-100.0,100.0
50,AMALT2,-100.0,100.0
51,AMALT3,-100.0,100.0
52,AMALT4,-100.0,100.0
53,AMPN,-100.0,100.0
54,ANPRT,0.0145064277241166,0.0179333590969489
55,ANS,0.0145064277241166,0.0179333593084523
56,APRAUR,-3.3209924253609152e-06,3.3209924253609152e-06
57,ARGSL,-99.90668011284845,100.0
58,ARGSS,-99.90668011284845,100.0
59,ASAD,-100.0,99.83408321843092
60,ASNN,-100.0,100.0
61,ASNS1,-99.93848200094772,100.0
62,ASNS2,-99.8727836195531,100.0
63,ASP1DC,1.5849615476362655e-05,1.9593855309646778e-05
64,ASPCT,0.1247604182245538,0.2460105448022886
65,ASPK,-99.83408321843092,100.0
66,ASPO3,-100.0,100.0
67,ASPO4,-100.0,100.0
68,ASPO5,-100.0,100.0
69,ASPO6,-60.36168243010289,60.04156590527751
70,ASPT,-100.0,99.18908631097992
71,ASPTA,-99.94485937363278,99.19096677383288
72,AST,-100.0,99.90668011284845
73,ATPHYD,3.15,100.0
74,ATPPRT,0.0241773795401059,0.0298889318283386
75,BETALDHx,-100.0,100.0
76,BETALDHy,-100.0,100.0
77,BPNT,0.0626083988695351,0.0773987173662189
78,BSORx,-100.0,100.0
79,BSORy,-100.0,99.99950000000004
80,C120SN,0.0112827771186931,0.0139481681865951
81,C140SN,-99.99628796632793,100.0
82,C141SN,0.0036386956207969,0.0044982842401495
83,C160SN,-99.39950803618552,100.0
84,C161SN,0.0050941738691197,0.0062975979362089
85,C181SN,0.0363869562080196,0.0449828424015095
86,CAT,0.0,30.020151145475577
87,CBMK,-100.0,100.0
88,CBPS,-100.0,100.0
89,CDAPPAEC,-100.0,100.0
90,CHORM,0.0824717279882616,0.1019544683653332
91,CHORS,0.1104100332335543,0.1364927886823335
92,CITL,0.0,99.35316467428191
93,CLPNSEC,0.0017327122003766,0.0021420401143623
94,CMPN,0.0,99.89813264087137
95,CS,-100.0,100.0
96,CSND,0.0,99.90495603465268
97,CTPS2,-100.0,100.0
98,CYSS,-99.92260128263474,100.0
99,CYSTL,0.0392210823650884,0.0484864894104077
100,cytd,0.0,99.89813264087148
101,CYTDK2,-100.0,100.0
102,CYTK1,-100.0,100.0
103,CYTK2,-100.0,100.0
104,DAAD,-100.0,100.0
105,DADA,-0.0082028512906475,99.91841502948546
106,DADK,-100.0,100.0
107,DAGKEC,0.0,100.0
108,DAPDC,0.0875758414468492,0.108264353065536
109,DAPE,0.0949902378390703,0.117430292159625
110,DASYNEC,-100.0,100.0
111,DB4PS,5.372751008932086e-06,6.641984850721831e-06
112,DCTPD,-100.0,100.0
113,DCYTD,-100.0,100.0
114,DDPA,0.1104100332335543,0.1364927886823335
115,DGK1,-100.0,100.0
116,DHAD1,0.2229850164861578,0.2756619651602655
117,DHAD2,0.0741439639232339,0.0916593909400091
118,DHAPT,-100.0,100.0
119,DHDPRy,0.0949902378379192,0.1174302921607619
120,DHDPS,0.0949902378379192,0.1174302921607619
121,DHFR,0.0200672250183621,0.0248078137100256
122,DHFS,0.0134318775223302,0.0166049621268045
123,DHNPA2,0.0134318775223302,0.0166049621268045
124,DHORD2,-99.8552428025993,100.0
125,DHORD5,-99.8552428025993,100.0
126,DHORTS,-0.2460105448022744,-0.1247604182245112
127,DHPPDA2,-3.320992425582961e-06,3.320992425582961e-06
128,DHPS2,0.0134318775223302,0.016604962322641
129,DHQD,0.1104100332335543,0.1364927886823335
130,DHQS,0.1104100332335543,0.1364927886823335
131,DKGLCNR1,-100.0,100.0
132,DKGLCNR2x,-100.0,100.0
133,DKGLCNR2y,-100.0,100.0
134,DKMPPD,0.0,0.0023246946977526
135,DKMPPD2,0.0,0.0023246946977526
136,DMPPS,0.0,0.0
137,DMSOR1,0.0,0.0
138,DMSOR2,0.0,0.0
139,DNMPPA,0.0134318775223302,0.016604962322641
140,DNTPPA,0.0134318775223363,0.0166049621268045
141,DPCOAK,1.584961547632343e-05,1.9593855540733784e-05
142,DPR,-1.9593855309640865e-05,1.9593855309640865e-05
143,DRPA,-100.0,99.88932493853302
144,DTMPK,-99.99179714870945,100.0
145,DURIK1,-99.90568140023244,100.0
146,DURIPP,-100.0,100.0
147,DUTPDP,-100.0,100.0
148,EDA,0.0,100.0
149,EDD,0.0,100.0
150,EDTXS1,0.0022565554237525,0.0027896336373027
151,EDTXS2,0.0022565554237525,0.0027896336373027
152,ENO,-100.0,100.0
153,ETHAAL,-100.0,99.3064733359289
154,F6PA,-100.0,100.0
155,FAO1,-100.0,99.99628796632794
156,FAO2,-100.0,99.97380139153024
157,FBA,-100.0,100.0
158,FBP,0.0,100.0
159,FMNAT,2.686375504466043e-06,3.3209924256150103e-06
160,FRD2,-100.0,100.0
161,FRD3,-100.0,100.0
162,FRUK,0.0,0.0
163,FTHFD,-100.0,100.0
164,fum,-99.71072971225296,100.0
165,G1PACT,0.0193419036320603,0.0239111458139263
166,G1PP,-100.0,100.0
167,G3PD2,-100.0,99.95564794042129
168,G3PD5,0.0,100.0
169,G3PD6,-100.0,100.0
170,G3PD7,-100.0,100.0
171,G5SADs,-99.93025915906824,100.0
172,G5SD,-100.0,100.0
173,G6PDA,-100.0,99.980658096368
174,G6PDH2r,-100.0,100.0
175,GALU,0.005319023498572,99.9034516643695
176,GAPD,-100.0,99.30492990144896
177,GARFT,-99.86780104368728,99.84362366414706
178,GART,-99.71142470783434,100.0
179,GCALDD,0.0134318775223363,0.0166049621268045
180,GF6PTA,-99.980658096368,99.75330054837366
181,GHMT2,-100.0,100.0
182,GK1,-100.0,100.0
183,GLCP,-25.05114328334996,24.94885671665004
184,GLCS1,-25.0,25.0
185,GLGC,0.0,99.74415550490522
186,GLNS,0.0,100.0
187,GLU5K,-100.0,100.0
188,GLUDC,-100.0,100.0
189,GLUDy,-100.0,100.0
190,GLUN,-100.0,100.0
191,GLUPRT,0.1321989563127271,0.1634290261453088
192,GLUR,-0.0091659390939469,-0.0074143963923773
193,GLUSy,-100.0,100.0
194,GLXCL,0.0,99.9926005144466
195,GLYATi,-100.0,100.0
196,GLYCDx,-100.0,100.0
197,GLYCK,0.0,99.85754150699825
198,GLYCL,-99.54228772556436,99.99785792776852
199,GLYCLTDx,-100.0,100.0
200,GLYCLTDy,-100.0,100.0
201,GLYCTO2,0.0,100.0
202,GLYCTO3,-100.0,100.0
203,GLYCTO4,-100.0,100.0
204,GLYK,-100.0,100.0
205,GLYOX,-100.0,100.0
206,GMHEPAT,0.0067696662712575,0.008368900911909
207,GMHEPK,0.0067696662712575,0.008368900911909
208,GMHEPPA,0.0067696662712575,0.008368900911909
209,GMPR,-100.0,99.92520861958016
210,GMPS2,-99.92520861958016,100.0
211,GND,-100.0,100.0
212,GNK,0.0,0.0
213,GPDDA2,-100.0,99.9614266729799
214,GPDDA4,-100.0,99.98801121734459
215,GSNK,-99.32425180119756,100.0
216,GSPMDA,0.0,100.0
217,GSPMDS,0.0,99.01495425692848
218,GTPCI,0.0134318775223363,0.0166049621268045
219,GTPCII2,2.686375504466043e-06,3.3209924256150103e-06
220,GUAD,-99.7326228745141,100.0
221,GUAPRT,-100.0,100.0
222,HEX1,-100.0,100.0
223,histd,0.024177379540518,0.0298889318279265
224,HISTP,0.0241773795401307,0.0298889318282817
225,HPPK2,0.0134318775223363,0.016604962126805
226,HPYRI,-100.0,100.0
227,HPYRRx,-100.0,100.0
228,HPYRRy,-100.0,100.0
229,HSDy,-99.88256970784062,99.9515135105903
230,HSK,-100.0,99.83408321843092
231,HSST,0.0392210823650884,0.0484864894104077
232,HSTPT,0.0241773795401059,0.0298889318283386
233,HXPRT,-100.0,100.0
234,HYPOE,0.0,100.0
235,ICDHyr,-99.701651136474,100.0
236,ICL,-100.0,100.0
237,IDOND,-100.0,100.0
238,IDOND2,-100.0,100.0
239,IG3PS,0.0241773795401059,0.0298889318283386
240,IGPDH,0.0241773795401059,0.0298889318283386
241,IGPS,0.0145064277241166,0.0179333593084523
242,ILETA,-0.0916593914891552,-0.0741439639243282
243,IMPC,-0.1933179789442789,-0.1563763509699356
244,IMPD,-99.90754024988657,100.0
245,INSK,-99.99811953714688,99.7245599691894
246,IPDDIi,0.0,0.0
247,IPDPS,0.0,0.0
248,IPMD,0.1149768715911534,0.1421384758323304
249,IPPMIa,-0.1421384758871946,-0.1149768715911534
250,IPPMIb,-0.1421384758871946,-0.1149768715911534
251,IPPS,0.1149768715911534,0.1421384758054813
252,KARA1i,0.2229850164861594,0.2756619651604966
253,KARA2i,0.0741439639232339,0.0916593909573321
254,KAS14,-99.99900000000044,99.99925000374998
255,KAS15,-100.0,100.0
256,KAS16,0.0090262216950083,0.0111585345492126
257,KDOCT2,0.0112827771185306,0.0139481681865951
258,KDOPP,0.0112827771185306,0.0139481681865951
259,KDOPS,0.0112827771185306,0.0139481681865951
260,LDHD,-100.0,100.0
261,LDHD2,-100.0,100.0
262,LEUTAi,0.1149768715928019,0.1421384758853652
263,LGTHL,-100.0,100.0
264,L-LACD2,0.0,100.0
265,L-LACD3,-100.0,100.0
266,LPADSS,0.0022565554237525,0.0027896336378292
267,LPLIPA1,-100.0,100.0
268,LPLIPA2,-100.0,100.0
269,LPLIPA3,-99.99971056069614,99.99926377608956
270,LPLIPA4,-99.99911477158582,100.0
271,LPLIPA5,-99.99954971637334,100.0
272,LPLIPA6,-100.0,99.999000005575
273,LPSSYNEC,0.0022565554237525,0.0027896336373027
274,MACPD,-100.0,100.0
275,MALS,-100.0,100.0
276,MCITD,-0.0916593909399665,100.0
277,MCITL2,-0.091659392020972,100.0
278,MCITS,-0.0916593909399665,99.03499535863682
279,MCOATA,-96.88121219391964,99.86807544297857
280,MDH,-100.0,100.0
281,MDH2,0.0,100.0
282,MDH3,-100.0,100.0
283,MDRPD,0.0018804628530384,0.0023246946978336
284,ME1,-100.0,100.0
285,ME2,-100.0,100.0
286,METAT,0.0018804628529807,0.00232469469789
287,METS,0.0392210823650884,0.0484864899821117
288,MGSA,-100.0,100.0
289,MICITD,-0.0916593909399665,99.20936967261494
290,MLTG2,-100.0,100.0
291,MLTG3,-100.0,100.0
292,MLTG4,-100.0,100.0
293,MLTG5,-99.3840261401594,99.82920024542736
294,MLTP1,-100.0,100.0
295,MLTP2,-100.0,100.0
296,MLTP3,-100.0,100.0
297,MMCD,-99.71072971225296,100.0
298,MME,-100.0,100.0
299,MMM2,-100.0,100.0
300,MOAT,0.0022565554237525,0.0027896336373027
301,MOAT2,0.0022565554237525,0.0027896336373027
302,MOHMT,1.5849615476362655e-05,1.9593855540733784e-05
303,MTAN,0.0018804628531228,0.0023246946977479
304,MTHFC,-99.71142470783516,100.0
305,MTHFD,-98.9210526299018,100.0
306,MTHFR2,0.052652959887439,0.0650914517382455
307,MTRI,0.0018804628531228,0.0023246946977479
308,MTRK,0.0018804628531228,0.0023246946977479
309,NACODA,-100.0,100.0
310,NADDP,-100.0,100.0
311,NADH10,-100.0,100.0
312,NADH5,-100.0,100.0
313,NADH9,-100.0,100.0
314,NADK,0.0,100.0
315,NADPPPS,-100.0,99.99982398740167
316,NADS1,-100.0,100.0
317,NAMNPP,-100.0,100.0
318,NDPK1,-99.78101526527756,100.0
319,NDPK2,-99.88019866664038,100.0
320,NDPK3,-100.0,100.0
321,NDPK4,-99.99179714870945,100.0
322,NDPK5,-100.0,100.0
323,NDPK6,-99.89813264087086,100.0
324,NDPK7,-100.0,100.0
325,NDPK8,-100.0,100.0
326,NMNAT,-100.0,100.0
327,NMNDA,-100.0,100.0
328,NMNN,-0.0009066496230047,100.0
329,NNAM,-0.0009066496230047,100.0
330,NNAT,-100.0,100.0
331,NNDPR,-0.0009066309321234,0.0009066309321234
332,NTD1,-100.0,99.85840338246727
333,NTD10,-100.0,100.0
334,NTD11,-100.0,100.0
335,NTD2,-100.0,100.0
336,NTD3,-100.0,100.0
337,NTD4,-100.0,100.0
338,NTD5,-100.0,100.0
339,NTD6,-100.0,100.0
340,NTD7,-100.0,99.36377743245546
341,NTD8,-100.0,100.0
342,NTD9,-100.0,100.0
343,NTPP1,-100.0,100.0
344,NTPP2,-100.0,100.0
345,NTPP3,-100.0,100.0
346,NTPP4,-100.0,100.0
347,NTPP5,-100.0,100.0
348,NTPP6,-100.0,100.0
349,NTPP7,-100.0,99.99179714870945
350,NTPP8,-100.0,100.0
351,NTPTP1,-100.0,100.0
352,NTPTP2,-100.0,100.0
353,OBTFL,-100.0,99.90834060906111
354,OCBT,-99.90668011284845,100.0
355,OMCDC,0.1149768715911534,0.1421384758054813
356,OMPDC,0.0846476921457224,0.1046444713231267
