,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,0.0112827771185306,0.0139481681865951
5,AACPS1,-99.99774344457626,99.99987499839486
6,AACPS2,-10.0,9.996361304379146
7,AACPS3,-99.98078381874149,100.0
8,AACPS4,-14.0,13.994905826130807
9,AACPS5,-100.0,99.96361304379147
10,ABTA,-100.0,100.0
11,ABUTD,-100.0,99.98871722288108
12,ACALDi,-100.0,100.0
13,ACCOACr,-100.0,100.0
14,ACCOAL,-100.0,100.0
15,ACGK,-100.0,100.0
16,ACGS,-100.0,100.0
17,ACHBS,0.0741439639230563,0.0916593909398599
18,ACKr,-100.0,100.0
19,ACLS,0.2229850164857537,0.2756619651597136
20,ACOATA,-100.0,100.0
21,ACODA,-100.0,100.0
22,ACONT,-100.0,100.0
23,ACOTA,-100.0,100.0
24,ACS,0.0,100.0
25,ADA,-100.0,100.0
26,ADCL,0.0134318775223058,0.0166049621267713
27,ADCS,0.0134318775223079,0.0166049621267713
28,ADD,-100.0,100.0
29,ADK1,-100.0,100.0
30,ADK3,-100.0,100.0
31,ADMDCr,0.0018804628531228,0.0023246946977479
32,ADNK1,-100.0,100.0
33,ADPT,-100.0,100.0
34,ADSK,0.0626083988694217,0.077398717366064
35,ADSL1r,-100.0,100.0
36,ADSL2r,0.1321989563124807,0.1634290261448806
37,ADSS,-100.0,100.0
38,AGMHE,0.0067696662712575,0.008368900911909
39,AGPR,-100.0,100.0
40,AICART,0.1563763358526415,0.1933179579730571
41,AIRC2,0.1321989563123367,0.1634290261448836
42,AIRC3,-0.1634290261448683,-0.1321989563125072
43,ALAALAr,0.0074143963924009,0.0091659390939506
44,ALAR,-99.98517120721536,100.0
45,ALATAD2,-100.0,99.9851712072154
46,ALATAL,-100.0,99.84666168620537
47,ALATAL2,-99.98517120721571,100.0
48,ALDD2x,-100.0,100.0
49,AMALT1,-100.0,100.0
50,AMALT2,-100.0,100.0
51,AMALT3,-100.0,100.0
52,AMALT4,-100.0,100.0
53,AMPN,-100.0,100.0
54,ANPRT,0.0145064277240903,0.0179333590969181
55,ANS,0.0145064277240862,0.017933359096913
56,APRAUR,2.686375504461174e-06,3.3209924253542664e-06
57,ARGSL,-99.92451284832339,100.0
58,ARGSS,-99.92451284832339,100.0
59,ASAD,-100.0,99.86578867979489
60,ASNN,-100.0,100.0
61,ASNS1,-100.0,100.0
62,ASNS2,-100.0,100.0
63,ASP1DC,-1.9593855309613103e-05,1.9593855309613103e-05
64,ASPCT,0.1247604182243549,0.2460105448020471
65,ASPK,-99.86578867979489,100.0
66,ASPO3,-100.0,100.0
67,ASPO4,-100.0,100.0
68,ASPO5,-100.0,100.0
69,ASPO6,-100.0,100.0
70,ASPT,0.0,99.32797192456344
71,ASPTA,-100.0,-0.6653926977036662
72,AST,-100.0,99.92451284832339
73,ATPHYD,3.15,100.0
74,ATPPRT,0.0241773795401204,0.0298889318283424
75,BETALDHx,-100.0,100.0
76,BETALDHy,-100.0,100.0
77,BPNT,0.062608398869427,0.077398717366064
78,BSORx,-100.0,100.0
79,BSORy,-100.0,100.0
80,C120SN,0.0112827771186931,0.0139481681865951
81,C140SN,-99.99628796632794,100.0
82,C141SN,0.0036386956207934,0.0044982842401406
83,C160SN,-99.97380139153034,100.0
84,C161SN,0.0050941738691108,0.006297597936193
85,C181SN,0.0363869562082186,0.0449828424014242
86,CAT,-92.50169748991026,100.0
87,CBMK,-100.0,100.0
88,CBPS,-100.0,100.0
89,CDAPPAEC,-100.0,100.0
90,CHORM,0.0824717279882616,0.1019544674574479
91,CHORS,0.1104100332333542,0.1364927886820603
92,CITL,-100.0,100.0
93,CLPNSEC,0.0017327122003766,0.0021420401143623
94,CMPN,-100.0,100.0
95,CS,-100.0,100.0
96,CSND,-100.0,100.0
97,CTPS2,-100.0,100.0
98,CYSS,-99.93739160112955,100.0
99,CYSTL,0.0392210823650032,0.0484864894102372
100,cytd,-100.0,100.0
101,CYTDK2,-100.0,100.0
102,CYTK1,-100.0,100.0
103,CYTK2,-100.0,100.0
104,DAAD,-100.0,100.0
105,DADA,-100.0,100.0
106,DADK,-100.0,100.0
107,DAGKEC,-99.99548688915243,100.0
108,DAPDC,0.0875758414468492,0.108264353065536
109,DAPE,0.0949902378390703,0.117430292159625
110,DASYNEC,-100.0,100.0
111,DB4PS,5.372751008922348e-06,6.641984850708533e-06
112,DCTPD,-100.0,100.0
113,DCYTD,-100.0,100.0
114,DDPA,0.1104100332332365,0.1364927886820603
115,DGK1,-100.0,100.0
116,DHAD1,0.2229850164857469,0.2756619651597136
117,DHAD2,0.0741439639230563,0.0916593909398599
118,DHAPT,-100.0,100.0
119,DHDPRy,0.0949902378377471,0.1174302921605268
120,DHDPS,0.0949902378377471,0.1174302921605268
121,DHFR,0.0200672250183231,0.0248078134173963
122,DHFS,0.0134318775223079,0.0166049621267713
123,DHNPA2,0.0134318775223058,0.0166049621267713
124,DHORD2,0.0,60.663965460316106
125,DHORD5,-60.539218997923705,0.2460105448020471
126,DHORTS,-0.2460105448020328,-0.1247604182243549
127,DHPPDA2,2.686375504461174e-06,3.3209924253542664e-06
128,DHPS2,0.0134318775223058,0.0166049621267713
129,DHQD,0.1104100332333542,0.136492788682099
130,DHQS,0.1104100332333542,0.136492788682099
131,DKGLCNR1,-100.0,100.0
132,DKGLCNR2x,-100.0,100.0
133,DKGLCNR2y,-100.0,100.0
134,DKMPPD,0.0,0.0023246946977486
135,DKMPPD2,0.0,0.0023246946977479
136,DMPPS,0.0,0.0
137,DMSOR1,0.0,0.0
138,DMSOR2,0.0,0.0
139,DNMPPA,0.0134318775223058,0.0166049621267713
140,DNTPPA,0.0134318775223058,0.0166049621267713
141,DPCOAK,-1.9593855309613103e-05,1.9593855309613103e-05
142,DPR,-1.9593855309613103e-05,1.9593855309613103e-05
143,DRPA,-100.0,99.91047411857441
144,DTMPK,-99.99336465250387,100.0
145,DURIK1,-100.0,100.0
146,DURIPP,-100.0,99.89925661291976
147,DUTPDP,-100.0,100.0
148,EDA,-100.0,100.0
149,EDD,-100.0,100.0
150,EDTXS1,0.0022565554237525,0.0027896336373027
151,EDTXS2,0.0022565554237525,0.0027896336373027
152,ENO,-100.0,100.0
153,ETHAAL,-100.0,99.96879774851516
154,F6PA,-100.0,100.0
155,FAO1,-99.9995133249245,99.99628796632794
156,FAO2,-100.0,99.97380139153034
157,FBA,-100.0,100.0
158,FBP,-100.0,100.0
159,FMNAT,2.686375504461174e-06,3.3209924253548018e-06
160,FRD2,-100.0,100.0
161,FRD3,-100.0,100.0
162,FRUK,0.0,0.0
163,FTHFD,-100.0,100.0
164,fum,-100.0,100.0
165,G1PACT,0.0193419036320603,0.0239111454626417
166,G1PP,-100.0,100.0
167,G3PD2,-100.0,100.0
168,G3PD5,0.0,60.66469885594976
169,G3PD6,-100.0,100.0
170,G3PD7,-100.0,100.0
171,G5SADs,-99.94358611440538,100.0
172,G5SD,-100.0,100.0
173,G6PDA,-100.0,99.98065809636756
174,G6PDH2r,-100.0,100.0
175,GALU,-99.99468097650107,100.0
176,GAPD,-100.0,99.43775262104658
177,GARFT,-99.8678010436855,100.0
178,GART,-99.86780104368528,100.0
179,GCALDD,0.0134318775223058,0.0166049621267714
180,GF6PTA,-99.98065809636756,100.0
181,GHMT2,-100.0,100.0
182,GK1,0.0679679865315705,100.0
183,GLCP,-25.05114328334996,24.958629817230612
184,GLCS1,-25.0,25.0
185,GLGC,-100.0,100.0
186,GLNS,-100.0,100.0
187,GLU5K,-100.0,100.0
188,GLUDC,-100.0,100.0
189,GLUDy,-100.0,100.0
190,GLUN,-100.0,100.0
191,GLUPRT,0.132198956312493,0.1634290448357273
192,GLUR,-0.0091659390939469,-0.0074143963923773
193,GLUSy,-100.0,100.0
194,GLXCL,-99.99328406123874,100.0
195,GLYATi,-100.0,100.0
196,GLYCDx,-100.0,100.0
197,GLYCK,-99.99328406123874,100.0
198,GLYCL,-100.0,100.0
199,GLYCLTDx,-100.0,100.0
200,GLYCLTDy,-100.0,100.0
201,GLYCTO2,0.0,60.66469885594928
202,GLYCTO3,-100.0,100.0
203,GLYCTO4,-100.0,100.0
204,GLYK,-100.0,100.0
205,GLYOX,-100.0,100.0
206,GMHEPAT,0.0067696662712575,0.008368900911909
207,GMHEPK,0.0067696662712575,0.008368900911909
208,GMHEPPA,0.0067696662712575,0.008368900911909
209,GMPR,-100.0,99.9252086195803
210,GMPS2,-100.0,100.0
211,GND,-100.0,100.0
212,GNK,0.0,0.0
213,GPDDA2,-100.0,99.96879774851516
214,GPDDA4,-100.0,99.99030218442874
215,GSNK,-100.0,100.0
216,GSPMDA,-100.0,100.0
217,GSPMDS,-100.0,100.0
218,GTPCI,0.0134318775223079,0.0166049621267713
219,GTPCII2,2.6863755044611746e-06,3.3209924256150103e-06
220,GUAD,-100.0,100.0
221,GUAPRT,-100.0,100.0
222,HEX1,-100.0,100.0
223,histd,0.024177379540518,0.0298889318279265
224,HISTP,0.0241773795400064,0.0298889318283318
225,HPPK2,0.0134318775223058,0.016604962126776
226,HPYRI,-100.0,100.0
227,HPYRRx,-100.0,100.0
228,HPYRRy,-100.0,100.0
229,HSDy,-99.90500976216067,99.96077891763422
230,HSK,-100.0,99.86578867979489
231,HSST,0.0392210823650032,0.0484864894102372
232,HSTPT,0.0241773795401414,0.0298889318282817
233,HXPRT,-100.0,100.0
234,HYPOE,-100.0,100.0
235,ICDHyr,-100.0,100.0
236,ICL,-100.0,100.0
237,IDOND,-100.0,100.0
238,IDOND2,-100.0,100.0
239,IG3PS,0.0241773795400632,0.0298889318283812
240,IGPDH,0.0241773795400632,0.0298889318283812
241,IGPS,0.0145064277240903,0.017933359096913
242,ILETA,-0.0916593909389149,-0.0741439639243282
243,IMPC,-0.1933179579730429,-0.1563763358526344
244,IMPD,-99.9252086195803,100.0
245,INSK,-100.0,100.0
246,IPDDIi,0.0,0.0
247,IPDPS,0.0,0.0
248,IPMD,0.1149768715909382,0.1421384758051626
249,IPPMIa,-0.1421384758051626,-0.1149768715909382
250,IPPMIb,-0.1421384758051626,-0.1149768715909382
251,IPPS,0.1149768715909382,0.1421384758051626
252,KARA1i,0.2229850164857537,0.2756619651597136
253,KARA2i,0.0741439639230563,0.0916593909398599
254,KAS14,-100.0,99.99925000374992
255,KAS15,-100.0,100.0
256,KAS16,0.0090262216950083,0.0111585345492126
257,KDOCT2,0.0112827771185306,0.0139481681865951
258,KDOPP,0.0112827771185306,0.0139481681865951
259,KDOPS,0.0112827771185306,0.0139481681865951
260,LDHD,-100.0,100.0
261,LDHD2,0.0,60.66471040647306
262,LEUTAi,0.1149768715928019,0.1421384758038186
263,LGTHL,-100.0,100.0
264,L-LACD2,0.0,60.664709506272814
265,L-LACD3,-60.66472291616691,0.0
266,LPADSS,0.0022565554237525,0.0027896336373027
267,LPLIPA1,-99.99959000133134,99.99930951356748
268,LPLIPA2,-100.0,99.9997321307882
269,LPLIPA3,-99.99950000029337,100.0
270,LPLIPA4,-100.0,99.9995721777355
271,LPLIPA5,-99.99952616063656,99.99949999887195
272,LPLIPA6,-99.99946425102304,99.99928509727371
273,LPSSYNEC,0.0022565554237525,0.0027896336373027
274,MACPD,-100.0,100.0
275,MALS,-100.0,100.0
276,MCITD,-100.0,100.0
277,MCITL2,-100.0,100.0
278,MCITS,-100.0,100.0
279,MCOATA,-100.0,100.0
280,MDH,-100.0,100.0
281,MDH2,0.0,60.66469885594521
282,MDH3,-99.98502700379991,100.0
283,MDRPD,0.0018804628531228,0.0023246946977479
284,ME1,-100.0,100.0
285,ME2,-100.0,100.0
286,METAT,0.0018804628531228,0.0023246946977479
287,METS,0.0392210823650032,0.0484864894102372
288,MGSA,-100.0,100.0
289,MICITD,-100.0,100.0
290,MLTG2,-100.0,100.0
291,MLTG3,-100.0,100.0
292,MLTG4,-100.0,100.0
293,MLTG5,-100.0,100.0
294,MLTP1,-100.0,100.0
295,MLTP2,-100.0,100.0
296,MLTP3,-100.0,100.0
297,MMCD,-100.0,100.0
298,MME,-100.0,100.0
299,MMM2,-100.0,100.0
300,MOAT,0.0022565554237525,0.0027896336373027
301,MOAT2,0.0022565554237525,0.0027896336373027
302,MOHMT,-1.9593855309613103e-05,1.9593855309613103e-05
303,MTAN,0.0018804628531228,0.0023246946977482
304,MTHFC,-100.0,100.0
305,MTHFD,-100.0,100.0
306,MTHFR2,0.0526529598872826,0.0650914515494097
307,MTRI,0.0018804628531228,0.0023246946977479
308,MTRK,0.0018804628531228,0.0023246946977479
309,NACODA,-100.0,100.0
310,NADDP,-100.0,100.0
311,NADH10,-100.0,100.0
312,NADH5,0.0,60.66487235184471
313,NADH9,-100.0,100.0
314,NADK,-99.99985762209826,100.0
315,NADPPPS,-100.0,99.99985762209826
316,NADS1,-100.0,100.0
317,NAMNPP,-100.0,100.0
318,NDPK1,-100.0,100.0
319,NDPK2,-99.89149729337484,100.0
320,NDPK3,-100.0,100.0
321,NDPK4,-99.99336465250387,100.0
322,NDPK5,-100.0,100.0
323,NDPK6,-100.0,100.0
324,NDPK7,-100.0,100.0
325,NDPK8,-100.0,100.0
326,NMNAT,-100.0,100.0
327,NMNDA,-100.0,100.0
328,NMNN,0.0,100.0
329,NNAM,-100.0,100.0
330,NNAT,-100.0,100.0
331,NNDPR,-0.0008616331387401,0.0009066496229964
332,NTD1,-100.0,100.0
333,NTD10,-100.0,100.0
334,NTD11,-100.0,100.0
335,NTD2,-100.0,100.0
336,NTD3,-100.0,100.0
337,NTD4,-100.0,100.0
338,NTD5,-100.0,100.0
339,NTD6,-100.0,100.0
340,NTD7,-100.0,100.0
341,NTD8,-0.0084353207625866,99.92520861958069
342,NTD9,-100.0,100.0
343,NTPP1,-100.0,100.0
344,NTPP2,-100.0,100.0
345,NTPP3,-100.0,100.0
346,NTPP4,-100.0,100.0
347,NTPP5,-100.0,100.0
348,NTPP6,-100.0,100.0
349,NTPP7,-100.0,99.99336465250387
350,NTPP8,-100.0,100.0
351,NTPTP1,-100.0,100.0
352,NTPTP2,-100.0,100.0
353,OBTFL,-100.0,99.92585603607564
354,OCBT,-99.92451284832339,100.0
355,OMCDC,0.1149768715928019,0.1421384758038186
356,OMPDC,0.0846476921458929,0.1046444713228993
357,ORNDC,-99.98871722288108,100.0
358,ORNTA,-100.0,100.0
359,ORPT,-0.1046444713229135,-0.0846476921455803
360,P5CD,-100.0,99.94358611440538
361,P5CR,-99.94358611440543,100.0
362,PANTS,1.584961547633498e-05,1.9593855309613103e-05
