0: [-16.11809565095832, -6.907755278982137]
1: [-16.11809565095832, -5.866369595860432]
2: [-16.11809565095832, -7.194092308513203]
3: [-16.11809565095832, -3.8313554498449207]
4: [-16.11809565095832, -5.871112061728709]
5: [-16.11809565095832, -9.574070729182274]
6: [-16.11809565095832, -6.907755278982137]
7: [-16.118095650958317, -6.907755278982137]
8: [-9.210340371976182, -8.305726057581225]
9: [0.0, -0.0]
10: [-3.912023005428146, -3.6888794541139363]
11: [-16.11809565095832, -6.907755278982137]
12: [-9.565721134323434, -9.050429091722513]
13: [-16.11809565095832, -6.907755278982137]
14: [-16.118095650958324, -6.907755278982137]
15: [-6.9751515863514095, -6.495797085554479]
16: [-16.11809565095832, -6.907755278982137]
17: [-11.092625349155634, -6.165935473773183]
18: [-16.11809565095832, -6.907755278982137]
19: [-16.118095650958317, -6.907755278982137]
20: [-16.11809565095832, -6.907755278982137]
21: [-16.11809565095832, -6.907755278982137]
22: [-16.11809565095832, -6.907755278982137]
23: [-16.11809565095832, -6.907755278982137]
24: [-16.11809565095832, -6.907755278982137]
25: [-16.11809565095832, -6.907755278982137]
26: [-16.11809565095832, -6.907755278982137]
27: [-16.11809565095832, -6.907755278982137]
28: [-7.140877075799557, -6.393504870592016]
29: [-7.391185734828574, -7.157033736589977]
30: [-16.118095650958317, -6.907755278982137]
31: [-9.11221859618521, -7.947367610755066]
32: [-4.3112598453063695, -4.238416960015297]
33: [-16.11809565095832, -6.907755278982137]
34: [-16.11809565095832, -6.907755278982137]
35: [-16.11809565095832, -5.802583406884523]
36: [-16.11809565095832, -6.907755278982137]
37: [-16.11809565095832, -2.359596640342448]
38: [-16.118095650958317, -6.907755278982137]
39: [-7.59891209097462, -7.009017840414906]
40: [-8.517193191416238, -7.824046010856293]
41: [-7.674342416266585, -7.18074995240638]
42: [-16.118095650958317, -5.074389199180081]
43: [-16.118095650958317, -6.907755278982137]
44: [-11.665428085544512, -10.490219102169435]
45: [-6.22003775942121, -3.035021475952972]
46: [-16.118095650958324, -6.907755278982137]
47: [-16.118095650958317, -6.907755278982137]
48: [-16.118095650958317, -6.907755278982137]
49: [-16.118095650958317, -6.907755278982137]
50: [-16.11809565095832, -6.907755278982137]
51: [-16.11809565172704, -4.101916917844185]
52: [-16.11809565095832, -6.907755278982137]
53: [-16.118095650958317, -5.314772497558765]
54: [-16.118095650958317, -6.907755278982137]
55: [-6.022962034876919, -4.591931779915633]
56: [-16.118095650958317, -6.907755278982137]
57: [-16.11809565095832, -5.935568078019074]
58: [-16.118095650958317, -8.363783931464543]
59: [-16.11809565095832, -5.216644280462795]
60: [-4.540224526642893, -2.8395205829965944]
61: [-6.215228958607476, -6.136496336854982]
62: [-16.118095650958317, -6.907755278982137]
63: [-16.118095650958317, -6.907755278982137]
64: [-15.39007088922245, -14.183807133149948]
65: [-16.118095650958317, -6.907755278982137]
66: [-9.903487552536127, -6.907755278982137]
67: [-16.118095650958317, -6.907755278982137]
68: [-16.118095650958317, -6.907755278982137]
69: [-16.11809566280767, -6.907755278982137]
70: [-6.370831215247513, -6.075784030851338]
71: [-12.731384411238572, -9.300098208125469]
72: [-16.118095650958317, -6.907755278982137]
73: [-8.14327943069451, -7.684889521299247]
74: [-16.118095650958317, -6.907755278982137]
75: [-11.428651592621286, -10.382403105789674]
76: [-16.118095650958317, -6.907755278982139]
77: [-11.36742600406074, -10.312653796910134]
78: [-16.118095650958317, -6.907755278982137]
79: [-16.118095650958317, -6.907755278982137]
80: [-7.697966228871692, -7.307880414462957]
81: [-16.118095650958317, -6.907755278982137]
82: [-16.118095650958317, -6.907755278982137]
83: [-6.582597020863872, -6.383727729218544]
84: [-6.877577930495754, -6.17684783046325]
85: [-16.118095650958317, -5.220418376475486]
86: [-15.924097676685172, -6.907755278982137]
87: [-16.11809565095832, -7.101753253255289]
88: [-16.118095650958317, -6.907755278982137]
89: [-7.0506225875727395, -6.512768291418834]
90: [-16.118095650958317, -6.907755278982139]
91: [-16.118095650958317, -6.907755278982139]
92: [-16.118095652426298, -6.907755278982139]
93: [-16.118095650958317, -6.907755278982139]
94: [-16.118095650958317, -6.907755278982137]
95: [-16.118095662649587, -6.907755278982139]
96: [-16.118095650958317, -6.907755278982137]
97: [-16.118095650958317, -6.907755278982137]
98: [-16.118095650958317, -4.505897442573833]
99: [-16.118095650958317, -6.907755278982139]
100: [-16.118095650958317, -6.907755278982137]
101: [-16.118095650958317, -6.907755278982137]
102: [-16.118095650958317, -6.907755278982137]
103: [-16.118095650958317, -6.907755278982137]
104: [-16.118095650958317, -6.907755278982137]
105: [-16.11809567449894, -6.907755278982137]
106: [-16.118095650958317, -6.907755278982137]
107: [-16.118095650958317, -6.907755278982137]
108: [-16.118095650958317, -6.907755278982137]
109: [-16.118095650958317, -6.907755278982137]
110: [-16.118095650958317, -6.907755278982137]
111: [-16.118095650958317, -6.907755278982137]
112: [-10.348079496411863, -9.43872337440006]
113: [-13.640814052732772, -11.153220291551563]
114: [-16.118095650958317, -6.907755278982137]
115: [-16.118095650958317, -6.907755278982137]
116: [-16.118095650958317, -6.907755278982137]
117: [-16.118095650958317, -6.907755278982137]
118: [-16.118095650958317, -3.025941985957509]
119: [-16.118095650958317, -6.907755278982137]
120: [-7.650724076287965, -5.1432810486153215]
121: [-16.118095650958317, -6.907755278982139]
122: [-16.118095650958317, -6.907755278982139]
123: [-8.603860539652059, -8.233452719382653]
124: [-16.118095650958317, -6.907755278982137]
125: [-16.118095650958317, -6.907755278982137]
126: [-16.118095650958317, -5.6535418601663565]
127: [-16.118095650958317, -6.907755278982137]
128: [-16.118095650958317, -6.907755278982137]
129: [-16.118095650958317, -6.907755278982137]
130: [-16.118095650958317, -6.907755278982137]
131: [-7.415143734107131, -7.155952095027071]
132: [-16.11809565095832, -6.907755278982137]
133: [-14.505218139853893, -6.907755278982137]
134: [-16.118095650958317, -4.604587257132714]
135: [-16.118095650958317, -6.907755278982137]
136: [-16.11809565095832, -6.907755278982137]
137: [-16.118095650958317, -6.907755278982137]
138: [-16.118095650958317, -6.907755278982137]
139: [-16.118095650958317, -6.907755278982137]
140: [-16.118095650958317, -6.907755278982137]
141: [-16.118095650958317, -6.907755278982137]
142: [-16.118095650958317, -6.907755278982137]
143: [-16.118095650958317, -6.907755278982137]
144: [-16.118095650958317, -6.907755278982137]
145: [-16.118095650958317, -6.907755278982137]
146: [-8.28237495600576, -6.02051405323828]
147: [-16.118095650958317, -6.907755278982137]
148: [-16.118095650958317, -6.907755278982137]
149: [-16.118095650958317, -6.907755278982137]
150: [-16.118095650958317, -6.907755278982137]
151: [-16.118095650958317, -6.907755278982137]
152: [-11.00818761344781, -9.384514585191834]
153: [-16.118095650958317, -6.907755278982137]
154: [-6.067768547693653, -3.352652161757554]
155: [-16.118095650958317, -4.359456901172543]
156: [-16.118095650958317, -6.907755278982137]
157: [-16.118095650958317, -6.907755278982139]
158: [-16.118095650958317, -6.907755278982137]
159: [-16.118095650958317, -6.907755278982137]
160: [-14.014730803106026, -10.863813188483988]
161: [-16.118095650958317, -6.907755278982137]
162: [-16.118095650958317, -6.907755278982137]
163: [-16.118095650958317, -6.907755278982137]
164: [-16.118095650958317, -6.907755278982137]
165: [-16.118095650958317, -6.473445542655036]
166: [-16.118095650958317, -6.907755278982137]
167: [-12.535104502193896, -11.022628297602601]
168: [-16.118095650958317, -6.907755278982137]
169: [-16.118095650958317, -9.421955963572639]
170: [-16.118095650958317, -6.907755278982137]
171: [-16.118095650958317, -6.907755278982137]
172: [-16.118095652430604, -6.907755278982137]
173: [-16.118095650958317, -6.111557116427143]
174: [-16.118095650958317, -6.907755278982137]
175: [-16.118095650958317, -6.907755278982137]
176: [-9.74574304066654, -8.647581608633656]
177: [-16.118095650958317, -6.907755278982137]
178: [-16.118095650958317, -6.907755278982137]
179: [-16.118095650958317, -6.907755278982137]
180: [-16.118095650958317, -9.771984684701728]
181: [-11.300842558354141, -9.134747531187578]
182: [-7.933303394304309, -7.78587512203381]
183: [-16.11809565095832, -6.907755278982137]
184: [-12.23356550814954, -6.907755278982139]
185: [-9.330187029576408, -8.2800302890465]
186: [-16.118095650958317, -6.907755278982137]
187: [-16.118095650958317, -6.907755278982137]
188: [-16.118095650958317, -6.907755278982137]
189: [-16.118095650958317, -6.907755278982137]
190: [-16.118095650958317, -6.907755278982137]
191: [-16.118095650958317, -6.907755278982137]
192: [-7.656856873984514, -7.4769315537172005]
193: [-16.118095650958317, -6.907755278982137]
194: [-16.118095650958317, -6.907755278982137]
195: [-16.118095650958317, -6.907755278982137]
196: [-16.118095650958317, -6.907755278982137]
197: [-16.11809567526766, -6.907755278982137]
198: [-16.118095650958317, -6.907755278982137]
199: [-16.118095650958317, -6.907755278982137]
200: [-12.771776205709166, -9.93416838039851]
201: [-16.118095650958317, -6.907755278982137]
202: [-16.118095650958317, -6.907755278982137]
203: [-16.118095650958317, -6.907755278982137]
204: [-16.118095650958317, -6.907755278982137]
205: [-16.118095650958317, -6.907755278982137]
206: [-16.118095650958317, -6.907755278982137]
207: [-16.118095650958317, -6.907755278982137]
208: [-16.118095650958317, -6.907755278982137]
209: [-16.118095650958317, -6.907755278982137]
210: [-16.118095650958317, -6.907755278982137]
211: [-16.118095650958317, -6.907755278982137]
212: [-16.11809565095832, -6.907755278982137]
213: [-16.11809565095832, -6.907755278982137]
214: [-16.118095650958317, -6.907755278982137]
215: [-16.118095650958317, -6.907755278982137]
216: [-16.11809565095832, -6.907755278982137]
217: [-16.118095650958317, -6.907755278982137]
218: [-16.118095650958317, -6.907755278982137]
219: [-16.118095650958317, -6.907755278982137]
220: [-16.118095650958317, -6.907755278982137]
221: [-16.118095650958317, -6.907755278982137]
222: [-16.118095650958317, -6.907755278982137]
223: [-16.118095650958317, -6.907755278982137]
224: [-16.11809566303352, -6.907755278982137]
225: [-9.114547364322853, -8.60031518515207]
226: [-16.118095650958317, -6.907755278982139]
227: [-16.118095650958317, -6.907755278982137]
228: [-16.11809565095832, -6.907755278982137]
229: [-16.118095650958317, -6.907755278982137]
230: [-16.118095650958317, -6.907755278982139]
231: [-8.226837967318646, -7.619943904553673]
232: [-8.922619800775713, -8.712018313417595]
233: [-16.118095650958317, -7.971501688471257]
234: [-11.833149651237251, -6.720953863392419]
235: [-6.307421832116766, -5.519435966805368]
236: [-16.118095650958317, -6.907755278982137]
237: [-16.118095650958317, -6.907755278982137]
238: [-16.118095650958317, -6.907755278982139]
239: [-7.66457471322186, -3.911561185934673]
240: [-16.118095650958317, -5.19694018989626]
241: [-16.118095650958317, -6.907755278982137]
242: [-16.118095650958317, -6.907755278982137]
243: [-16.118095650958317, -6.907755278982137]
244: [-16.118095650958317, -6.907755278982137]
245: [-16.118095650958317, -6.907755278982137]
246: [-8.89731630185667, -4.041284661962976]
247: [-12.090657343238725, -11.010534365825453]
248: [-16.118095650958317, -6.907755278982137]
249: [-16.118095650958317, -6.907755278982137]
250: [-16.118095650958317, -6.907755278982137]
251: [-16.118095650958317, -7.215001523367842]
252: [-16.118095650958317, -6.907755278982137]
253: [-16.118095650958317, -6.907755278982137]
254: [-16.118095650958317, -6.907755278982137]
255: [-16.118095650958317, -6.907755278982137]
256: [-12.048328133660583, -10.635512328162633]
257: [-16.118095650958317, -6.907755278982137]
258: [-4.311259845306374, -4.238416960015293]
259: [-16.118095650958317, -6.907755278982137]
260: [-16.118095650958317, -6.907755278982137]
261: [-7.693024569127452, -4.565715937784745]
262: [-6.738568429561605, -4.543802366063595]
263: [-16.118095650958317, -6.907755278982137]
264: [-5.046456340680265, -2.6471383255603986]
265: [-16.118095650958317, -6.907755278982137]
266: [-16.118095650958317, -6.907755278982137]
267: [-16.118095650958317, -6.907755278982137]
268: [-16.118095650958317, -6.907755278982137]
269: [-16.118095650958317, -6.907755278982137]
270: [-16.118095650958317, -6.907755278982137]
271: [-16.11809566280767, -6.907755278982137]
272: [-16.118095650958317, -6.907755278982139]
273: [-16.118095651727124, -6.907755278982137]
274: [-12.815115304149039, -11.700140764015146]
275: [-16.11809567449894, -6.907755278982137]
276: [-16.118095650958317, -6.907755278982137]
277: [-16.118095650958317, -6.892565652778421]
278: [-16.118095650958317, -6.907755278982137]
279: [-16.118095650958317, -8.663638321354732]
280: [-16.118095650958317, -7.391645279245118]
281: [-16.118095650958317, -6.907755278982137]
282: [-16.118095650958317, -6.907755278982137]
283: [-16.118095650958317, -6.907755278982137]
284: [-16.118095650958317, -6.907755278982137]
285: [-16.118095650958317, -6.907755278982137]
286: [-16.118095650958317, -6.907755278982137]
287: [-16.118095650958317, -6.907755278982137]
288: [-16.118095650958317, -6.907755278982137]
289: [-16.11809566921807, -6.907755278982137]
290: [-16.118095650958317, -6.907755278982137]
291: [-16.118095650958317, -6.907755278982137]
292: [-16.118095650958317, -6.907755278982137]
293: [-16.118095650958317, -6.907755278982139]
294: [-16.118095650958317, -6.907755278982139]
295: [-16.118095650958317, -6.907755278982137]
296: [-16.118095650958317, -6.907755278982137]
297: [-16.118095650958317, -6.907755278982137]
298: [-16.118095650958317, -6.907755278982137]
299: [-16.118095650958317, -6.907755278982137]
300: [-16.118095650958317, -6.907755278982137]
301: [-16.118095650958317, -6.907755278982137]
302: [-16.118095650958317, -6.907755278982137]
303: [-16.118095650958317, -6.907755278982137]
304: [-16.11809565118417, -6.907755278982137]
305: [-16.118095650958317, -6.907755278982137]
306: [-16.118095650958317, -6.907755278982137]
307: [-16.118095650958317, -6.907755278982137]
308: [-16.118095650958317, -6.907755278982137]
309: [-16.118095650958317, -6.907755278982137]
310: [-16.118095650958317, -6.907755278982137]
311: [-16.118095650958317, -6.907755278982137]
312: [-16.118095650958317, -6.907755278982137]
313: [-16.118095650958317, -6.907755278982137]
314: [-16.118095650958317, -6.907755278982137]
315: [-16.118095650958317, -6.907755278982137]
316: [-16.118095650958317, -6.907755278982137]
317: [-16.118095650958317, -6.907755278982137]
318: [-16.118095650958317, -7.364520502155418]
319: [-16.118095650958317, -6.907755278982137]
320: [-16.11809565095832, -6.907755278982137]
321: [-16.118095650958317, -6.907755278982137]
322: [-16.118095650958317, -6.907755278982137]
323: [-16.118095650958317, -6.907755278982137]
324: [-16.118095650958317, -6.907755278982137]
325: [-16.118095650958317, -6.907755278982137]
326: [-16.118095650958317, -6.907755278982139]
327: [-16.118095650958317, -6.907755278982137]
328: [-16.118095650958317, -6.907755278982137]
329: [-2.2584600856134784e-10, 2.2584600856134784e-10]
330: [-16.118095650958317, -6.907755278982137]
331: [-16.118095650958317, -6.907755278982137]
332: [-16.118095650958317, -6.907755278982137]
333: [-16.118095650958317, -6.907755278982137]
334: [-16.118095650958317, -6.907755278982137]
335: [-16.118095650958317, -6.907755278982137]
336: [-16.118095650958317, -7.8316710624187476]
337: [-16.118095650958317, -6.907755278982137]
338: [-16.118095650958317, -8.80884130079766]
339: [-16.118095650958317, -6.907755278982137]
340: [-16.118095650958317, -6.907755278982137]
341: [-13.875599179062469, -12.874330802797694]
342: [-16.11809565095832, -6.907755278982137]
343: [-16.118095650958317, -6.907755278982137]
344: [-16.118095650958317, -6.907755278982139]
345: [-16.118095650958317, -6.451986819158975]
346: [-16.118095650958317, -6.907755278982137]
347: [-16.118095650958317, -6.907755278982137]
348: [-16.118095650958317, -6.907755278982137]
349: [-16.118095650958317, -6.907755278982137]
350: [-16.118095650958317, -6.907755278982137]
351: [-16.118095650958317, -6.907755278982137]
