0: [-16.118095650958324, -6.907755278982137]
1: [-16.118095650958324, -5.866369595860434]
2: [-16.118095650958324, -7.194092308513206]
3: [-15.963968251613364, -3.8313554498449207]
4: [-16.118095650958324, -5.871112061728713]
5: [-16.11809582069094, -9.574070729182274]
6: [-16.118095650958324, -6.907755278982137]
7: [-16.118095650958324, -6.907755278982137]
8: [-9.210340371976187, -8.305726057581223]
9: [-1.093256418727151e-08, 1.093256418727151e-08]
10: [-3.9120230054281464, -3.6888794541139376]
11: [-16.118095650958324, -6.907755278982139]
12: [-9.365269230493794, -5.756248465509174]
13: [-16.118095650958324, -6.907755278982137]
14: [-16.118095650958324, -6.907755278982137]
15: [-6.424852816398819, -3.110238464522901]
16: [-16.118095650958324, -6.907755278982137]
17: [-16.118095650958317, -6.165935473773182]
18: [-16.118095650958324, -6.907755278982137]
19: [-16.118095650958324, -6.907755278982137]
20: [-16.118095650958324, -6.907755278982137]
21: [-16.118095650958324, -6.907755278982137]
22: [-16.118095663129523, -6.907755278982137]
23: [-16.118095650958324, -6.907755278982137]
24: [-16.118095650958324, -6.907755278982137]
25: [-16.118095650958324, -6.907755278982137]
26: [-16.118095650958324, -6.907755278982137]
27: [-16.118095650958324, -6.907755278982137]
28: [-7.140877075799558, -6.393504870592018]
29: [-8.285746010028006, -5.247341132925769]
30: [-16.118095650958324, -6.907755278982137]
31: [-9.93591548903727, -5.730975312438993]
32: [-16.118095650958317, -0.9297733614393167]
33: [-16.118095650958324, -6.907755278982137]
34: [-16.118095650958324, -6.907755278982137]
35: [-16.118095650958324, -5.802583406884523]
36: [-14.543432072811813, -6.907755278982137]
37: [-16.118095650958324, -2.359596640342448]
38: [-16.118095650958324, -6.907755278982137]
39: [-16.118095650958324, -3.0779212416528545]
40: [-8.517193189764955, -7.824046010856293]
41: [-11.823736775520421, -5.905178999220539]
42: [-16.118095650958324, -5.074389199180082]
43: [-16.118095650958324, -6.907755278982137]
44: [-11.665428085544505, -10.490219102169434]
45: [-6.220037759421217, -3.0350214759529734]
46: [-16.118095650958324, -6.907755278982137]
47: [-16.118095650958317, -6.907755278982137]
48: [-16.118095650958324, -6.907755278982137]
