0: [-16.11809565095832, -6.907755278982137]
1: [-16.118095650958338, -5.866369595860432]
2: [-16.118095650958338, -7.194092308513203]
3: [-16.118095650958324, -3.831355449844923]
4: [-16.11809565095832, -5.871112061728711]
5: [-16.118095650958338, -9.574070729182274]
6: [-16.118095650958324, -6.907755278982137]
7: [-16.11809565095832, -6.907755278982137]
8: [-9.210340371976182, -8.305726057581225]
9: [-1.4210854715202004e-14, 1.4210854715202004e-14]
10: [-3.912023005428146, -3.6888794541139363]
11: [-16.11809565095832, -6.907755278982123]
12: [-8.282414001446126, -7.741951186972978]
13: [-16.11809565095832, -6.907755278982137]
14: [-16.11809565095832, -6.907755278982137]
15: [-6.836449751771584, -6.4702368369997405]
16: [-16.11809565095832, -6.907755278982137]
17: [-16.11809565095833, -6.165935473773175]
18: [-16.11809565095832, -6.907755278982137]
19: [-16.11809565095833, -6.907755278982128]
20: [-16.11809565095832, -6.907755278982137]
21: [-16.11809565095832, -6.907755278982137]
22: [-16.11809565095832, -6.907755278982137]
23: [-16.11809565095832, -6.907755278982137]
24: [-16.11809565095832, -6.907755278982137]
25: [-16.118095650958324, -6.907755278982137]
26: [-16.11809565095832, -6.907755278982137]
27: [-16.118095650958324, -6.907755278982137]
28: [-7.140877075799557, -6.393504870592016]
29: [-7.090279826428664, -6.775518846131839]
30: [-16.118095650958324, -6.907755278982137]
31: [-8.40690148760311, -8.100290746408842]
32: [-4.2347593239287145, -3.9530396826242598]
33: [-16.11809565095832, -6.907755278982137]
34: [-16.11809565095832, -6.907755278982137]
35: [-16.11809565095832, -5.8025834068845255]
36: [-14.543432072811814, -6.907755278982137]
37: [-16.11809565095832, -2.3595966403424384]
38: [-16.118095650958338, -6.907755278982137]
39: [-7.1084211264351955, -6.489463404700477]
40: [-8.517193191416249, -7.824046010856292]
41: [-7.451642760489593, -7.173474658984534]
42: [-16.11809565095832, -5.074389199180081]
43: [-16.11809565095832, -6.907755278982128]
44: [-11.665428085544507, -10.490219102169435]
45: [-6.220037759421212, -3.035021475952972]
46: [-16.11809565095832, -6.907755278982137]
47: [-16.118095650958338, -6.907755278982137]
48: [-16.118095650958324, -6.907755278982137]
49: [-16.11809565095832, -6.907755278982128]
50: [-16.11809565095832, -6.907755278982137]
51: [-16.11809565095833, -4.101916917844176]
52: [-16.118095650958338, -6.907755278982137]
53: [-16.118095650958338, -5.314772497558764]
54: [-16.118095650958338, -6.907755278982137]
55: [-6.022962034876928, -4.591931779915628]
56: [-16.11809565095832, -6.907755278982123]
57: [-16.118095650958338, -5.93556807801906]
58: [-16.118095650958338, -8.363783931464543]
59: [-16.118095650958338, -5.216644280462795]
60: [-16.118095650958324, -2.8395205829965855]
61: [-7.7000821433576565, -7.486700744260078]
62: [-16.118095650958324, -6.907755278982123]
63: [-16.118095650958338, -6.907755278982137]
64: [-15.390070889222457, -14.183807133149948]
65: [-16.118095650958338, -6.907755278982128]
66: [-9.903487552536136, -6.907755278982137]
67: [-16.118095815409063, -6.907755278982128]
68: [-16.118095650958338, -6.907755278982123]
69: [-16.118095650958338, -6.907755278982137]
70: [-6.404108669009236, -6.197053641468211]
71: [-12.731384411238574, -9.30009820812546]
72: [-16.118095650958338, -6.907755278982123]
73: [-8.559210410715822, -6.993571097736303]
74: [-16.118095650958338, -6.907755278982137]
75: [-10.841724487187522, -10.405149679860466]
76: [-16.11809565095832, -6.907755278982128]
77: [-11.367426004060748, -10.312653796910126]
78: [-16.11809565095832, -6.907755278982123]
79: [-16.11809565095833, -6.907755278982137]
80: [-7.910267685544939, -7.502095838473953]
81: [-16.118095650958338, -6.907755278982137]
82: [-16.118095650958338, -6.907755278982128]
83: [-7.008713095611723, -6.868912120028739]
84: [-7.917881640822282, -5.620261750629402]
85: [-16.118095650958324, -5.220418376475476]
86: [-15.924097676685179, -6.907755278982137]
87: [-16.118095650958338, -7.101753253255289]
88: [-16.118095650958338, -6.907755278982137]
89: [-7.050622587572752, -6.512768291418823]
90: [-16.118095650958338, -6.907755278982137]
91: [-16.118095650958324, -6.907755278982137]
92: [-16.118095650958338, -6.907755278982128]
93: [-16.118095650958338, -6.907755278982128]
94: [-16.118095650958338, -6.907755278982137]
95: [-16.118095650958338, -6.907755278982128]
96: [-16.118095650958324, -6.907755278982137]
97: [-16.118095650958338, -6.907755278982137]
98: [-16.118095650958338, -4.505897442573826]
99: [-16.118095650958338, -6.907755278982128]
100: [-16.118095650958338, -6.907755278982137]
101: [-16.118095650958324, -6.907755278982128]
102: [-16.118095650958324, -6.907755278982128]
103: [-16.118095650958338, -6.907755278982128]
104: [-16.118095650958338, -6.907755278982137]
105: [-16.118095650958338, -6.907755278982137]
106: [-16.118095650958324, -6.907755278982137]
107: [-16.118095650958338, -6.907755278982137]
108: [-16.118095650958324, -6.907755278982123]
109: [-16.118095650958338, -6.907755278982123]
110: [-16.118095650958338, -6.907755278982137]
111: [-16.118095650958338, -6.907755278982137]
112: [-8.70553400446481, -8.42230705493148]
113: [-13.640814052732793, -11.153220291551548]
114: [-16.118095650958324, -6.907755278982123]
115: [-16.118095650958338, -6.907755278982123]
116: [-16.118095650958338, -6.907755278982123]
117: [-16.118095650958324, -6.907755278982137]
118: [-16.118095650958338, -3.0259419859574965]
119: [-16.118095650958338, -6.907755278982123]
120: [-7.650724076288144, -5.143281048615315]
121: [-16.118095650958338, -6.907755278982128]
122: [-16.118095650958338, -6.907755278982128]
123: [-8.38265476003348, -8.114974435295641]
124: [-16.118095650958338, -6.907755278982123]
