cond,met,mean,sd
WT-Gal_I,fdp,0.571365255149848,0.031679587116941
WT-Gal_I,dhap,0.572941942476838,0.0345147741933344
WT-Gal_I,13dpg,0.0220026885426105,0.00671468871453449
WT-Gal_I,pep,0.19946059253199,0.012805312311609
WT-Gal_I,6pgc,0.370896595924735,0.0479439738258584
WT-Gal_I,ru5p-L,0.206922108898564,0.023086407414072
WT-Gal_I,ru5p-D,0.206922108898564,0.023086407414072
WT-Gal_I,r5p,0.100388964267124,0.00882868099796278
WT-Gal_I,xu5p-L,0.0892010963057719,0.0307369464448876
WT-Gal_I,xu5p-D,0.0892010963057719,0.0307369464448876
WT-Gal_I,r1p,0.00682338890580608,0.00220386269584559
WT-Gal_I,s7p,0.0883629727693053,0.0042793671257607
WT-Gal_I,icit,0.364589869209778,0.0477840840310328
WT-Gal_I,acon-T,0.0126358018570488,0.00112160479553029
WT-Gal_I,akg,0.148878919217147,0.0370816045596006
WT-Gal_I,succ,0.295386944222205,0.0139355763216322
WT-Gal_I,fum,0.095903794492452,0.0263792907467708
WT-Gal_I,mal-L,0.539705376443197,0.0265968202590425
WT-Gal_I,adp,0.64456670949296,0.0220759326926972
WT-Gal_I,atp,1.32638742571335,0.142282139430298
WT-Gal_I,gmp,0.0319578289173926,0.0186087587103528
WT-Gal_I,gdp,0.312324392670796,0.0341303165919123
WT-Gal_I,gtp,0.967934487061772,0.215406796814065
WT-Gal_I,imp,1.69093351311243,0.370866475391732
WT-Gal_I,asn-L,0.256248965833634,0.0159789928937105
WT-Gal_I,asp-L,0.827299886198517,0.086636069796254
WT-Gal_I,gln-L,1.36009518550751,0.0528594300646307
WT-Gal_I,glu-L,7.545305909546,0.543759612710097
WT-Gal_I,glu-D,7.545305909546,0.543759612710097
WT-Gal_I,phe-L,0.0527077038504206,0.0105309801733563
WT-Gal_I,tyr-L,0.0599907175093702,0.0066291952173675
WT-Gal_I,camp,0.00916927765117898,0.0021792508705004
WT-Ace_I,g6p,0.69801362155168,0.031288193107497
WT-Ace_I,f6p,0.378974904884046,0.0429209400629505
WT-Ace_I,fdp,0.148967089931025,0.00601100897399533
WT-Ace_I,dhap,0.519391294052962,0.0179231439046857
WT-Ace_I,13dpg,0.0110691898455658,0.00209903561186614
WT-Ace_I,pep,0.38708167984701,0.0109545470747889
WT-Ace_I,6pgc,0.147050449642969,0.014229740675294
WT-Ace_I,ru5p-L,0.0937156637803725,0.0090865432392161
WT-Ace_I,ru5p-D,0.0937156637803725,0.0090865432392161
WT-Ace_I,r5p,0.0558181155764863,0.00913993249746104
WT-Ace_I,xu5p-L,0.0473211738679426,0.00336492014882401
WT-Ace_I,xu5p-D,0.0473211738679426,0.00336492014882401
WT-Ace_I,r1p,0.00412086782995094,0.000450354547802454
