rxn	lb	ub
2DGLCNRx	-100.0	100.0
2DGLCNRy	-100.0	100.0
2DGULRx	-100.0	100.0
2DGULRy	-100.0	100.0
A5PISO	0.028175254055617494	0.02947895195087291
AACPS1	-99.99073034141563	100.0
AACPS3	-99.93457706008262	100.0
ABTA	-0.029478951950807186	99.31706085350561
ACCOACr	-91.88836946219685	100.0
ACGK	0.0	100.0
ACGS	0.0	100.0
ACHBS	0.18515166950973896	0.19371882710530602
ACKr	-99.9801770454643	100.0
ACLS	0.5568362668175353	0.5826016518411882
ACOATA	-100.0	100.0
ACODA	-1.000017846308765e-10	100.0
ACOTA	-100.0	-0.0
ACS	-12.830028728162077	100.0
ADA	0.0	99.79626671268485
ADCL	0.03354196911409522	0.0350939904176202
ADCS	0.03354196911409522	0.035093990610667966
ADD	0.0	99.79626673598523
ADK1	-100.0	100.0
ADK3	-100.0	100.0
ADMDCr	0.004695875675977845	0.004913158658467864
ADNK1	-100.0	99.48741023203385
ADPT	-100.0	100.0
ADSK	0.15634515559524553	0.1635794062547996
ADSL1r	0.187163554572777	100.0
ADSL2r	0.33012609757535927	0.3454013706084993
ADSS	0.1871635545727628	100.0
AGMHE	0.01690515243350399	0.017687371170480137
AGPR	-100.0	5.684341886080801e-13
AICART	0.3905016419807339	0.40857055336019243
AIRC2	0.3301260975753735	0.3454013706085419
AIRC3	-0.34540137060844245	-0.33012609757534506
ALAALAr	0.018515166951051487	0.019371882710487398
ALAR	-99.96296966609839	100.0
ALATAD2	-100.0	99.96296966609822
ALATAL	-100.0	99.6170848805935
ALATAL2	-99.96296966609839	100.0
ALDD2x	0.0	100.0
AMALT1	-100.0	100.0
AMALT2	-100.0	100.0
AMALT3	-100.0	100.0
AMALT4	-100.0	100.0
ANPRT	0.03622532664322284	0.037901509859521405
ANS	0.03622532664322284	0.03790150965102982
APRAUR	6.708393822819045e-06	7.018798083524042e-06
ASNS1	-99.84637778145776	100.0
ASNS2	-99.84637778145776	100.0
ASP1DC	3.957952355460037e-05	4.141090869280717e-05
ASPCT	0.4732656874175234	0.5765682096593707
ASPO4	-100.0	100.0
ASPO5	-100.0	100.0
ASPO6	-46.98451243701175	46.633443268271776
ASPT	-99.35815877105411	97.98793850186254
ASPTA	-100.0	98.1766720305032
ATPHYD	3.15	100.0
ATPPRT	0.060375544405289396	0.06316918275174135
BETALDHx	-100.0	100.0
BETALDHy	-100.0	100.0
BPNT	0.15634515559523926	0.16357940625480294
BSORx	-100.0	100.0
BSORy	-100.0	100.0
C120SN	0.02817525405579424	0.029478952072524003
C140SN	-99.9907303414156	100.0
C141SN	0.009086519433008533	0.00950696200413148
C160SN	-99.93457706008235	100.0
C161SN	0.012721127206187788	0.013309746805788336
C181SN	0.09086519433013507	0.09506962004132902
CAT	0.0	23.493172112721453
CBPS	0.0	100.0
CHORM	0.20594769036166483	0.2154771011630885
CHORS	0.27571498611774814	0.28847260123283813
CITL	0.0	100.0
CLPNSEC	0.004326914015713532	0.004527124763877732
CMPN	0.0	99.79807734593315
CTPS2	0.0	100.0
CYSTL	0.09794254981310502	0.10247445201956396
cytd	0.0	99.79807734593314
CYTDK2	-99.76446829288084	99.93004350794757
DAAD	-100.0	100.0
DADA	-0.017336431266301133	99.79626675044034
DAGKEC	0.0	100.0
DAPDC	0.21869363862511193	0.22881281764470424
DAPE	0.23720880557488142	0.24818470125773545
DB4PS	1.341678764563809e-05	1.4037596167270135e-05
DCTPD	0.0	99.57653243918318
DDPA	0.2757149861178627	0.2884726012328382
DHAD1	0.5568362668175353	0.5826016518411882
DHAD2	0.18515166951083017	0.1937188271042345
DHAPT	-100.0	100.0
DHDPRy	0.23720880557488142	0.2481847002334101
DHDPS	0.23720880557488142	0.2481847002334101
DHFR	0.05011170185645142	0.05243042168392459
DHFS	0.03354196911382701	0.03509399041762021
DHNPA2	0.03354196911409522	0.0350939904176202
DHORD2	0.0	99.01668045042484
DHORD5	-98.97874342519212	0.573380868208389
DHORTS	-0.5765682096593565	-0.4732656874175092
DHPPDA2	6.708393822819045e-06	7.018798083735511e-06
DHPS2	0.033541969114097014	0.035093990417620236
DHQD	0.27571498611774814	0.28847260123283813
DHQS	0.27571498611774814	0.28847260123283813
DKGLCNR1	-100.0	100.0
DKGLCNR2x	-100.0	100.0
DKGLCNR2y	-100.0	100.0
DKMPPD	0.0	0.004913158658466829
DKMPPD2	0.0	0.004913158658466829
DMPPS	0.0	-0.0
DMSOR1	0.0	-0.0
DMSOR2	0.0	-0.0
DNMPPA	0.033541969114097014	0.035091188316772146
DNTPPA	0.033541969114097014	0.03509399041762021
DPCOAK	-4.141090869280717e-05	4.141090869280717e-05
DPR	-4.141090869280717e-05	4.141090869280717e-05
DURIPP	-100.0	99.21762145754934
EDA	0.0	100.0
EDD	0.0	100.0
EDTXS1	0.0056350508111679964	0.005895790390159861
EDTXS2	0.0056350508111679964	0.005895790390159861
ETHAAL	-100.0	99.59198945014178
F6PA	-100.0	100.0
FAO1	-100.0	99.99073034141566
FAO2	-100.0	99.93381655584301
FBA	-100.0	100.0
FBP	0.0	100.0
FMNAT	6.708393822819045e-06	7.01879808374609e-06
FRD2	-100.0	100.0
FRD3	-100.0	100.0
FRUK	0.0	-0.0
FTHFD	0.0	100.0
fum	-100.0	100.0
G1PACT	0.04830043552417518	0.05053534620143729
G1PP	-99.9645262626317	99.57348032074515
G3PD2	-100.0	100.0
G3PD5	0.0	100.0
G3PD6	-100.0	100.0
G3PD7	-100.0	100.0
G5SD	-99.78331887952295	99.90781869993586
G6PDA	-100.0	98.96411559314535
GALU	-6.061145154614849	100.0
GARFT	-99.66987390242463	99.60949835801927
GART	-99.27937218493288	100.0
GCALDD	0.033541969114095224	0.03509399041762021
GF6PTA	-99.95169956447589	100.0
GK1	-99.8132316075789	99.99999999999997
GLCP	-0.10808949048579564	24.89669073512809
GLCS1	0.0	25.0
GLGC	0.0	100.0
GLNS	-1.000017846308765e-10	100.0
GLU5K	-99.7833188795232	100.0
GLUDy	-100.0	100.0
GLUN	-100.0	100.0
GLUPRT	0.330126097575363	0.3454013706084993
GLUR	-0.019371882710487398	-0.01851516695101907
GLUSy	-100.0	100.0
GLXCL	0.0	100.0
GLYATi	-100.0	99.01964621573455
GLYCDx	-100.0	99.88924441798528
GLYCK	0.0	99.60473513339208
GLYCL	-99.94695049036508	99.0362638842816
GLYCLTDx	-100.0	100.0
GLYCLTDy	-100.0	100.0
GLYCTO2	0.0	100.0
GLYCTO3	-100.0	100.0
GLYCTO4	-100.0	100.0
GLYK	-100.0	100.0
GMHEPAT	0.01690515243350399	0.017687371170480137
GMHEPK	0.01690515243350399	0.017687371170480137
GMHEPPA	0.01690515243350399	0.017687371170480137
GMPR	-100.0	99.8132316075789
GMPS2	-99.8132316075789	100.0
GND	-100.0	100.0
GNK	0.0	9.531228487787992
GPDDA2	-100.0	99.38598014595055
GPDDA4	-99.68285464538903	99.97578269829981
GSNK	-100.0	100.0
GSPMDA	0.0	100.0
GSPMDS	0.0	100.0
GTPCI	0.033541969114097014	0.035093990417620125
GTPCII2	-7.018798083524042e-06	7.018798083524042e-06
GUAD	-100.0	100.0
GUAPRT	-100.0	100.0
HEX1	-1.000017846308765e-10	100.0
histd	0.060375544405687265	0.06316918275139471
HISTP	0.060375544405289396	0.06316918275174135
HPPK2	0.03354196911409524	0.03509399041762022
