cond,rxn,mean,sd
WT,EX_glc__D_e,-10.415077,0.506972
WT,EX_ac_e,6.483353,1.994048
WT,EX_for_e,1.583344,0.635814
WT,EX_co2_e,11.836522,1.377013
WT,biomass_EX,0.661597,0.0108005
WT,EX_pyr_e,0,0.01
WT,EX_lac__D_e,0,0.01
dpta,EX_glc__D_e,-9.86801989,0.485365841
dpta,EX_ac_e,0.980228544,0.430117536
dpta,EX_for_e,1.383537046,0.408405484
dpta,EX_lac__D_e,1.360677004,0.387419472
dpta,EX_pyr_e,3.719289806,1.76734836
dpta,EX_co2_e,14.77713616,3.990687056
dpta,biomass_EX,0.757764,0.005615
3KO,EX_glc__D_e,-10.53963503,0.746826566
3KO,EX_pyr_e,7.345497392,1.325941677
3KO,EX_co2_e,14.84632901,0.062531785
3KO,biomass_EX,0.718156,0.0109924
3KO,EX_lac__D_e,0,0.01
3KO,EX_ac_e,0,0.01
3KO,EX_for_e,0,0.01
4KO,EX_glc__D_e,-9.411092983,0.486293736
4KO,EX_pyr_e,6.379612124,1.256183549
4KO,EX_co2_e,13.84560318,0.50583876
4KO,biomass_EX,0.72572,0.0103608
4KO,EX_lac__D_e,0,0.01
4KO,EX_ac_e,0,0.01
4KO,EX_for_e,0,0.01
5KO,EX_glc__D_e,-11.11909005,0.428708412
5KO,EX_pyr_e,8.634859915,1.73283803
5KO,EX_co2_e,14.18899895,0.903180766
5KO,biomass_EX,0.73663,0.00872315
5KO,EX_ac_e,0,0.01
5KO,EX_lac__D_e,0,0.01
5KO,EX_for_e,0,0.01
