condition,glc-D_EX,ac_EX,etoh_EX,glyc_EX,o2_EX,co2tot_EX,biomass_EX,regression
batch,15.7,,22.3,,,,0.41,
batch,22.42,0.746,36.03,1.184,,,0.46,
chemostat,0.25,0.0,0.0,0.0,0.7,0.7,0.02,yes
chemostat,0.57,,0.0,,1.4,1.4,0.05,
chemostat,0.6,0.0,0.0,0.0,1.5,1.6,0.05,yes
chemostat,1.1,0.0,0.0,0.0,2.7,2.8,0.1,yes
chemostat,1.67,,0.0,,2.5,2.6,0.15,
chemostat,2.14,0.0,0.0,0.0,5.1,5.3,0.2,yes
chemostat,2.22,,0.0,,3.7,4.0,0.2,
chemostat,2.83,,0.0,,6.8,7.6,0.25,
chemostat,3.24,,0.0,,8.3,8.4,0.28,
chemostat,3.7,,0.5,,8.8,9.5,0.3,
chemostat,4.67,0.15,3.2,0.01,6.8,10.0,0.3,yes
chemostat,5.44,0.2,4.4,0.01,6.8,11.4,0.32,yes
chemostat,7.62,0.43,8.7,0.02,5.0,14.0,0.35,yes
chemostat,8.09,,6.9,,6.6,13.3,0.35,
chemostat,8.33,,6.7,,7.1,15.3,0.36,
chemostat,10.23,0.67,14.9,0.06,4.2,18.1,0.38,yes
chemostat,13.18,,12.5,,4.2,20.7,0.38,
